,cid,ring,image_saved_as
0,95314,1,1_2_dibromocyclohexane_95314
1,7960,1,1_2_dibromocyclohexane_7960
2,37040,1,1_2_dibromocyclohexane_37040
3,6432209,1,1_2_dibromocyclohexane_6432209
4,185721,1,1_2_dibromocyclohexane_185721
5,98506,1,1_2_dibromocyclohexane_98506
6,54209545,1,1_2_dibromocyclohexane_54209545
7,53741312,1,1_2_dibromocyclohexane_53741312
8,16213231,1,1_2_dibromocyclohexane_16213231
9,14926703,1,1_2_dibromocyclohexane_14926703
10,10220423,1,1_2_dibromocyclohexane_10220423
11,557100,1,1_2_dibromocyclohexane_557100
12,122583631,1,1_2_dibromocyclohexane_122583631
13,121388860,1,1_2_dibromocyclohexane_121388860
14,87983826,1,1_2_dibromocyclohexane_87983826
15,54180648,1,1_2_dibromocyclohexane_54180648
16,53789129,1,1_2_dibromocyclohexane_53789129
17,71350655,1,1_2_dibromocyclohexane_71350655
18,20788561,1,1_2_dibromocyclohexane_20788561
19,11789545,1,1_2_dibromocyclohexane_11789545
20,12225016,1,1_2_dibromocyclohexane_12225016
21,12225017,1,1_2_dibromocyclohexane_12225017
22,23270683,1,1_2_dibromocyclohexane_23270683
23,25241061,1,1_2_dibromocyclohexane_25241061
24,45052449,1,1_2_dibromocyclohexane_45052449
25,57422211,1,1_2_dibromocyclohexane_57422211
26,88732378,1,1_2_dibromocyclohexane_88732378
27,88748776,1,1_2_dibromocyclohexane_88748776
28,101289906,1,1_2_dibromocyclohexane_101289906
