,cid,ring,image_saved_as
0,7296,1,1_2_xylene_7296
1,15431,1,1_2_xylene_15431
2,17148,1,1_2_xylene_17148
3,15421,1,1_2_xylene_15421
4,252359,1,1_2_xylene_252359
5,17326,1,1_2_xylene_17326
6,17149,1,1_2_xylene_17149
7,14498,1,1_2_xylene_14498
8,13119649,1,1_2_xylene_13119649
9,641612,1,1_2_xylene_641612
10,15656,1,1_2_xylene_15656
11,11378451,1,1_2_xylene_11378451
12,13197,1,1_2_xylene_13197
13,129287606,1,1_2_xylene_129287606
14,60038814,1,1_2_xylene_60038814
15,59989853,1,1_2_xylene_59989853
16,13806919,1,1_2_xylene_13806919
17,135165137,1,1_2_xylene_135165137
18,130352611,1,1_2_xylene_130352611
19,130352610,1,1_2_xylene_130352610
20,130340829,1,1_2_xylene_130340829
21,126685400,1,1_2_xylene_126685400
22,126682155,1,1_2_xylene_126682155
23,126671050,1,1_2_xylene_126671050
24,126671049,1,1_2_xylene_126671049
25,126671048,1,1_2_xylene_126671048
26,126664215,1,1_2_xylene_126664215
27,126664214,1,1_2_xylene_126664214
28,126626998,1,1_2_xylene_126626998
29,124145635,1,1_2_xylene_124145635
30,124013306,1,1_2_xylene_124013306
31,122420390,1,1_2_xylene_122420390
32,122419137,1,1_2_xylene_122419137
33,118662333,1,1_2_xylene_118662333
34,91563469,1,1_2_xylene_91563469
35,91463161,1,1_2_xylene_91463161
36,91353728,1,1_2_xylene_91353728
37,91089794,1,1_2_xylene_91089794
38,91018682,1,1_2_xylene_91018682
39,91015547,1,1_2_xylene_91015547
40,89328787,1,1_2_xylene_89328787
41,89304395,1,1_2_xylene_89304395
42,88991482,1,1_2_xylene_88991482
43,88986958,1,1_2_xylene_88986958
44,88731928,1,1_2_xylene_88731928
45,88731927,1,1_2_xylene_88731927
46,87226770,1,1_2_xylene_87226770
47,69669685,1,1_2_xylene_69669685
48,68372232,1,1_2_xylene_68372232
49,67978908,1,1_2_xylene_67978908
50,67978903,1,1_2_xylene_67978903
51,67613960,1,1_2_xylene_67613960
52,67192699,1,1_2_xylene_67192699
53,60128181,1,1_2_xylene_60128181
54,60076561,1,1_2_xylene_60076561
55,60039974,1,1_2_xylene_60039974
56,59986817,1,1_2_xylene_59986817
57,59986114,1,1_2_xylene_59986114
58,59962307,1,1_2_xylene_59962307
59,59894861,1,1_2_xylene_59894861
60,59679728,1,1_2_xylene_59679728
61,59464839,1,1_2_xylene_59464839
62,59221115,1,1_2_xylene_59221115
63,59210557,1,1_2_xylene_59210557
64,59201845,1,1_2_xylene_59201845
65,59177880,1,1_2_xylene_59177880
66,59098008,1,1_2_xylene_59098008
67,58907686,1,1_2_xylene_58907686
68,58882696,1,1_2_xylene_58882696
69,58852613,1,1_2_xylene_58852613
70,58782412,1,1_2_xylene_58782412
71,58632364,1,1_2_xylene_58632364
72,58619853,1,1_2_xylene_58619853
73,58586540,1,1_2_xylene_58586540
74,58528209,1,1_2_xylene_58528209
75,58456883,1,1_2_xylene_58456883
76,58391202,1,1_2_xylene_58391202
77,58382922,1,1_2_xylene_58382922
78,58224474,1,1_2_xylene_58224474
79,58224468,1,1_2_xylene_58224468
80,58224467,1,1_2_xylene_58224467
81,58224464,1,1_2_xylene_58224464
82,58224461,1,1_2_xylene_58224461
83,58224460,1,1_2_xylene_58224460
84,58212156,1,1_2_xylene_58212156
85,58066926,1,1_2_xylene_58066926
86,58066910,1,1_2_xylene_58066910
87,58066896,1,1_2_xylene_58066896
88,58060916,1,1_2_xylene_58060916
89,58060902,1,1_2_xylene_58060902
90,57901515,1,1_2_xylene_57901515
91,57879120,1,1_2_xylene_57879120
92,57693722,1,1_2_xylene_57693722
93,57688503,1,1_2_xylene_57688503
94,57560075,1,1_2_xylene_57560075
95,57560070,1,1_2_xylene_57560070
96,57422524,1,1_2_xylene_57422524
97,54495725,1,1_2_xylene_54495725
98,53946987,1,1_2_xylene_53946987
99,53869607,1,1_2_xylene_53869607
100,53761035,1,1_2_xylene_53761035
101,53691420,1,1_2_xylene_53691420
102,53641083,1,1_2_xylene_53641083
103,53631089,1,1_2_xylene_53631089
104,46201449,1,1_2_xylene_46201449
105,22134365,1,1_2_xylene_22134365
106,22129123,1,1_2_xylene_22129123
107,22129088,1,1_2_xylene_22129088
108,22129024,1,1_2_xylene_22129024
109,21572731,1,1_2_xylene_21572731
110,20606325,1,1_2_xylene_20606325
111,20561688,1,1_2_xylene_20561688
112,20561687,1,1_2_xylene_20561687
113,18798583,1,1_2_xylene_18798583
114,15261629,1,1_2_xylene_15261629
115,15261627,1,1_2_xylene_15261627
116,13414539,1,1_2_xylene_13414539
117,13119651,1,1_2_xylene_13119651
118,13119650,1,1_2_xylene_13119650
119,12724627,1,1_2_xylene_12724627
120,12494466,1,1_2_xylene_12494466
121,12494464,1,1_2_xylene_12494464
122,11115984,1,1_2_xylene_11115984
123,135055149,1,1_2_xylene_135055149
124,135054272,1,1_2_xylene_135054272
125,135007986,1,1_2_xylene_135007986
126,134998252,1,1_2_xylene_134998252
127,134993390,1,1_2_xylene_134993390
128,134929124,1,1_2_xylene_134929124
129,134889663,1,1_2_xylene_134889663
130,129807422,1,1_2_xylene_129807422
131,129694575,1,1_2_xylene_129694575
132,129670918,1,1_2_xylene_129670918
133,123554400,1,1_2_xylene_123554400
134,123416267,1,1_2_xylene_123416267
135,123334690,1,1_2_xylene_123334690
136,91608667,1,1_2_xylene_91608667
137,91580570,1,1_2_xylene_91580570
138,91573084,1,1_2_xylene_91573084
139,91455947,1,1_2_xylene_91455947
140,91450708,1,1_2_xylene_91450708
141,91442966,1,1_2_xylene_91442966
142,91398199,1,1_2_xylene_91398199
143,91330716,1,1_2_xylene_91330716
144,91303788,1,1_2_xylene_91303788
145,91266566,1,1_2_xylene_91266566
146,91231334,1,1_2_xylene_91231334
147,91206930,1,1_2_xylene_91206930
148,91190175,1,1_2_xylene_91190175
149,91076344,1,1_2_xylene_91076344
150,90974430,1,1_2_xylene_90974430
151,90950813,1,1_2_xylene_90950813
152,90925840,1,1_2_xylene_90925840
153,90911951,1,1_2_xylene_90911951
154,90875315,1,1_2_xylene_90875315
155,90863787,1,1_2_xylene_90863787
156,90859241,1,1_2_xylene_90859241
157,90817911,1,1_2_xylene_90817911
158,90800420,1,1_2_xylene_90800420
159,90713923,1,1_2_xylene_90713923
160,90470039,1,1_2_xylene_90470039
161,85770599,1,1_2_xylene_85770599
162,71402156,1,1_2_xylene_71402156
163,68200220,1,1_2_xylene_68200220
164,66792622,1,1_2_xylene_66792622
165,21720072,1,1_2_xylene_21720072
166,21719800,1,1_2_xylene_21719800
167,13498411,1,1_2_xylene_13498411
168,5475961,1,1_2_xylene_5475961
169,10931414,1,1_2_xylene_10931414
170,10942398,1,1_2_xylene_10942398
171,11148782,1,1_2_xylene_11148782
172,11447373,1,1_2_xylene_11447373
173,11804724,1,1_2_xylene_11804724
174,12559165,1,1_2_xylene_12559165
175,12724626,1,1_2_xylene_12724626
176,15261628,1,1_2_xylene_15261628
177,17776815,1,1_2_xylene_17776815
178,20442425,1,1_2_xylene_20442425
179,20561692,1,1_2_xylene_20561692
180,20745029,1,1_2_xylene_20745029
181,22129137,1,1_2_xylene_22129137
182,22129153,1,1_2_xylene_22129153
183,22137264,1,1_2_xylene_22137264
184,23182271,1,1_2_xylene_23182271
185,23270750,1,1_2_xylene_23270750
186,23270751,1,1_2_xylene_23270751
187,23589055,1,1_2_xylene_23589055
188,51346611,1,1_2_xylene_51346611
189,53471872,1,1_2_xylene_53471872
190,57374567,1,1_2_xylene_57374567
191,57417154,1,1_2_xylene_57417154
192,57418065,1,1_2_xylene_57418065
193,57421393,1,1_2_xylene_57421393
194,57421399,1,1_2_xylene_57421399
195,57422523,1,1_2_xylene_57422523
196,57422605,1,1_2_xylene_57422605
197,57425239,1,1_2_xylene_57425239
198,57426359,1,1_2_xylene_57426359
199,57428793,1,1_2_xylene_57428793
200,57437956,1,1_2_xylene_57437956
201,57443983,1,1_2_xylene_57443983
202,57469501,1,1_2_xylene_57469501
203,57560071,1,1_2_xylene_57560071
204,57560076,1,1_2_xylene_57560076
205,85937112,1,1_2_xylene_85937112
206,85937118,1,1_2_xylene_85937118
207,87115880,1,1_2_xylene_87115880
208,96527559,1,1_2_xylene_96527559
209,100969089,1,1_2_xylene_100969089
210,101001084,1,1_2_xylene_101001084
211,101025344,1,1_2_xylene_101025344
212,101025346,1,1_2_xylene_101025346
213,101096863,1,1_2_xylene_101096863
214,101234421,1,1_2_xylene_101234421
215,101234428,1,1_2_xylene_101234428
216,101334352,1,1_2_xylene_101334352
217,101454769,1,1_2_xylene_101454769
218,101612563,1,1_2_xylene_101612563
219,101698192,1,1_2_xylene_101698192
220,101698633,1,1_2_xylene_101698633
221,101762163,1,1_2_xylene_101762163
222,101990566,1,1_2_xylene_101990566
223,102082546,1,1_2_xylene_102082546
224,117059141,1,1_2_xylene_117059141
225,119078301,1,1_2_xylene_119078301
226,122692125,1,1_2_xylene_122692125
227,132917085,1,1_2_xylene_132917085
228,134889664,1,1_2_xylene_134889664
229,136202155,1,1_2_xylene_136202155
230,136715677,1,1_2_xylene_136715677
231,136723223,1,1_2_xylene_136723223
232,136738969,1,1_2_xylene_136738969
233,136741925,1,1_2_xylene_136741925
234,136745837,1,1_2_xylene_136745837
235,137330284,1,1_2_xylene_137330284
236,137391849,1,1_2_xylene_137391849
