,cid,ring,image_saved_as
0,31275,1,1_4_dioxane_31275
1,87209,1,1_4_dioxane_87209
2,71309681,1,1_4_dioxane_71309681
3,21886435,1,1_4_dioxane_21886435
4,255279,1,1_4_dioxane_255279
5,130226403,1,1_4_dioxane_130226403
6,71361667,1,1_4_dioxane_71361667
7,22799405,1,1_4_dioxane_22799405
8,22225919,1,1_4_dioxane_22225919
9,20443148,1,1_4_dioxane_20443148
10,138302,1,1_4_dioxane_138302
11,91474793,1,1_4_dioxane_91474793
12,88506886,1,1_4_dioxane_88506886
13,88241944,1,1_4_dioxane_88241944
14,86639075,1,1_4_dioxane_86639075
15,86630435,1,1_4_dioxane_86630435
16,86616386,1,1_4_dioxane_86616386
17,71400815,1,1_4_dioxane_71400815
18,67838968,1,1_4_dioxane_67838968
19,67738348,1,1_4_dioxane_67738348
20,66648793,1,1_4_dioxane_66648793
21,59203435,1,1_4_dioxane_59203435
22,18986978,1,1_4_dioxane_18986978
23,18323598,1,1_4_dioxane_18323598
24,129853655,1,1_4_dioxane_129853655
25,129790011,1,1_4_dioxane_129790011
26,129758073,1,1_4_dioxane_129758073
27,129638835,1,1_4_dioxane_129638835
28,69946099,1,1_4_dioxane_69946099
29,67908528,1,1_4_dioxane_67908528
30,54292187,1,1_4_dioxane_54292187
31,20533558,1,1_4_dioxane_20533558
32,57348859,1,1_4_dioxane_57348859
33,57450378,1,1_4_dioxane_57450378
34,57465828,1,1_4_dioxane_57465828
35,57480241,1,1_4_dioxane_57480241
36,60206906,1,1_4_dioxane_60206906
37,66577459,1,1_4_dioxane_66577459
38,66873015,1,1_4_dioxane_66873015
39,67062736,1,1_4_dioxane_67062736
40,67680191,1,1_4_dioxane_67680191
41,67759182,1,1_4_dioxane_67759182
42,67908527,1,1_4_dioxane_67908527
43,68149571,1,1_4_dioxane_68149571
44,68866260,1,1_4_dioxane_68866260
45,69276090,1,1_4_dioxane_69276090
46,69941166,1,1_4_dioxane_69941166
47,70127408,1,1_4_dioxane_70127408
48,70159494,1,1_4_dioxane_70159494
49,70357034,1,1_4_dioxane_70357034
50,70500013,1,1_4_dioxane_70500013
51,70507166,1,1_4_dioxane_70507166
52,87214123,1,1_4_dioxane_87214123
53,87263408,1,1_4_dioxane_87263408
54,87490887,1,1_4_dioxane_87490887
55,87503759,1,1_4_dioxane_87503759
56,87641547,1,1_4_dioxane_87641547
57,87839968,1,1_4_dioxane_87839968
58,87909488,1,1_4_dioxane_87909488
59,88159920,1,1_4_dioxane_88159920
60,88244350,1,1_4_dioxane_88244350
61,88404990,1,1_4_dioxane_88404990
62,88433070,1,1_4_dioxane_88433070
63,88445260,1,1_4_dioxane_88445260
64,88447818,1,1_4_dioxane_88447818
65,88472225,1,1_4_dioxane_88472225
66,88492858,1,1_4_dioxane_88492858
67,88790266,1,1_4_dioxane_88790266
68,129638836,1,1_4_dioxane_129638836
69,135281071,1,1_4_dioxane_135281071
