,cid,ring,image_saved_as
0,7891,0,1_bromo_3_methylpentane_7891
1,69385,0,1_bromo_3_methylpentane_69385
2,529978,0,1_bromo_3_methylpentane_529978
3,91414,0,1_bromo_3_methylpentane_91414
4,25254,0,1_bromo_3_methylpentane_25254
5,13800353,0,1_bromo_3_methylpentane_13800353
6,5464167,0,1_bromo_3_methylpentane_5464167
7,520726,0,1_bromo_3_methylpentane_520726
8,121776,0,1_bromo_3_methylpentane_121776
9,91416,0,1_bromo_3_methylpentane_91416
10,77432,0,1_bromo_3_methylpentane_77432
11,54096666,0,1_bromo_3_methylpentane_54096666
12,20344599,0,1_bromo_3_methylpentane_20344599
13,15752575,0,1_bromo_3_methylpentane_15752575
14,13800354,0,1_bromo_3_methylpentane_13800354
15,13695814,0,1_bromo_3_methylpentane_13695814
16,12405401,0,1_bromo_3_methylpentane_12405401
17,12297925,0,1_bromo_3_methylpentane_12297925
18,143172,0,1_bromo_3_methylpentane_143172
19,138258,0,1_bromo_3_methylpentane_138258
20,68293,0,1_bromo_3_methylpentane_68293
21,39899,0,1_bromo_3_methylpentane_39899
22,54105201,0,1_bromo_3_methylpentane_54105201
23,44517869,0,1_bromo_3_methylpentane_44517869
24,22955476,0,1_bromo_3_methylpentane_22955476
25,19748706,0,1_bromo_3_methylpentane_19748706
26,19612097,0,1_bromo_3_methylpentane_19612097
27,19430964,0,1_bromo_3_methylpentane_19430964
28,18676197,0,1_bromo_3_methylpentane_18676197
29,15033596,0,1_bromo_3_methylpentane_15033596
30,12784361,0,1_bromo_3_methylpentane_12784361
31,12712366,0,1_bromo_3_methylpentane_12712366
32,12571322,0,1_bromo_3_methylpentane_12571322
33,12466800,0,1_bromo_3_methylpentane_12466800
34,11745204,0,1_bromo_3_methylpentane_11745204
35,316925,0,1_bromo_3_methylpentane_316925
36,231544,0,1_bromo_3_methylpentane_231544
37,90362236,0,1_bromo_3_methylpentane_90362236
38,90362235,0,1_bromo_3_methylpentane_90362235
39,89209338,0,1_bromo_3_methylpentane_89209338
40,88845062,0,1_bromo_3_methylpentane_88845062
41,88461666,0,1_bromo_3_methylpentane_88461666
