,cid,ring,image_saved_as
0,10022,0,1_bromo_5_fluoropentane_10022
1,120236,0,1_bromo_5_fluoropentane_120236
2,9765,0,1_bromo_5_fluoropentane_9765
3,22902611,0,1_bromo_5_fluoropentane_22902611
4,13299941,0,1_bromo_5_fluoropentane_13299941
5,13740661,0,1_bromo_5_fluoropentane_13740661
6,46945695,0,1_bromo_5_fluoropentane_46945695
7,53401787,0,1_bromo_5_fluoropentane_53401787
8,89809595,0,1_bromo_5_fluoropentane_89809595
9,89809692,0,1_bromo_5_fluoropentane_89809692
10,129383172,0,1_bromo_5_fluoropentane_129383172
11,129383173,0,1_bromo_5_fluoropentane_129383173
