,cid,ring,image_saved_as
0,69402,0,1_butyne_69402
1,12309,0,1_butyne_12309
2,7846,0,1_butyne_7846
3,139150,0,1_butyne_139150
4,138254,0,1_butyne_138254
5,11423559,0,1_butyne_11423559
6,11263471,0,1_butyne_11263471
7,141112,0,1_butyne_141112
8,138385,0,1_butyne_138385
9,21027022,0,1_butyne_21027022
10,561096,0,1_butyne_561096
11,144598,0,1_butyne_144598
12,143422,0,1_butyne_143422
13,137889,0,1_butyne_137889
14,91576721,0,1_butyne_91576721
15,91455571,0,1_butyne_91455571
16,91416651,0,1_butyne_91416651
17,91399020,0,1_butyne_91399020
18,91338685,0,1_butyne_91338685
19,91326390,0,1_butyne_91326390
20,90842558,0,1_butyne_90842558
21,90839024,0,1_butyne_90839024
22,60119512,0,1_butyne_60119512
23,60073725,0,1_butyne_60073725
24,59972623,0,1_butyne_59972623
25,59942260,0,1_butyne_59942260
26,59330719,0,1_butyne_59330719
27,59330717,0,1_butyne_59330717
28,59262293,0,1_butyne_59262293
29,59188474,0,1_butyne_59188474
30,59073177,0,1_butyne_59073177
31,59073152,0,1_butyne_59073152
32,59048605,0,1_butyne_59048605
33,58878977,0,1_butyne_58878977
34,58776160,0,1_butyne_58776160
35,58250157,0,1_butyne_58250157
36,58066923,0,1_butyne_58066923
37,58066887,0,1_butyne_58066887
38,57776064,0,1_butyne_57776064
39,57693840,0,1_butyne_57693840
40,57693805,0,1_butyne_57693805
41,53627807,0,1_butyne_53627807
42,20657641,0,1_butyne_20657641
43,20386770,0,1_butyne_20386770
44,17950293,0,1_butyne_17950293
45,53627699,0,1_butyne_53627699
46,6431953,0,1_butyne_6431953
47,11828059,0,1_butyne_11828059
48,12543546,0,1_butyne_12543546
49,15915025,0,1_butyne_15915025
50,17870746,0,1_butyne_17870746
51,20188671,0,1_butyne_20188671
52,20510726,0,1_butyne_20510726
53,20532212,0,1_butyne_20532212
54,53627760,0,1_butyne_53627760
55,53627920,0,1_butyne_53627920
56,53628971,0,1_butyne_53628971
57,53628973,0,1_butyne_53628973
58,57418201,0,1_butyne_57418201
59,57418286,0,1_butyne_57418286
60,57420435,0,1_butyne_57420435
61,57421394,0,1_butyne_57421394
62,57452712,0,1_butyne_57452712
63,57455726,0,1_butyne_57455726
64,57515833,0,1_butyne_57515833
65,58676402,0,1_butyne_58676402
66,59908110,0,1_butyne_59908110
67,85654367,0,1_butyne_85654367
68,85674390,0,1_butyne_85674390
69,101012142,0,1_butyne_101012142
70,101371635,0,1_butyne_101371635
71,101639645,0,1_butyne_101639645
72,101736953,0,1_butyne_101736953
73,102017104,0,1_butyne_102017104
74,135973471,0,1_butyne_135973471
