,cid,ring,image_saved_as
0,8004,0,1_pentene_8004
1,11597,0,1_pentene_11597
2,7844,0,1_pentene_7844
3,11610,0,1_pentene_11610
4,11598,0,1_pentene_11598
5,639661,0,1_pentene_639661
6,19966,0,1_pentene_19966
7,11239,0,1_pentene_11239
8,5357259,0,1_pentene_5357259
9,5357258,0,1_pentene_5357258
10,643835,0,1_pentene_643835
11,12987,0,1_pentene_12987
12,12724,0,1_pentene_12724
13,5364394,0,1_pentene_5364394
14,168434,0,1_pentene_168434
15,161478,0,1_pentene_161478
16,66195,0,1_pentene_66195
17,19965,0,1_pentene_19965
18,18850,0,1_pentene_18850
19,16968,0,1_pentene_16968
20,12969,0,1_pentene_12969
21,11612,0,1_pentene_11612
22,11587,0,1_pentene_11587
23,168862,0,1_pentene_168862
24,137073,0,1_pentene_137073
25,67891,0,1_pentene_67891
26,12539503,0,1_pentene_12539503
27,11116540,0,1_pentene_11116540
28,168324,0,1_pentene_168324
29,145521,0,1_pentene_145521
30,144120,0,1_pentene_144120
31,137072,0,1_pentene_137072
32,136379,0,1_pentene_136379
33,87181197,0,1_pentene_87181197
34,59962855,0,1_pentene_59962855
35,58999606,0,1_pentene_58999606
36,57359528,0,1_pentene_57359528
37,57205398,0,1_pentene_57205398
38,57123338,0,1_pentene_57123338
39,54746094,0,1_pentene_54746094
40,54530280,0,1_pentene_54530280
41,54238517,0,1_pentene_54238517
42,53763274,0,1_pentene_53763274
43,53438526,0,1_pentene_53438526
44,23503844,0,1_pentene_23503844
45,23437622,0,1_pentene_23437622
46,21195085,0,1_pentene_21195085
47,20238413,0,1_pentene_20238413
48,19390240,0,1_pentene_19390240
49,16692459,0,1_pentene_16692459
50,13244562,0,1_pentene_13244562
51,13183915,0,1_pentene_13183915
52,13138938,0,1_pentene_13138938
53,12734576,0,1_pentene_12734576
54,12603478,0,1_pentene_12603478
55,12590026,0,1_pentene_12590026
56,12556202,0,1_pentene_12556202
57,12375451,0,1_pentene_12375451
58,12375450,0,1_pentene_12375450
59,6454028,0,1_pentene_6454028
60,5484151,0,1_pentene_5484151
61,5483982,0,1_pentene_5483982
62,5475528,0,1_pentene_5475528
63,5364704,0,1_pentene_5364704
64,4418416,0,1_pentene_4418416
65,140286,0,1_pentene_140286
66,135331765,0,1_pentene_135331765
67,123936492,0,1_pentene_123936492
68,118571980,0,1_pentene_118571980
69,91153402,0,1_pentene_91153402
70,91098886,0,1_pentene_91098886
71,91098035,0,1_pentene_91098035
72,91078224,0,1_pentene_91078224
73,90992729,0,1_pentene_90992729
74,90845367,0,1_pentene_90845367
75,90699589,0,1_pentene_90699589
76,88798471,0,1_pentene_88798471
77,88726991,0,1_pentene_88726991
78,88676886,0,1_pentene_88676886
79,88663195,0,1_pentene_88663195
80,88528166,0,1_pentene_88528166
81,88372521,0,1_pentene_88372521
82,88322073,0,1_pentene_88322073
83,88319791,0,1_pentene_88319791
84,88295357,0,1_pentene_88295357
85,88119582,0,1_pentene_88119582
