,cid,ring,image_saved_as
0,637540,1,2_hydroxy_cinnamic_acid_637540
1,5280841,1,2_hydroxy_cinnamic_acid_5280841
2,11968,1,2_hydroxy_cinnamic_acid_11968
3,87186860,1,2_hydroxy_cinnamic_acid_87186860
4,70389263,1,2_hydroxy_cinnamic_acid_70389263
5,66953160,1,2_hydroxy_cinnamic_acid_66953160
6,59891790,1,2_hydroxy_cinnamic_acid_59891790
7,59356904,1,2_hydroxy_cinnamic_acid_59356904
8,129736405,1,2_hydroxy_cinnamic_acid_129736405
9,22504903,1,2_hydroxy_cinnamic_acid_22504903
10,85656670,1,2_hydroxy_cinnamic_acid_85656670
11,102509218,1,2_hydroxy_cinnamic_acid_102509218
12,115018010,1,2_hydroxy_cinnamic_acid_115018010
13,131277456,1,2_hydroxy_cinnamic_acid_131277456
14,131493246,1,2_hydroxy_cinnamic_acid_131493246
15,133671008,1,2_hydroxy_cinnamic_acid_133671008
