,cid,ring,image_saved_as
0,6558,0,2_methyl_1_3_propanediame_6558
1,14499052,0,2_methyl_1_3_propanediame_14499052
2,10313091,0,2_methyl_1_3_propanediame_10313091
3,7311734,0,2_methyl_1_3_propanediame_7311734
4,3041751,0,2_methyl_1_3_propanediame_3041751
5,21872147,0,2_methyl_1_3_propanediame_21872147
6,88739999,0,2_methyl_1_3_propanediame_88739999
7,59872487,0,2_methyl_1_3_propanediame_59872487
8,59317346,0,2_methyl_1_3_propanediame_59317346
9,59317335,0,2_methyl_1_3_propanediame_59317335
10,58475030,0,2_methyl_1_3_propanediame_58475030
11,58475012,0,2_methyl_1_3_propanediame_58475012
12,18961237,0,2_methyl_1_3_propanediame_18961237
13,17851079,0,2_methyl_1_3_propanediame_17851079
14,14499053,0,2_methyl_1_3_propanediame_14499053
15,5476688,0,2_methyl_1_3_propanediame_5476688
16,134853483,0,2_methyl_1_3_propanediame_134853483
17,134518369,0,2_methyl_1_3_propanediame_134518369
18,91024546,0,2_methyl_1_3_propanediame_91024546
19,13446551,0,2_methyl_1_3_propanediame_13446551
20,21453590,0,2_methyl_1_3_propanediame_21453590
21,22649802,0,2_methyl_1_3_propanediame_22649802
22,23345366,0,2_methyl_1_3_propanediame_23345366
23,57417996,0,2_methyl_1_3_propanediame_57417996
24,86313061,0,2_methyl_1_3_propanediame_86313061
25,87221138,0,2_methyl_1_3_propanediame_87221138
26,101595708,0,2_methyl_1_3_propanediame_101595708
27,101724780,0,2_methyl_1_3_propanediame_101724780
28,137551847,0,2_methyl_1_3_propanediame_137551847
