,cid,ring,image_saved_as
0,5352447,0,2_methyl_2_pentene_5352447
1,17656,0,2_methyl_2_pentene_17656
2,12260,0,2_methyl_2_pentene_12260
3,12243,0,2_methyl_2_pentene_12243
4,5357250,0,2_methyl_2_pentene_5357250
5,5352660,0,2_methyl_2_pentene_5352660
6,643784,0,2_methyl_2_pentene_643784
7,642661,0,2_methyl_2_pentene_642661
8,638068,0,2_methyl_2_pentene_638068
9,66080,0,2_methyl_2_pentene_66080
10,13159,0,2_methyl_2_pentene_13159
11,12014,0,2_methyl_2_pentene_12014
12,5357248,0,2_methyl_2_pentene_5357248
13,643935,0,2_methyl_2_pentene_643935
14,521945,0,2_methyl_2_pentene_521945
15,53423890,0,2_methyl_2_pentene_53423890
16,18548211,0,2_methyl_2_pentene_18548211
17,5367615,0,2_methyl_2_pentene_5367615
18,5367525,0,2_methyl_2_pentene_5367525
19,5367524,0,2_methyl_2_pentene_5367524
20,523037,0,2_methyl_2_pentene_523037
21,140404,0,2_methyl_2_pentene_140404
22,137031,0,2_methyl_2_pentene_137031
23,69813,0,2_methyl_2_pentene_69813
24,60070301,0,2_methyl_2_pentene_60070301
25,53405155,0,2_methyl_2_pentene_53405155
26,22236735,0,2_methyl_2_pentene_22236735
27,21160160,0,2_methyl_2_pentene_21160160
28,13252930,0,2_methyl_2_pentene_13252930
29,11746396,0,2_methyl_2_pentene_11746396
30,10986158,0,2_methyl_2_pentene_10986158
31,10877872,0,2_methyl_2_pentene_10877872
32,138074,0,2_methyl_2_pentene_138074
33,137118,0,2_methyl_2_pentene_137118
34,50542,0,2_methyl_2_pentene_50542
35,50541,0,2_methyl_2_pentene_50541
36,32737,0,2_methyl_2_pentene_32737
37,124187698,0,2_methyl_2_pentene_124187698
38,123764999,0,2_methyl_2_pentene_123764999
39,123511146,0,2_methyl_2_pentene_123511146
40,91484029,0,2_methyl_2_pentene_91484029
41,88243021,0,2_methyl_2_pentene_88243021
42,87946686,0,2_methyl_2_pentene_87946686
43,60070077,0,2_methyl_2_pentene_60070077
44,59990635,0,2_methyl_2_pentene_59990635
45,59897340,0,2_methyl_2_pentene_59897340
46,59871822,0,2_methyl_2_pentene_59871822
47,59448637,0,2_methyl_2_pentene_59448637
48,59202218,0,2_methyl_2_pentene_59202218
49,59099767,0,2_methyl_2_pentene_59099767
50,59071503,0,2_methyl_2_pentene_59071503
51,59050776,0,2_methyl_2_pentene_59050776
52,58764699,0,2_methyl_2_pentene_58764699
53,58608479,0,2_methyl_2_pentene_58608479
54,58547949,0,2_methyl_2_pentene_58547949
55,54413073,0,2_methyl_2_pentene_54413073
56,54380701,0,2_methyl_2_pentene_54380701
57,54145149,0,2_methyl_2_pentene_54145149
58,53972189,0,2_methyl_2_pentene_53972189
59,53777853,0,2_methyl_2_pentene_53777853
60,53752299,0,2_methyl_2_pentene_53752299
61,53674884,0,2_methyl_2_pentene_53674884
62,22959383,0,2_methyl_2_pentene_22959383
63,22236752,0,2_methyl_2_pentene_22236752
64,20753018,0,2_methyl_2_pentene_20753018
65,20609755,0,2_methyl_2_pentene_20609755
66,15825635,0,2_methyl_2_pentene_15825635
67,13095272,0,2_methyl_2_pentene_13095272
68,10964462,0,2_methyl_2_pentene_10964462
69,556839,0,2_methyl_2_pentene_556839
70,136870,0,2_methyl_2_pentene_136870
71,25402,0,2_methyl_2_pentene_25402
72,136656795,0,2_methyl_2_pentene_136656795
73,135046734,0,2_methyl_2_pentene_135046734
74,134977121,0,2_methyl_2_pentene_134977121
75,134905898,0,2_methyl_2_pentene_134905898
76,129807184,0,2_methyl_2_pentene_129807184
77,123949840,0,2_methyl_2_pentene_123949840
78,123812997,0,2_methyl_2_pentene_123812997
79,123691131,0,2_methyl_2_pentene_123691131
80,123510739,0,2_methyl_2_pentene_123510739
81,123499558,0,2_methyl_2_pentene_123499558
82,123485461,0,2_methyl_2_pentene_123485461
83,123195919,0,2_methyl_2_pentene_123195919
84,123191320,0,2_methyl_2_pentene_123191320
85,96882048,0,2_methyl_2_pentene_96882048
86,91469223,0,2_methyl_2_pentene_91469223
87,91309267,0,2_methyl_2_pentene_91309267
88,91275392,0,2_methyl_2_pentene_91275392
89,91234108,0,2_methyl_2_pentene_91234108
90,91205802,0,2_methyl_2_pentene_91205802
91,91139276,0,2_methyl_2_pentene_91139276
92,91061267,0,2_methyl_2_pentene_91061267
93,91036623,0,2_methyl_2_pentene_91036623
94,91019061,0,2_methyl_2_pentene_91019061
95,90952478,0,2_methyl_2_pentene_90952478
96,90949176,0,2_methyl_2_pentene_90949176
97,90784944,0,2_methyl_2_pentene_90784944
98,85872370,0,2_methyl_2_pentene_85872370
99,78065362,0,2_methyl_2_pentene_78065362
100,72640249,0,2_methyl_2_pentene_72640249
101,71399302,0,2_methyl_2_pentene_71399302
102,71393404,0,2_methyl_2_pentene_71393404
103,71373680,0,2_methyl_2_pentene_71373680
104,22959384,0,2_methyl_2_pentene_22959384
105,15970856,0,2_methyl_2_pentene_15970856
106,15174082,0,2_methyl_2_pentene_15174082
107,12466019,0,2_methyl_2_pentene_12466019
108,10964461,0,2_methyl_2_pentene_10964461
109,10058194,0,2_methyl_2_pentene_10058194
110,10701801,0,2_methyl_2_pentene_10701801
111,11018807,0,2_methyl_2_pentene_11018807
112,11145111,0,2_methyl_2_pentene_11145111
113,11701028,0,2_methyl_2_pentene_11701028
114,12459401,0,2_methyl_2_pentene_12459401
115,12627311,0,2_methyl_2_pentene_12627311
116,12627314,0,2_methyl_2_pentene_12627314
117,13315520,0,2_methyl_2_pentene_13315520
118,13949049,0,2_methyl_2_pentene_13949049
119,15577053,0,2_methyl_2_pentene_15577053
120,15966256,0,2_methyl_2_pentene_15966256
121,15977267,0,2_methyl_2_pentene_15977267
122,20753019,0,2_methyl_2_pentene_20753019
123,21658760,0,2_methyl_2_pentene_21658760
124,22084812,0,2_methyl_2_pentene_22084812
125,23389049,0,2_methyl_2_pentene_23389049
126,44630372,0,2_methyl_2_pentene_44630372
127,53461622,0,2_methyl_2_pentene_53461622
128,57418573,0,2_methyl_2_pentene_57418573
129,57419210,0,2_methyl_2_pentene_57419210
130,57421604,0,2_methyl_2_pentene_57421604
131,57421605,0,2_methyl_2_pentene_57421605
132,57421607,0,2_methyl_2_pentene_57421607
133,57421608,0,2_methyl_2_pentene_57421608
134,57425573,0,2_methyl_2_pentene_57425573
135,57425586,0,2_methyl_2_pentene_57425586
136,57431571,0,2_methyl_2_pentene_57431571
137,57431573,0,2_methyl_2_pentene_57431573
138,57431574,0,2_methyl_2_pentene_57431574
139,57445133,0,2_methyl_2_pentene_57445133
140,57454995,0,2_methyl_2_pentene_57454995
141,57457157,0,2_methyl_2_pentene_57457157
142,57468284,0,2_methyl_2_pentene_57468284
143,71385929,0,2_methyl_2_pentene_71385929
144,85780172,0,2_methyl_2_pentene_85780172
145,101125040,0,2_methyl_2_pentene_101125040
146,101366425,0,2_methyl_2_pentene_101366425
147,101379280,0,2_methyl_2_pentene_101379280
148,101379281,0,2_methyl_2_pentene_101379281
149,101644219,0,2_methyl_2_pentene_101644219
150,101723154,0,2_methyl_2_pentene_101723154
151,102065173,0,2_methyl_2_pentene_102065173
152,102197768,0,2_methyl_2_pentene_102197768
153,133143680,0,2_methyl_2_pentene_133143680
154,133144606,0,2_methyl_2_pentene_133144606
155,133144764,0,2_methyl_2_pentene_133144764
156,134886699,0,2_methyl_2_pentene_134886699
157,134886795,0,2_methyl_2_pentene_134886795
158,134899382,0,2_methyl_2_pentene_134899382
159,134900484,0,2_methyl_2_pentene_134900484
160,135973543,0,2_methyl_2_pentene_135973543
161,136158608,0,2_methyl_2_pentene_136158608
162,136694049,0,2_methyl_2_pentene_136694049
