,cid,ring,image_saved_as
0,19540,1,2_methylbutyl_cyclopentene_19540
1,16270,1,2_methylbutyl_cyclopentene_16270
2,16269,1,2_methylbutyl_cyclopentene_16269
3,137211,1,2_methylbutyl_cyclopentene_137211
4,77414,1,2_methylbutyl_cyclopentene_77414
5,521217,1,2_methylbutyl_cyclopentene_521217
6,517741,1,2_methylbutyl_cyclopentene_517741
7,138541,1,2_methylbutyl_cyclopentene_138541
8,138257,1,2_methylbutyl_cyclopentene_138257
9,137755,1,2_methylbutyl_cyclopentene_137755
10,137210,1,2_methylbutyl_cyclopentene_137210
11,19893859,1,2_methylbutyl_cyclopentene_19893859
12,6427086,1,2_methylbutyl_cyclopentene_6427086
13,530396,1,2_methylbutyl_cyclopentene_530396
14,523528,1,2_methylbutyl_cyclopentene_523528
15,523527,1,2_methylbutyl_cyclopentene_523527
16,521236,1,2_methylbutyl_cyclopentene_521236
17,54101622,1,2_methylbutyl_cyclopentene_54101622
18,20837636,1,2_methylbutyl_cyclopentene_20837636
19,19893766,1,2_methylbutyl_cyclopentene_19893766
20,19893555,1,2_methylbutyl_cyclopentene_19893555
21,14764015,1,2_methylbutyl_cyclopentene_14764015
22,6537508,1,2_methylbutyl_cyclopentene_6537508
23,6431020,1,2_methylbutyl_cyclopentene_6431020
24,6427085,1,2_methylbutyl_cyclopentene_6427085
25,544055,1,2_methylbutyl_cyclopentene_544055
26,523530,1,2_methylbutyl_cyclopentene_523530
27,523529,1,2_methylbutyl_cyclopentene_523529
28,523489,1,2_methylbutyl_cyclopentene_523489
29,521449,1,2_methylbutyl_cyclopentene_521449
30,520404,1,2_methylbutyl_cyclopentene_520404
31,520128,1,2_methylbutyl_cyclopentene_520128
32,123224949,1,2_methylbutyl_cyclopentene_123224949
33,91199232,1,2_methylbutyl_cyclopentene_91199232
34,90713669,1,2_methylbutyl_cyclopentene_90713669
35,60007293,1,2_methylbutyl_cyclopentene_60007293
36,59994267,1,2_methylbutyl_cyclopentene_59994267
37,59954505,1,2_methylbutyl_cyclopentene_59954505
38,59954503,1,2_methylbutyl_cyclopentene_59954503
39,59954496,1,2_methylbutyl_cyclopentene_59954496
40,59954495,1,2_methylbutyl_cyclopentene_59954495
41,59954478,1,2_methylbutyl_cyclopentene_59954478
42,59954469,1,2_methylbutyl_cyclopentene_59954469
43,59954454,1,2_methylbutyl_cyclopentene_59954454
44,59954450,1,2_methylbutyl_cyclopentene_59954450
45,59954445,1,2_methylbutyl_cyclopentene_59954445
46,59954414,1,2_methylbutyl_cyclopentene_59954414
47,59936799,1,2_methylbutyl_cyclopentene_59936799
48,59911458,1,2_methylbutyl_cyclopentene_59911458
49,59911321,1,2_methylbutyl_cyclopentene_59911321
50,59746976,1,2_methylbutyl_cyclopentene_59746976
51,59117969,1,2_methylbutyl_cyclopentene_59117969
52,59066598,1,2_methylbutyl_cyclopentene_59066598
53,59039354,1,2_methylbutyl_cyclopentene_59039354
54,59039321,1,2_methylbutyl_cyclopentene_59039321
55,58688977,1,2_methylbutyl_cyclopentene_58688977
56,58639765,1,2_methylbutyl_cyclopentene_58639765
57,58504179,1,2_methylbutyl_cyclopentene_58504179
58,57285679,1,2_methylbutyl_cyclopentene_57285679
59,57198894,1,2_methylbutyl_cyclopentene_57198894
60,57162921,1,2_methylbutyl_cyclopentene_57162921
61,57125758,1,2_methylbutyl_cyclopentene_57125758
62,57115232,1,2_methylbutyl_cyclopentene_57115232
63,57045719,1,2_methylbutyl_cyclopentene_57045719
64,54526457,1,2_methylbutyl_cyclopentene_54526457
65,54252328,1,2_methylbutyl_cyclopentene_54252328
66,53678344,1,2_methylbutyl_cyclopentene_53678344
67,23384891,1,2_methylbutyl_cyclopentene_23384891
68,23384890,1,2_methylbutyl_cyclopentene_23384890
69,23267477,1,2_methylbutyl_cyclopentene_23267477
70,22212143,1,2_methylbutyl_cyclopentene_22212143
71,22129074,1,2_methylbutyl_cyclopentene_22129074
72,22129047,1,2_methylbutyl_cyclopentene_22129047
73,19893868,1,2_methylbutyl_cyclopentene_19893868
74,19893808,1,2_methylbutyl_cyclopentene_19893808
75,19893667,1,2_methylbutyl_cyclopentene_19893667
76,19893613,1,2_methylbutyl_cyclopentene_19893613
77,19893595,1,2_methylbutyl_cyclopentene_19893595
78,19893531,1,2_methylbutyl_cyclopentene_19893531
79,18730047,1,2_methylbutyl_cyclopentene_18730047
80,18730042,1,2_methylbutyl_cyclopentene_18730042
81,523526,1,2_methylbutyl_cyclopentene_523526
82,129777607,1,2_methylbutyl_cyclopentene_129777607
83,129716583,1,2_methylbutyl_cyclopentene_129716583
84,124007590,1,2_methylbutyl_cyclopentene_124007590
85,123984630,1,2_methylbutyl_cyclopentene_123984630
86,123968381,1,2_methylbutyl_cyclopentene_123968381
87,123950095,1,2_methylbutyl_cyclopentene_123950095
88,123943353,1,2_methylbutyl_cyclopentene_123943353
89,123942691,1,2_methylbutyl_cyclopentene_123942691
90,123913323,1,2_methylbutyl_cyclopentene_123913323
91,123866552,1,2_methylbutyl_cyclopentene_123866552
92,123857423,1,2_methylbutyl_cyclopentene_123857423
93,123853415,1,2_methylbutyl_cyclopentene_123853415
94,123833176,1,2_methylbutyl_cyclopentene_123833176
95,123811136,1,2_methylbutyl_cyclopentene_123811136
96,123786274,1,2_methylbutyl_cyclopentene_123786274
97,123781570,1,2_methylbutyl_cyclopentene_123781570
98,123777478,1,2_methylbutyl_cyclopentene_123777478
99,123726806,1,2_methylbutyl_cyclopentene_123726806
100,123691427,1,2_methylbutyl_cyclopentene_123691427
101,123663745,1,2_methylbutyl_cyclopentene_123663745
102,123660410,1,2_methylbutyl_cyclopentene_123660410
103,123625055,1,2_methylbutyl_cyclopentene_123625055
104,123561961,1,2_methylbutyl_cyclopentene_123561961
105,123543629,1,2_methylbutyl_cyclopentene_123543629
106,123505979,1,2_methylbutyl_cyclopentene_123505979
107,123455735,1,2_methylbutyl_cyclopentene_123455735
108,123434097,1,2_methylbutyl_cyclopentene_123434097
109,123427642,1,2_methylbutyl_cyclopentene_123427642
110,123376011,1,2_methylbutyl_cyclopentene_123376011
111,123372890,1,2_methylbutyl_cyclopentene_123372890
112,123356282,1,2_methylbutyl_cyclopentene_123356282
113,123352159,1,2_methylbutyl_cyclopentene_123352159
114,123351561,1,2_methylbutyl_cyclopentene_123351561
115,123344000,1,2_methylbutyl_cyclopentene_123344000
116,123335593,1,2_methylbutyl_cyclopentene_123335593
117,123335256,1,2_methylbutyl_cyclopentene_123335256
118,123334876,1,2_methylbutyl_cyclopentene_123334876
119,123334091,1,2_methylbutyl_cyclopentene_123334091
120,123331883,1,2_methylbutyl_cyclopentene_123331883
121,123327315,1,2_methylbutyl_cyclopentene_123327315
122,123278295,1,2_methylbutyl_cyclopentene_123278295
123,123268931,1,2_methylbutyl_cyclopentene_123268931
124,123247111,1,2_methylbutyl_cyclopentene_123247111
125,123222009,1,2_methylbutyl_cyclopentene_123222009
126,123217200,1,2_methylbutyl_cyclopentene_123217200
127,123199909,1,2_methylbutyl_cyclopentene_123199909
128,123149528,1,2_methylbutyl_cyclopentene_123149528
129,102375905,1,2_methylbutyl_cyclopentene_102375905
130,102375903,1,2_methylbutyl_cyclopentene_102375903
131,102375902,1,2_methylbutyl_cyclopentene_102375902
132,91525079,1,2_methylbutyl_cyclopentene_91525079
133,91521521,1,2_methylbutyl_cyclopentene_91521521
134,91472804,1,2_methylbutyl_cyclopentene_91472804
135,91421460,1,2_methylbutyl_cyclopentene_91421460
136,91416126,1,2_methylbutyl_cyclopentene_91416126
137,91368966,1,2_methylbutyl_cyclopentene_91368966
138,91351667,1,2_methylbutyl_cyclopentene_91351667
139,91337363,1,2_methylbutyl_cyclopentene_91337363
140,91324014,1,2_methylbutyl_cyclopentene_91324014
141,91315313,1,2_methylbutyl_cyclopentene_91315313
142,91315149,1,2_methylbutyl_cyclopentene_91315149
143,91293975,1,2_methylbutyl_cyclopentene_91293975
144,91093782,1,2_methylbutyl_cyclopentene_91093782
145,91080148,1,2_methylbutyl_cyclopentene_91080148
146,90993539,1,2_methylbutyl_cyclopentene_90993539
147,90959296,1,2_methylbutyl_cyclopentene_90959296
148,90886959,1,2_methylbutyl_cyclopentene_90886959
149,90867074,1,2_methylbutyl_cyclopentene_90867074
150,90699792,1,2_methylbutyl_cyclopentene_90699792
151,90690533,1,2_methylbutyl_cyclopentene_90690533
152,85947730,1,2_methylbutyl_cyclopentene_85947730
153,23231120,1,2_methylbutyl_cyclopentene_23231120
154,20396308,1,2_methylbutyl_cyclopentene_20396308
155,14325896,1,2_methylbutyl_cyclopentene_14325896
156,14325892,1,2_methylbutyl_cyclopentene_14325892
157,6427196,1,2_methylbutyl_cyclopentene_6427196
158,6427195,1,2_methylbutyl_cyclopentene_6427195
159,6427193,1,2_methylbutyl_cyclopentene_6427193
160,6427186,1,2_methylbutyl_cyclopentene_6427186
161,6427722,1,2_methylbutyl_cyclopentene_6427722
162,6427726,1,2_methylbutyl_cyclopentene_6427726
163,10950624,1,2_methylbutyl_cyclopentene_10950624
164,11027687,1,2_methylbutyl_cyclopentene_11027687
165,11042899,1,2_methylbutyl_cyclopentene_11042899
166,11188642,1,2_methylbutyl_cyclopentene_11188642
167,11223190,1,2_methylbutyl_cyclopentene_11223190
168,14325891,1,2_methylbutyl_cyclopentene_14325891
169,21572738,1,2_methylbutyl_cyclopentene_21572738
170,21607535,1,2_methylbutyl_cyclopentene_21607535
171,22129060,1,2_methylbutyl_cyclopentene_22129060
172,22129134,1,2_methylbutyl_cyclopentene_22129134
173,23230863,1,2_methylbutyl_cyclopentene_23230863
174,56846131,1,2_methylbutyl_cyclopentene_56846131
175,57418697,1,2_methylbutyl_cyclopentene_57418697
176,57426373,1,2_methylbutyl_cyclopentene_57426373
177,57426379,1,2_methylbutyl_cyclopentene_57426379
178,57426383,1,2_methylbutyl_cyclopentene_57426383
179,57427588,1,2_methylbutyl_cyclopentene_57427588
180,57455281,1,2_methylbutyl_cyclopentene_57455281
181,57455282,1,2_methylbutyl_cyclopentene_57455282
182,91324015,1,2_methylbutyl_cyclopentene_91324015
183,102268007,1,2_methylbutyl_cyclopentene_102268007
184,102268008,1,2_methylbutyl_cyclopentene_102268008
185,102375904,1,2_methylbutyl_cyclopentene_102375904
186,124519004,1,2_methylbutyl_cyclopentene_124519004
187,124556686,1,2_methylbutyl_cyclopentene_124556686
188,134887291,1,2_methylbutyl_cyclopentene_134887291
