,cid,ring,image_saved_as
0,1127,1,2_methyltetrahydrothiophene_1127
1,524170,1,2_methyltetrahydrothiophene_524170
2,33590,1,2_methyltetrahydrothiophene_33590
3,15711,1,2_methyltetrahydrothiophene_15711
4,6432505,1,2_methyltetrahydrothiophene_6432505
5,6428514,1,2_methyltetrahydrothiophene_6428514
6,519126,1,2_methyltetrahydrothiophene_519126
7,519125,1,2_methyltetrahydrothiophene_519125
8,15247,1,2_methyltetrahydrothiophene_15247
9,6432504,1,2_methyltetrahydrothiophene_6432504
10,549268,1,2_methyltetrahydrothiophene_549268
11,529624,1,2_methyltetrahydrothiophene_529624
12,528237,1,2_methyltetrahydrothiophene_528237
13,526190,1,2_methyltetrahydrothiophene_526190
14,193639,1,2_methyltetrahydrothiophene_193639
15,42238,1,2_methyltetrahydrothiophene_42238
16,71374473,1,2_methyltetrahydrothiophene_71374473
17,22572177,1,2_methyltetrahydrothiophene_22572177
18,3044827,1,2_methyltetrahydrothiophene_3044827
19,193638,1,2_methyltetrahydrothiophene_193638
20,131982812,1,2_methyltetrahydrothiophene_131982812
21,131982809,1,2_methyltetrahydrothiophene_131982809
22,131982808,1,2_methyltetrahydrothiophene_131982808
23,131982700,1,2_methyltetrahydrothiophene_131982700
24,131982697,1,2_methyltetrahydrothiophene_131982697
25,131982693,1,2_methyltetrahydrothiophene_131982693
26,131982667,1,2_methyltetrahydrothiophene_131982667
27,131982665,1,2_methyltetrahydrothiophene_131982665
28,131982664,1,2_methyltetrahydrothiophene_131982664
29,131982659,1,2_methyltetrahydrothiophene_131982659
30,131982518,1,2_methyltetrahydrothiophene_131982518
31,131982517,1,2_methyltetrahydrothiophene_131982517
32,131982495,1,2_methyltetrahydrothiophene_131982495
33,130381788,1,2_methyltetrahydrothiophene_130381788
34,130381694,1,2_methyltetrahydrothiophene_130381694
35,123891298,1,2_methyltetrahydrothiophene_123891298
36,123707218,1,2_methyltetrahydrothiophene_123707218
37,91201763,1,2_methyltetrahydrothiophene_91201763
38,91089380,1,2_methyltetrahydrothiophene_91089380
39,91002520,1,2_methyltetrahydrothiophene_91002520
40,89185042,1,2_methyltetrahydrothiophene_89185042
41,87223898,1,2_methyltetrahydrothiophene_87223898
42,86252949,1,2_methyltetrahydrothiophene_86252949
43,85549383,1,2_methyltetrahydrothiophene_85549383
44,71360833,1,2_methyltetrahydrothiophene_71360833
45,70479133,1,2_methyltetrahydrothiophene_70479133
46,66920686,1,2_methyltetrahydrothiophene_66920686
47,66920648,1,2_methyltetrahydrothiophene_66920648
48,66730218,1,2_methyltetrahydrothiophene_66730218
49,66730067,1,2_methyltetrahydrothiophene_66730067
50,66730019,1,2_methyltetrahydrothiophene_66730019
51,66729895,1,2_methyltetrahydrothiophene_66729895
52,59876063,1,2_methyltetrahydrothiophene_59876063
53,59269606,1,2_methyltetrahydrothiophene_59269606
54,57941040,1,2_methyltetrahydrothiophene_57941040
55,57082452,1,2_methyltetrahydrothiophene_57082452
56,54387176,1,2_methyltetrahydrothiophene_54387176
57,22572182,1,2_methyltetrahydrothiophene_22572182
58,20581752,1,2_methyltetrahydrothiophene_20581752
59,18717506,1,2_methyltetrahydrothiophene_18717506
60,12668641,1,2_methyltetrahydrothiophene_12668641
61,6999907,1,2_methyltetrahydrothiophene_6999907
62,6431195,1,2_methyltetrahydrothiophene_6431195
63,134927513,1,2_methyltetrahydrothiophene_134927513
64,134839400,1,2_methyltetrahydrothiophene_134839400
65,129823435,1,2_methyltetrahydrothiophene_129823435
66,123674611,1,2_methyltetrahydrothiophene_123674611
67,123550111,1,2_methyltetrahydrothiophene_123550111
68,123441173,1,2_methyltetrahydrothiophene_123441173
69,91576423,1,2_methyltetrahydrothiophene_91576423
70,85526531,1,2_methyltetrahydrothiophene_85526531
71,72164735,1,2_methyltetrahydrothiophene_72164735
72,71429077,1,2_methyltetrahydrothiophene_71429077
73,71404270,1,2_methyltetrahydrothiophene_71404270
74,71399256,1,2_methyltetrahydrothiophene_71399256
75,71379131,1,2_methyltetrahydrothiophene_71379131
76,71338026,1,2_methyltetrahydrothiophene_71338026
77,71338025,1,2_methyltetrahydrothiophene_71338025
78,71338023,1,2_methyltetrahydrothiophene_71338023
79,20837876,1,2_methyltetrahydrothiophene_20837876
80,15669288,1,2_methyltetrahydrothiophene_15669288
81,13555688,1,2_methyltetrahydrothiophene_13555688
82,12431641,1,2_methyltetrahydrothiophene_12431641
83,6431193,1,2_methyltetrahydrothiophene_6431193
84,548240,1,2_methyltetrahydrothiophene_548240
85,643053,1,2_methyltetrahydrothiophene_643053
86,643409,1,2_methyltetrahydrothiophene_643409
87,3044828,1,2_methyltetrahydrothiophene_3044828
