,cid,ring,image_saved_as
0,70704,0,4_bromo_1_pentene_70704
1,5362769,0,4_bromo_1_pentene_5362769
2,140876,0,4_bromo_1_pentene_140876
3,138294,0,4_bromo_1_pentene_138294
4,75906,0,4_bromo_1_pentene_75906
5,53676115,0,4_bromo_1_pentene_53676115
6,13304210,0,4_bromo_1_pentene_13304210
7,13149311,0,4_bromo_1_pentene_13149311
8,2755398,0,4_bromo_1_pentene_2755398
9,521438,0,4_bromo_1_pentene_521438
10,141675,0,4_bromo_1_pentene_141675
11,72956262,0,4_bromo_1_pentene_72956262
12,56979743,0,4_bromo_1_pentene_56979743
13,54447993,0,4_bromo_1_pentene_54447993
14,54220873,0,4_bromo_1_pentene_54220873
15,53439583,0,4_bromo_1_pentene_53439583
16,53438987,0,4_bromo_1_pentene_53438987
17,53426640,0,4_bromo_1_pentene_53426640
18,22138432,0,4_bromo_1_pentene_22138432
19,20836312,0,4_bromo_1_pentene_20836312
20,20074775,0,4_bromo_1_pentene_20074775
21,19963847,0,4_bromo_1_pentene_19963847
22,15881333,0,4_bromo_1_pentene_15881333
23,12722403,0,4_bromo_1_pentene_12722403
24,12714118,0,4_bromo_1_pentene_12714118
25,12466003,0,4_bromo_1_pentene_12466003
26,12400862,0,4_bromo_1_pentene_12400862
27,12033121,0,4_bromo_1_pentene_12033121
28,6090885,0,4_bromo_1_pentene_6090885
29,549201,0,4_bromo_1_pentene_549201
30,287338,0,4_bromo_1_pentene_287338
31,123472776,0,4_bromo_1_pentene_123472776
32,91397311,0,4_bromo_1_pentene_91397311
33,91176617,0,4_bromo_1_pentene_91176617
34,91063587,0,4_bromo_1_pentene_91063587
35,90923714,0,4_bromo_1_pentene_90923714
36,89117496,0,4_bromo_1_pentene_89117496
37,88754896,0,4_bromo_1_pentene_88754896
38,88754866,0,4_bromo_1_pentene_88754866
39,88754818,0,4_bromo_1_pentene_88754818
40,88754223,0,4_bromo_1_pentene_88754223
41,88712717,0,4_bromo_1_pentene_88712717
42,88601710,0,4_bromo_1_pentene_88601710
43,88532655,0,4_bromo_1_pentene_88532655
44,88435824,0,4_bromo_1_pentene_88435824
45,88322072,0,4_bromo_1_pentene_88322072
46,88221719,0,4_bromo_1_pentene_88221719
