,cid,ring,image_saved_as
0,8079,1,Cyclohexene_8079
1,8882,1,Cyclohexene_8882
2,643836,1,Cyclohexene_643836
3,639662,1,Cyclohexene_639662
4,12363,1,Cyclohexene_12363
5,219357,1,Cyclohexene_219357
6,12343,1,Cyclohexene_12343
7,11611,1,Cyclohexene_11611
8,16213229,1,Cyclohexene_16213229
9,13406511,1,Cyclohexene_13406511
10,11182579,1,Cyclohexene_11182579
11,527574,1,Cyclohexene_527574
12,527572,1,Cyclohexene_527572
13,143151,1,Cyclohexene_143151
14,139449,1,Cyclohexene_139449
15,91181716,1,Cyclohexene_91181716
16,59238802,1,Cyclohexene_59238802
17,12729410,1,Cyclohexene_12729410
18,11182993,1,Cyclohexene_11182993
19,10873974,1,Cyclohexene_10873974
20,6439832,1,Cyclohexene_6439832
21,574444,1,Cyclohexene_574444
22,139092,1,Cyclohexene_139092
23,138819,1,Cyclohexene_138819
24,130200518,1,Cyclohexene_130200518
25,126639897,1,Cyclohexene_126639897
26,123181685,1,Cyclohexene_123181685
27,117967848,1,Cyclohexene_117967848
28,91523245,1,Cyclohexene_91523245
29,91354226,1,Cyclohexene_91354226
30,91343870,1,Cyclohexene_91343870
31,91255545,1,Cyclohexene_91255545
32,91188246,1,Cyclohexene_91188246
33,91139915,1,Cyclohexene_91139915
34,90965245,1,Cyclohexene_90965245
35,90955460,1,Cyclohexene_90955460
36,90948486,1,Cyclohexene_90948486
37,90898681,1,Cyclohexene_90898681
38,90812163,1,Cyclohexene_90812163
39,90752516,1,Cyclohexene_90752516
40,89360336,1,Cyclohexene_89360336
41,89001803,1,Cyclohexene_89001803
42,87964739,1,Cyclohexene_87964739
43,87245515,1,Cyclohexene_87245515
44,87233764,1,Cyclohexene_87233764
45,87233607,1,Cyclohexene_87233607
46,86632745,1,Cyclohexene_86632745
47,85588501,1,Cyclohexene_85588501
48,71300988,1,Cyclohexene_71300988
49,70149958,1,Cyclohexene_70149958
50,69421515,1,Cyclohexene_69421515
51,69332132,1,Cyclohexene_69332132
52,69050319,1,Cyclohexene_69050319
53,67000395,1,Cyclohexene_67000395
54,66616393,1,Cyclohexene_66616393
55,60038862,1,Cyclohexene_60038862
56,59989854,1,Cyclohexene_59989854
57,59927436,1,Cyclohexene_59927436
58,59898418,1,Cyclohexene_59898418
59,59819095,1,Cyclohexene_59819095
60,59756673,1,Cyclohexene_59756673
61,59550277,1,Cyclohexene_59550277
62,59098856,1,Cyclohexene_59098856
63,58773508,1,Cyclohexene_58773508
64,57734172,1,Cyclohexene_57734172
65,57609837,1,Cyclohexene_57609837
66,57603350,1,Cyclohexene_57603350
67,57129847,1,Cyclohexene_57129847
68,54475614,1,Cyclohexene_54475614
69,53935741,1,Cyclohexene_53935741
70,53704185,1,Cyclohexene_53704185
71,22378589,1,Cyclohexene_22378589
72,21900369,1,Cyclohexene_21900369
73,19913309,1,Cyclohexene_19913309
74,18436212,1,Cyclohexene_18436212
75,18436211,1,Cyclohexene_18436211
76,18006421,1,Cyclohexene_18006421
77,14784732,1,Cyclohexene_14784732
78,13411985,1,Cyclohexene_13411985
79,12770162,1,Cyclohexene_12770162
80,12691201,1,Cyclohexene_12691201
81,12488951,1,Cyclohexene_12488951
82,12323707,1,Cyclohexene_12323707
83,12231594,1,Cyclohexene_12231594
84,556551,1,Cyclohexene_556551
85,498744,1,Cyclohexene_498744
86,142194,1,Cyclohexene_142194
87,135081963,1,Cyclohexene_135081963
88,135057291,1,Cyclohexene_135057291
89,135056766,1,Cyclohexene_135056766
90,135048554,1,Cyclohexene_135048554
91,135007436,1,Cyclohexene_135007436
92,134991837,1,Cyclohexene_134991837
93,134979455,1,Cyclohexene_134979455
94,134974959,1,Cyclohexene_134974959
95,134899759,1,Cyclohexene_134899759
96,134880780,1,Cyclohexene_134880780
97,134842093,1,Cyclohexene_134842093
98,134831288,1,Cyclohexene_134831288
99,129816593,1,Cyclohexene_129816593
100,129814057,1,Cyclohexene_129814057
101,129813492,1,Cyclohexene_129813492
102,129809884,1,Cyclohexene_129809884
103,129781191,1,Cyclohexene_129781191
104,129719144,1,Cyclohexene_129719144
105,129719140,1,Cyclohexene_129719140
106,129702118,1,Cyclohexene_129702118
107,129673808,1,Cyclohexene_129673808
108,129652079,1,Cyclohexene_129652079
109,129636218,1,Cyclohexene_129636218
110,129634835,1,Cyclohexene_129634835
111,126637053,1,Cyclohexene_126637053
112,123392809,1,Cyclohexene_123392809
113,123148071,1,Cyclohexene_123148071
114,102264245,1,Cyclohexene_102264245
115,101945307,1,Cyclohexene_101945307
116,100985211,1,Cyclohexene_100985211
117,100973114,1,Cyclohexene_100973114
118,91611591,1,Cyclohexene_91611591
