,cid,ring,image_saved_as
0,240,1,benzaldehyde_240
1,68023,1,benzaldehyde_68023
2,67970,1,benzaldehyde_67970
3,96657,1,benzaldehyde_96657
4,68009,1,benzaldehyde_68009
5,252610,1,benzaldehyde_252610
6,12998378,1,benzaldehyde_12998378
7,11159309,1,benzaldehyde_11159309
8,10931392,1,benzaldehyde_10931392
9,10887848,1,benzaldehyde_10887848
10,643439,1,benzaldehyde_643439
11,10877067,1,benzaldehyde_10877067
12,101545303,1,benzaldehyde_101545303
13,86741597,1,benzaldehyde_86741597
14,58341946,1,benzaldehyde_58341946
15,53496129,1,benzaldehyde_53496129
16,21345041,1,benzaldehyde_21345041
17,16213526,1,benzaldehyde_16213526
18,12998379,1,benzaldehyde_12998379
19,12998376,1,benzaldehyde_12998376
20,451336,1,benzaldehyde_451336
21,165326,1,benzaldehyde_165326
22,91422271,1,benzaldehyde_91422271
23,90953871,1,benzaldehyde_90953871
24,90326371,1,benzaldehyde_90326371
25,90020972,1,benzaldehyde_90020972
26,88977191,1,benzaldehyde_88977191
27,88916080,1,benzaldehyde_88916080
28,88713352,1,benzaldehyde_88713352
29,88473900,1,benzaldehyde_88473900
30,88256559,1,benzaldehyde_88256559
31,88102728,1,benzaldehyde_88102728
32,87649807,1,benzaldehyde_87649807
33,87558476,1,benzaldehyde_87558476
34,87447775,1,benzaldehyde_87447775
35,87447170,1,benzaldehyde_87447170
36,87238684,1,benzaldehyde_87238684
37,87187143,1,benzaldehyde_87187143
38,87146652,1,benzaldehyde_87146652
39,87129628,1,benzaldehyde_87129628
40,87127713,1,benzaldehyde_87127713
41,60126816,1,benzaldehyde_60126816
42,60126815,1,benzaldehyde_60126815
43,59963775,1,benzaldehyde_59963775
44,59096231,1,benzaldehyde_59096231
45,59037040,1,benzaldehyde_59037040
46,57725134,1,benzaldehyde_57725134
47,57689791,1,benzaldehyde_57689791
48,57674130,1,benzaldehyde_57674130
49,57674126,1,benzaldehyde_57674126
50,57427132,1,benzaldehyde_57427132
51,57420199,1,benzaldehyde_57420199
52,57272452,1,benzaldehyde_57272452
53,54387679,1,benzaldehyde_54387679
54,53897190,1,benzaldehyde_53897190
55,23291611,1,benzaldehyde_23291611
56,22218417,1,benzaldehyde_22218417
57,22005957,1,benzaldehyde_22005957
58,21932400,1,benzaldehyde_21932400
59,21554678,1,benzaldehyde_21554678
60,20352071,1,benzaldehyde_20352071
61,20085884,1,benzaldehyde_20085884
62,20067993,1,benzaldehyde_20067993
63,20026568,1,benzaldehyde_20026568
64,18635297,1,benzaldehyde_18635297
65,18462349,1,benzaldehyde_18462349
66,12998375,1,benzaldehyde_12998375
67,11007839,1,benzaldehyde_11007839
68,4533214,1,benzaldehyde_4533214
69,451330,1,benzaldehyde_451330
70,134899754,1,benzaldehyde_134899754
71,134861589,1,benzaldehyde_134861589
72,124004125,1,benzaldehyde_124004125
73,85589073,1,benzaldehyde_85589073
74,21855718,1,benzaldehyde_21855718
75,14922981,1,benzaldehyde_14922981
76,4219595,1,benzaldehyde_4219595
77,451255,1,benzaldehyde_451255
78,10351662,1,benzaldehyde_10351662
79,10678232,1,benzaldehyde_10678232
80,10844394,1,benzaldehyde_10844394
81,12998377,1,benzaldehyde_12998377
82,13198211,1,benzaldehyde_13198211
83,16742249,1,benzaldehyde_16742249
84,18444057,1,benzaldehyde_18444057
85,18444058,1,benzaldehyde_18444058
86,20194865,1,benzaldehyde_20194865
87,20373942,1,benzaldehyde_20373942
88,20447206,1,benzaldehyde_20447206
89,20449558,1,benzaldehyde_20449558
90,21139529,1,benzaldehyde_21139529
91,21139672,1,benzaldehyde_21139672
92,21150211,1,benzaldehyde_21150211
93,21469864,1,benzaldehyde_21469864
94,21770944,1,benzaldehyde_21770944
95,22210528,1,benzaldehyde_22210528
96,22483797,1,benzaldehyde_22483797
97,22861502,1,benzaldehyde_22861502
98,22926980,1,benzaldehyde_22926980
99,23290585,1,benzaldehyde_23290585
100,23303670,1,benzaldehyde_23303670
101,23330656,1,benzaldehyde_23330656
102,23663331,1,benzaldehyde_23663331
103,57419975,1,benzaldehyde_57419975
104,57419976,1,benzaldehyde_57419976
105,57419977,1,benzaldehyde_57419977
106,57445927,1,benzaldehyde_57445927
107,57445928,1,benzaldehyde_57445928
108,57475628,1,benzaldehyde_57475628
109,57490113,1,benzaldehyde_57490113
110,76071084,1,benzaldehyde_76071084
111,76972980,1,benzaldehyde_76972980
112,76973936,1,benzaldehyde_76973936
113,85844528,1,benzaldehyde_85844528
114,86174208,1,benzaldehyde_86174208
115,86244097,1,benzaldehyde_86244097
116,87065793,1,benzaldehyde_87065793
117,87252284,1,benzaldehyde_87252284
118,87576571,1,benzaldehyde_87576571
119,88226920,1,benzaldehyde_88226920
120,88470839,1,benzaldehyde_88470839
121,88506515,1,benzaldehyde_88506515
122,88592648,1,benzaldehyde_88592648
123,88760745,1,benzaldehyde_88760745
124,88793525,1,benzaldehyde_88793525
125,88816135,1,benzaldehyde_88816135
126,89196700,1,benzaldehyde_89196700
127,89999362,1,benzaldehyde_89999362
128,100945716,1,benzaldehyde_100945716
129,100957051,1,benzaldehyde_100957051
130,102366640,1,benzaldehyde_102366640
131,117064281,1,benzaldehyde_117064281
132,122397082,1,benzaldehyde_122397082
133,131852945,1,benzaldehyde_131852945
134,132570148,1,benzaldehyde_132570148
