,cid,ring,image_saved_as
0,7845,0,buta_1_3_diene_7845
1,44144408,0,buta_1_3_diene_44144408
2,518944,0,buta_1_3_diene_518944
3,141841,0,buta_1_3_diene_141841
4,141506,0,buta_1_3_diene_141506
5,139187,0,buta_1_3_diene_139187
6,136879,0,buta_1_3_diene_136879
7,123136,0,buta_1_3_diene_123136
8,86062172,0,buta_1_3_diene_86062172
9,71309612,0,buta_1_3_diene_71309612
10,59979381,0,buta_1_3_diene_59979381
11,59961144,0,buta_1_3_diene_59961144
12,59863227,0,buta_1_3_diene_59863227
13,58752526,0,buta_1_3_diene_58752526
14,58649404,0,buta_1_3_diene_58649404
15,53915310,0,buta_1_3_diene_53915310
16,53676512,0,buta_1_3_diene_53676512
17,12349196,0,buta_1_3_diene_12349196
18,12198902,0,buta_1_3_diene_12198902
19,11297949,0,buta_1_3_diene_11297949
20,5365472,0,buta_1_3_diene_5365472
21,551655,0,buta_1_3_diene_551655
22,517868,0,buta_1_3_diene_517868
23,91380651,0,buta_1_3_diene_91380651
24,60073600,0,buta_1_3_diene_60073600
25,59945796,0,buta_1_3_diene_59945796
26,59902186,0,buta_1_3_diene_59902186
27,59889463,0,buta_1_3_diene_59889463
28,59278561,0,buta_1_3_diene_59278561
29,59061974,0,buta_1_3_diene_59061974
30,59024638,0,buta_1_3_diene_59024638
31,59017169,0,buta_1_3_diene_59017169
32,58090524,0,buta_1_3_diene_58090524
33,57458877,0,buta_1_3_diene_57458877
34,22953139,0,buta_1_3_diene_22953139
35,22949871,0,buta_1_3_diene_22949871
36,22948855,0,buta_1_3_diene_22948855
37,18969921,0,buta_1_3_diene_18969921
38,12218053,0,buta_1_3_diene_12218053
39,139183,0,buta_1_3_diene_139183
40,137009,0,buta_1_3_diene_137009
41,135038545,0,buta_1_3_diene_135038545
42,134835654,0,buta_1_3_diene_134835654
43,129888915,0,buta_1_3_diene_129888915
44,129888818,0,buta_1_3_diene_129888818
45,129888735,0,buta_1_3_diene_129888735
46,129818447,0,buta_1_3_diene_129818447
47,129777324,0,buta_1_3_diene_129777324
48,129730961,0,buta_1_3_diene_129730961
49,129712023,0,buta_1_3_diene_129712023
50,129670467,0,buta_1_3_diene_129670467
51,129668891,0,buta_1_3_diene_129668891
52,129665210,0,buta_1_3_diene_129665210
53,129664559,0,buta_1_3_diene_129664559
54,129653338,0,buta_1_3_diene_129653338
55,129651541,0,buta_1_3_diene_129651541
56,129644255,0,buta_1_3_diene_129644255
57,129641634,0,buta_1_3_diene_129641634
58,129640685,0,buta_1_3_diene_129640685
59,129638409,0,buta_1_3_diene_129638409
60,129636585,0,buta_1_3_diene_129636585
61,129632480,0,buta_1_3_diene_129632480
62,129632409,0,buta_1_3_diene_129632409
63,129631460,0,buta_1_3_diene_129631460
64,129631148,0,buta_1_3_diene_129631148
65,129630689,0,buta_1_3_diene_129630689
66,129630514,0,buta_1_3_diene_129630514
67,129630231,0,buta_1_3_diene_129630231
68,129628178,0,buta_1_3_diene_129628178
69,123359987,0,buta_1_3_diene_123359987
70,102256523,0,buta_1_3_diene_102256523
71,101049092,0,buta_1_3_diene_101049092
72,92013482,0,buta_1_3_diene_92013482
73,92003491,0,buta_1_3_diene_92003491
74,91869492,0,buta_1_3_diene_91869492
75,91869490,0,buta_1_3_diene_91869490
76,91308549,0,buta_1_3_diene_91308549
77,91270008,0,buta_1_3_diene_91270008
78,88022759,0,buta_1_3_diene_88022759
79,74069701,0,buta_1_3_diene_74069701
80,71357546,0,buta_1_3_diene_71357546
81,57459296,0,buta_1_3_diene_57459296
82,22320808,0,buta_1_3_diene_22320808
83,19777060,0,buta_1_3_diene_19777060
84,18969905,0,buta_1_3_diene_18969905
85,16692449,0,buta_1_3_diene_16692449
86,16692448,0,buta_1_3_diene_16692448
87,15974792,0,buta_1_3_diene_15974792
88,14128146,0,buta_1_3_diene_14128146
89,13917051,0,buta_1_3_diene_13917051
90,12913184,0,buta_1_3_diene_12913184
91,12825333,0,buta_1_3_diene_12825333
92,11815915,0,buta_1_3_diene_11815915
93,11378441,0,buta_1_3_diene_11378441
94,11051919,0,buta_1_3_diene_11051919
95,10877045,0,buta_1_3_diene_10877045
96,24753,0,buta_1_3_diene_24753
97,533465,0,buta_1_3_diene_533465
98,6328844,0,buta_1_3_diene_6328844
99,12198904,0,buta_1_3_diene_12198904
100,12198905,0,buta_1_3_diene_12198905
101,12432428,0,buta_1_3_diene_12432428
102,12591251,0,buta_1_3_diene_12591251
103,12729920,0,buta_1_3_diene_12729920
104,12844185,0,buta_1_3_diene_12844185
105,13023860,0,buta_1_3_diene_13023860
106,15579367,0,buta_1_3_diene_15579367
107,15972723,0,buta_1_3_diene_15972723
108,15977857,0,buta_1_3_diene_15977857
109,17764966,0,buta_1_3_diene_17764966
110,18003103,0,buta_1_3_diene_18003103
111,18766763,0,buta_1_3_diene_18766763
112,18949351,0,buta_1_3_diene_18949351
113,19078972,0,buta_1_3_diene_19078972
114,19099138,0,buta_1_3_diene_19099138
115,19865721,0,buta_1_3_diene_19865721
116,20111692,0,buta_1_3_diene_20111692
117,20149525,0,buta_1_3_diene_20149525
118,20319922,0,buta_1_3_diene_20319922
119,20321677,0,buta_1_3_diene_20321677
120,20406330,0,buta_1_3_diene_20406330
121,20831696,0,buta_1_3_diene_20831696
122,21301211,0,buta_1_3_diene_21301211
123,21470346,0,buta_1_3_diene_21470346
124,21918024,0,buta_1_3_diene_21918024
125,21922133,0,buta_1_3_diene_21922133
126,22005443,0,buta_1_3_diene_22005443
127,22319989,0,buta_1_3_diene_22319989
128,22667370,0,buta_1_3_diene_22667370
129,23616021,0,buta_1_3_diene_23616021
130,23715565,0,buta_1_3_diene_23715565
131,24758209,0,buta_1_3_diene_24758209
132,24758220,0,buta_1_3_diene_24758220
133,53628004,0,buta_1_3_diene_53628004
134,57422167,0,buta_1_3_diene_57422167
135,57516858,0,buta_1_3_diene_57516858
136,59017170,0,buta_1_3_diene_59017170
137,71446864,0,buta_1_3_diene_71446864
138,85887071,0,buta_1_3_diene_85887071
139,87298965,0,buta_1_3_diene_87298965
140,87671024,0,buta_1_3_diene_87671024
141,87900567,0,buta_1_3_diene_87900567
142,88354028,0,buta_1_3_diene_88354028
143,88769648,0,buta_1_3_diene_88769648
144,88807208,0,buta_1_3_diene_88807208
145,88807210,0,buta_1_3_diene_88807210
146,100958616,0,buta_1_3_diene_100958616
147,100958617,0,buta_1_3_diene_100958617
148,100958618,0,buta_1_3_diene_100958618
149,100959930,0,buta_1_3_diene_100959930
150,100972070,0,buta_1_3_diene_100972070
151,100972072,0,buta_1_3_diene_100972072
