,cid,ring,image_saved_as
0,8064,0,butane_1_4_diol_8064
1,8107,0,butane_1_4_diol_8107
2,12218980,0,butane_1_4_diol_12218980
3,71309106,0,butane_1_4_diol_71309106
4,16211763,0,butane_1_4_diol_16211763
5,22253497,0,butane_1_4_diol_22253497
6,21225517,0,butane_1_4_diol_21225517
7,2724854,0,butane_1_4_diol_2724854
8,123797112,0,butane_1_4_diol_123797112
9,123737136,0,butane_1_4_diol_123737136
10,123190199,0,butane_1_4_diol_123190199
11,88032247,0,butane_1_4_diol_88032247
12,87282984,0,butane_1_4_diol_87282984
13,85801464,0,butane_1_4_diol_85801464
14,60104690,0,butane_1_4_diol_60104690
15,60090521,0,butane_1_4_diol_60090521
16,59962358,0,butane_1_4_diol_59962358
17,59741501,0,butane_1_4_diol_59741501
18,59008464,0,butane_1_4_diol_59008464
19,58858711,0,butane_1_4_diol_58858711
20,57585247,0,butane_1_4_diol_57585247
21,57321762,0,butane_1_4_diol_57321762
22,57057265,0,butane_1_4_diol_57057265
23,23397524,0,butane_1_4_diol_23397524
24,22439470,0,butane_1_4_diol_22439470
25,20293730,0,butane_1_4_diol_20293730
26,13901633,0,butane_1_4_diol_13901633
27,11446293,0,butane_1_4_diol_11446293
28,134846000,0,butane_1_4_diol_134846000
29,129844175,0,butane_1_4_diol_129844175
30,90040583,0,butane_1_4_diol_90040583
31,87696329,0,butane_1_4_diol_87696329
32,23687526,0,butane_1_4_diol_23687526
33,20385292,0,butane_1_4_diol_20385292
34,161475,0,butane_1_4_diol_161475
35,10630444,0,butane_1_4_diol_10630444
36,10820476,0,butane_1_4_diol_10820476
37,11768499,0,butane_1_4_diol_11768499
38,17994140,0,butane_1_4_diol_17994140
39,20248443,0,butane_1_4_diol_20248443
40,21437064,0,butane_1_4_diol_21437064
41,22990865,0,butane_1_4_diol_22990865
42,23135090,0,butane_1_4_diol_23135090
43,23518277,0,butane_1_4_diol_23518277
44,25240091,0,butane_1_4_diol_25240091
45,87238876,0,butane_1_4_diol_87238876
46,87262181,0,butane_1_4_diol_87262181
47,87550298,0,butane_1_4_diol_87550298
48,87680305,0,butane_1_4_diol_87680305
49,87822180,0,butane_1_4_diol_87822180
50,87841101,0,butane_1_4_diol_87841101
51,87923468,0,butane_1_4_diol_87923468
52,88356090,0,butane_1_4_diol_88356090
53,88674094,0,butane_1_4_diol_88674094
54,88696663,0,butane_1_4_diol_88696663
55,88745856,0,butane_1_4_diol_88745856
56,101508397,0,butane_1_4_diol_101508397
57,101508398,0,butane_1_4_diol_101508398
58,101726899,0,butane_1_4_diol_101726899
59,101989815,0,butane_1_4_diol_101989815
60,102461128,0,butane_1_4_diol_102461128
61,121336262,0,butane_1_4_diol_121336262
62,129362714,0,butane_1_4_diol_129362714
63,129362715,0,butane_1_4_diol_129362715
64,135285248,0,butane_1_4_diol_135285248
65,136158624,0,butane_1_4_diol_136158624
66,137404840,0,butane_1_4_diol_137404840
