,cid,ring,image_saved_as
0,1045,0,butylamine_1045
1,8007,0,butylamine_8007
2,8060,0,butylamine_8060
3,3452892,0,butylamine_3452892
4,22027117,0,butylamine_22027117
5,15148285,0,butylamine_15148285
6,6432400,0,butylamine_6432400
7,19726,0,butylamine_19726
8,71308826,0,butylamine_71308826
9,12815213,0,butylamine_12815213
10,12199058,0,butylamine_12199058
11,10582739,0,butylamine_10582739
12,88075134,0,butylamine_88075134
13,53627651,0,butylamine_53627651
14,21904131,0,butylamine_21904131
15,21894792,0,butylamine_21894792
16,21666405,0,butylamine_21666405
17,21468526,0,butylamine_21468526
18,19084593,0,butylamine_19084593
19,19044857,0,butylamine_19044857
20,15525483,0,butylamine_15525483
21,11446288,0,butylamine_11446288
22,3927698,0,butylamine_3927698
23,3614750,0,butylamine_3614750
24,91565641,0,butylamine_91565641
25,91440700,0,butylamine_91440700
26,90849123,0,butylamine_90849123
27,90834319,0,butylamine_90834319
28,90768984,0,butylamine_90768984
29,88199755,0,butylamine_88199755
30,87340068,0,butylamine_87340068
31,60102290,0,butylamine_60102290
32,59954361,0,butylamine_59954361
33,59840139,0,butylamine_59840139
34,59815634,0,butylamine_59815634
35,59559840,0,butylamine_59559840
36,59197401,0,butylamine_59197401
37,59021361,0,butylamine_59021361
38,58627343,0,butylamine_58627343
39,58592368,0,butylamine_58592368
40,58592359,0,butylamine_58592359
41,58566853,0,butylamine_58566853
42,58361420,0,butylamine_58361420
43,58219727,0,butylamine_58219727
44,58200855,0,butylamine_58200855
45,57452107,0,butylamine_57452107
46,57418044,0,butylamine_57418044
47,57059939,0,butylamine_57059939
48,57013984,0,butylamine_57013984
49,56610922,0,butylamine_56610922
50,53995996,0,butylamine_53995996
51,23165561,0,butylamine_23165561
52,23128469,0,butylamine_23128469
53,23123451,0,butylamine_23123451
54,22416631,0,butylamine_22416631
55,22336421,0,butylamine_22336421
56,20738925,0,butylamine_20738925
57,20364357,0,butylamine_20364357
58,18547207,0,butylamine_18547207
59,12213960,0,butylamine_12213960
60,5474662,0,butylamine_5474662
61,135019071,0,butylamine_135019071
62,134973150,0,butylamine_134973150
63,129882845,0,butylamine_129882845
64,129784346,0,butylamine_129784346
65,129729971,0,butylamine_129729971
66,129729395,0,butylamine_129729395
67,123676256,0,butylamine_123676256
68,91469978,0,butylamine_91469978
69,91289869,0,butylamine_91289869
70,90965473,0,butylamine_90965473
71,90700953,0,butylamine_90700953
72,87549704,0,butylamine_87549704
73,83855128,0,butylamine_83855128
74,71309278,0,butylamine_71309278
75,53995995,0,butylamine_53995995
76,53627443,0,butylamine_53627443
77,22017166,0,butylamine_22017166
78,21917484,0,butylamine_21917484
79,18462870,0,butylamine_18462870
80,12246167,0,butylamine_12246167
81,12199059,0,butylamine_12199059
82,12199051,0,butylamine_12199051
83,11115985,0,butylamine_11115985
84,447547,0,butylamine_447547
85,450536,0,butylamine_450536
86,450551,0,butylamine_450551
87,517338,0,butylamine_517338
88,533891,0,butylamine_533891
89,10630443,0,butylamine_10630443
90,10725374,0,butylamine_10725374
91,10855379,0,butylamine_10855379
92,12199045,0,butylamine_12199045
93,12246162,0,butylamine_12246162
94,12246165,0,butylamine_12246165
95,12246170,0,butylamine_12246170
96,16213350,0,butylamine_16213350
97,16219054,0,butylamine_16219054
98,16219055,0,butylamine_16219055
99,17774501,0,butylamine_17774501
100,18699284,0,butylamine_18699284
101,19093182,0,butylamine_19093182
102,19359423,0,butylamine_19359423
103,19359452,0,butylamine_19359452
104,19359506,0,butylamine_19359506
105,19359578,0,butylamine_19359578
106,19359654,0,butylamine_19359654
107,20311775,0,butylamine_20311775
108,20494662,0,butylamine_20494662
109,21321858,0,butylamine_21321858
110,21400444,0,butylamine_21400444
111,21454564,0,butylamine_21454564
112,21951220,0,butylamine_21951220
113,22112168,0,butylamine_22112168
114,22456510,0,butylamine_22456510
115,22679051,0,butylamine_22679051
116,23116605,0,butylamine_23116605
117,25240252,0,butylamine_25240252
118,53629839,0,butylamine_53629839
119,57440713,0,butylamine_57440713
120,57448126,0,butylamine_57448126
121,57472990,0,butylamine_57472990
122,71308973,0,butylamine_71308973
123,84647596,0,butylamine_84647596
124,85697456,0,butylamine_85697456
125,85851377,0,butylamine_85851377
126,86639444,0,butylamine_86639444
127,87378889,0,butylamine_87378889
128,87503444,0,butylamine_87503444
129,87651712,0,butylamine_87651712
130,87677975,0,butylamine_87677975
131,87682062,0,butylamine_87682062
132,87961390,0,butylamine_87961390
133,88013393,0,butylamine_88013393
134,88013394,0,butylamine_88013394
135,88064414,0,butylamine_88064414
136,88105968,0,butylamine_88105968
137,88215818,0,butylamine_88215818
138,88238343,0,butylamine_88238343
139,88240032,0,butylamine_88240032
140,88240404,0,butylamine_88240404
141,88240405,0,butylamine_88240405
142,88264158,0,butylamine_88264158
143,88508425,0,butylamine_88508425
144,88508426,0,butylamine_88508426
145,88661245,0,butylamine_88661245
146,88668590,0,butylamine_88668590
147,88830545,0,butylamine_88830545
148,94855134,0,butylamine_94855134
149,94855135,0,butylamine_94855135
150,101188632,0,butylamine_101188632
151,101274308,0,butylamine_101274308
152,101274309,0,butylamine_101274309
153,101592208,0,butylamine_101592208
154,101724777,0,butylamine_101724777
155,102200791,0,butylamine_102200791
156,102601088,0,butylamine_102601088
157,102601108,0,butylamine_102601108
158,117798870,0,butylamine_117798870
159,119081142,0,butylamine_119081142
160,124547562,0,butylamine_124547562
161,134249139,0,butylamine_134249139
162,135381133,0,butylamine_135381133
163,135963035,0,butylamine_135963035
