,cid,ring,image_saved_as
0,289,1,catechol_289
1,160458,1,catechol_160458
2,67764,1,catechol_67764
3,23688911,1,catechol_23688911
4,18615965,1,catechol_18615965
5,15708894,1,catechol_15708894
6,11953850,1,catechol_11953850
7,85361028,1,catechol_85361028
8,67203422,1,catechol_67203422
9,57607840,1,catechol_57607840
10,20215428,1,catechol_20215428
11,20133816,1,catechol_20133816
12,19100356,1,catechol_19100356
13,17810346,1,catechol_17810346
14,10630461,1,catechol_10630461
15,5489996,1,catechol_5489996
16,137328416,1,catechol_137328416
17,137157115,1,catechol_137157115
18,123879816,1,catechol_123879816
19,91320333,1,catechol_91320333
20,90911099,1,catechol_90911099
21,89575117,1,catechol_89575117
22,88945256,1,catechol_88945256
23,88053526,1,catechol_88053526
24,86734786,1,catechol_86734786
25,70501509,1,catechol_70501509
26,70472816,1,catechol_70472816
27,70144045,1,catechol_70144045
28,70132651,1,catechol_70132651
29,68656910,1,catechol_68656910
30,68584716,1,catechol_68584716
31,67913786,1,catechol_67913786
32,67847977,1,catechol_67847977
33,66722961,1,catechol_66722961
34,59089941,1,catechol_59089941
35,57607847,1,catechol_57607847
36,57607844,1,catechol_57607844
37,57064188,1,catechol_57064188
38,54335055,1,catechol_54335055
39,53759752,1,catechol_53759752
40,53728769,1,catechol_53728769
41,53649715,1,catechol_53649715
42,46941308,1,catechol_46941308
43,22972259,1,catechol_22972259
44,21951209,1,catechol_21951209
45,21226150,1,catechol_21226150
46,20836380,1,catechol_20836380
47,20464162,1,catechol_20464162
48,20026882,1,catechol_20026882
49,12969162,1,catechol_12969162
50,12196523,1,catechol_12196523
51,129821835,1,catechol_129821835
52,129803942,1,catechol_129803942
53,129733753,1,catechol_129733753
54,129731372,1,catechol_129731372
55,129691745,1,catechol_129691745
56,71350901,1,catechol_71350901
57,69648150,1,catechol_69648150
58,451354,1,catechol_451354
59,3981420,1,catechol_3981420
60,6366775,1,catechol_6366775
61,11480435,1,catechol_11480435
62,12196522,1,catechol_12196522
63,12969165,1,catechol_12969165
64,15181965,1,catechol_15181965
65,19027280,1,catechol_19027280
66,19027281,1,catechol_19027281
67,19734653,1,catechol_19734653
68,20258646,1,catechol_20258646
69,20475525,1,catechol_20475525
70,21126813,1,catechol_21126813
71,21256256,1,catechol_21256256
72,21951208,1,catechol_21951208
73,21959294,1,catechol_21959294
74,22486765,1,catechol_22486765
75,22572531,1,catechol_22572531
76,23453318,1,catechol_23453318
77,50931192,1,catechol_50931192
78,50932956,1,catechol_50932956
79,50933101,1,catechol_50933101
80,53869396,1,catechol_53869396
81,57418699,1,catechol_57418699
82,57470119,1,catechol_57470119
83,57473080,1,catechol_57473080
84,67052610,1,catechol_67052610
85,67501722,1,catechol_67501722
86,67602565,1,catechol_67602565
87,67628905,1,catechol_67628905
88,74062532,1,catechol_74062532
89,87097824,1,catechol_87097824
90,87357342,1,catechol_87357342
91,87588621,1,catechol_87588621
92,87588622,1,catechol_87588622
93,87617109,1,catechol_87617109
94,87617929,1,catechol_87617929
95,87617971,1,catechol_87617971
96,87781481,1,catechol_87781481
97,88509986,1,catechol_88509986
98,88655412,1,catechol_88655412
99,88667466,1,catechol_88667466
100,102356742,1,catechol_102356742
101,102356743,1,catechol_102356743
102,102356744,1,catechol_102356744
103,117817831,1,catechol_117817831
104,137364420,1,catechol_137364420
