cid,ring,image_saved_as,iupac,mf
637540,1,2_hydroxy_cinnamic_acid_637540,(E)-3-(2-hydroxyphenyl)prop-2-enoic acid,C9H8O3
5280841,1,2_hydroxy_cinnamic_acid_5280841,(Z)-3-(2-hydroxyphenyl)prop-2-enoic acid,C9H8O3
11968,1,2_hydroxy_cinnamic_acid_11968,3-(2-hydroxyphenyl)prop-2-enoic acid,C9H8O3
87186860,1,2_hydroxy_cinnamic_acid_87186860,(E)-4-(2-hydroxyphenyl)but-2-enoic acid,C10H10O3
22504903,1,2_hydroxy_cinnamic_acid_22504903,(E)-5-(2-hydroxyphenyl)pent-2-enoic acid,C11H12O3
85656670,1,2_hydroxy_cinnamic_acid_85656670,"5-(2-hydroxyphenyl)penta-2,4-dienoic acid",C11H10O3
102509218,1,2_hydroxy_cinnamic_acid_102509218,,C9H8O3+
115018010,1,2_hydroxy_cinnamic_acid_115018010,"(2Z,4E)-5-(2-hydroxyphenyl)penta-2,4-dienoic acid",C11H10O3
131277456,1,2_hydroxy_cinnamic_acid_131277456,(Z)-4-(2-hydroxyphenyl)but-2-enoic acid,C10H10O3
131493246,1,2_hydroxy_cinnamic_acid_131493246,"(4E)-5-(2-hydroxyphenyl)penta-2,4-dienoic acid",C11H10O3
133671008,1,2_hydroxy_cinnamic_acid_133671008,"(2E,4E)-5-(2-hydroxyphenyl)penta-2,4-dienoic acid",C11H10O3
