cid,ring,image_saved_as,iupac,mf
19540,1,2_methylbutyl_cyclopentene_19540,pentylcyclopentane,C10H20
16270,1,2_methylbutyl_cyclopentene_16270,propylcyclopentane,C8H16
16269,1,2_methylbutyl_cyclopentene_16269,butylcyclopentane,C9H18
137211,1,2_methylbutyl_cyclopentene_137211,decylcyclopentane,C15H30
77414,1,2_methylbutyl_cyclopentene_77414,2-methylpropylcyclopentane,C9H18
521217,1,2_methylbutyl_cyclopentene_521217,pentan-2-ylcyclopentane,C10H20
517741,1,2_methylbutyl_cyclopentene_517741,3-methylbutylcyclopentane,C10H20
138541,1,2_methylbutyl_cyclopentene_138541,heptylcyclopentane,C12H24
138257,1,2_methylbutyl_cyclopentene_138257,hexylcyclopentane,C11H22
137755,1,2_methylbutyl_cyclopentene_137755,nonylcyclopentane,C14H28
137210,1,2_methylbutyl_cyclopentene_137210,octylcyclopentane,C13H26
19893859,1,2_methylbutyl_cyclopentene_19893859,heptan-2-ylcyclopentane,C12H24
6427086,1,2_methylbutyl_cyclopentene_6427086,"(1S,3R)-1-methyl-3-propylcyclopentane",C9H18
530396,1,2_methylbutyl_cyclopentene_530396,"1,3-diethylcyclopentane",C9H18
523528,1,2_methylbutyl_cyclopentene_523528,2-methylpentylcyclopentane,C11H22
523527,1,2_methylbutyl_cyclopentene_523527,hexan-2-ylcyclopentane,C11H22
521236,1,2_methylbutyl_cyclopentene_521236,butan-2-ylcyclopentane,C9H18
54101622,1,2_methylbutyl_cyclopentene_54101622,2-methyloctylcyclopentane,C14H28
20837636,1,2_methylbutyl_cyclopentene_20837636,"(1S,3S)-1-methyl-3-propylcyclopentane",C9H18
19893766,1,2_methylbutyl_cyclopentene_19893766,pentan-3-ylcyclopentane,C10H20
19893555,1,2_methylbutyl_cyclopentene_19893555,nonan-2-ylcyclopentane,C14H28
14764015,1,2_methylbutyl_cyclopentene_14764015,octan-2-ylcyclopentane,C13H26
6537508,1,2_methylbutyl_cyclopentene_6537508,"(1R,3R)-1,3-diethylcyclopentane",C9H18
6431020,1,2_methylbutyl_cyclopentene_6431020,"(1S,3R)-1,3-diethylcyclopentane",C9H18
6427085,1,2_methylbutyl_cyclopentene_6427085,"(1R,3R)-1-methyl-3-propylcyclopentane",C9H18
544055,1,2_methylbutyl_cyclopentene_544055,1-hexyl-3-methylcyclopentane,C12H24
523530,1,2_methylbutyl_cyclopentene_523530,4-methylpentylcyclopentane,C11H22
523529,1,2_methylbutyl_cyclopentene_523529,3-methylpentylcyclopentane,C11H22
523489,1,2_methylbutyl_cyclopentene_523489,1-butyl-3-methylcyclopentane,C10H20
521449,1,2_methylbutyl_cyclopentene_521449,2-methylbutylcyclopentane,C10H20
520404,1,2_methylbutyl_cyclopentene_520404,1-methyl-3-(2-methylpropyl)cyclopentane,C10H20
520128,1,2_methylbutyl_cyclopentene_520128,1-methyl-3-propylcyclopentane,C9H18
123224949,1,2_methylbutyl_cyclopentene_123224949,1-heptyl-3-methylcyclopentane,C13H26
60007293,1,2_methylbutyl_cyclopentene_60007293,1-hexyl-3-propylcyclopentane,C14H28
59994267,1,2_methylbutyl_cyclopentene_59994267,5-methylheptylcyclopentane,C13H26
59954505,1,2_methylbutyl_cyclopentene_59954505,"(1S,3S)-1-ethyl-3-propylcyclopentane",C10H20
59954503,1,2_methylbutyl_cyclopentene_59954503,[(2R)-pentan-2-yl]cyclopentane,C10H20
59954496,1,2_methylbutyl_cyclopentene_59954496,"(1R,3R)-1-ethyl-3-propylcyclopentane",C10H20
59954495,1,2_methylbutyl_cyclopentene_59954495,"(1S,3R)-1-ethyl-3-propylcyclopentane",C10H20
59954478,1,2_methylbutyl_cyclopentene_59954478,[(2R)-3-methylbutan-2-yl]cyclopentane,C10H20
59954469,1,2_methylbutyl_cyclopentene_59954469,"(1R,3S)-1-ethyl-3-propylcyclopentane",C10H20
59954454,1,2_methylbutyl_cyclopentene_59954454,[(2R)-butan-2-yl]cyclopentane,C9H18
59954450,1,2_methylbutyl_cyclopentene_59954450,"(1R,3S)-1-methyl-3-propylcyclopentane",C9H18
59954445,1,2_methylbutyl_cyclopentene_59954445,[(2S)-3-methylbutan-2-yl]cyclopentane,C10H20
59954414,1,2_methylbutyl_cyclopentene_59954414,[(2S)-pentan-2-yl]cyclopentane,C10H20
59936799,1,2_methylbutyl_cyclopentene_59936799,(4-methyl-3-propan-2-ylpentyl)cyclopentane,C14H28
59911458,1,2_methylbutyl_cyclopentene_59911458,[(3R)-2-methylhexan-3-yl]cyclopentane,C12H24
59911321,1,2_methylbutyl_cyclopentene_59911321,[(3R)-2-methylpentan-3-yl]cyclopentane,C11H22
59746976,1,2_methylbutyl_cyclopentene_59746976,"2,4-dimethylpentan-3-ylcyclopentane",C12H24
59117969,1,2_methylbutyl_cyclopentene_59117969,(3R)-1-butyl-3-methylcyclopentane,C10H20
59066598,1,2_methylbutyl_cyclopentene_59066598,decylcyclopentane,C15H29+
59039354,1,2_methylbutyl_cyclopentene_59039354,[(3S)-2-methylhexan-3-yl]cyclopentane,C12H24
59039321,1,2_methylbutyl_cyclopentene_59039321,[(3S)-2-methylpentan-3-yl]cyclopentane,C11H22
58688977,1,2_methylbutyl_cyclopentene_58688977,"2,3-dimethylbutylcyclopentane",C11H22
58639765,1,2_methylbutyl_cyclopentene_58639765,(1S)-1-butyl-3-methylcyclopentane,C10H20
58504179,1,2_methylbutyl_cyclopentene_58504179,4-methylheptylcyclopentane,C13H26
57285679,1,2_methylbutyl_cyclopentene_57285679,"2,7-dimethyloctylcyclopentane",C15H30
57198894,1,2_methylbutyl_cyclopentene_57198894,4-methylhexylcyclopentane,C12H24
57162921,1,2_methylbutyl_cyclopentene_57162921,"2,6-dimethyloctan-4-ylcyclopentane",C15H30
57125758,1,2_methylbutyl_cyclopentene_57125758,"2,5-dimethylhexylcyclopentane",C13H26
57115232,1,2_methylbutyl_cyclopentene_57115232,3-methylhexylcyclopentane,C12H24
57045719,1,2_methylbutyl_cyclopentene_57045719,"2,5-dimethylheptylcyclopentane",C14H28
54526457,1,2_methylbutyl_cyclopentene_54526457,5-methylhexylcyclopentane,C12H24
54252328,1,2_methylbutyl_cyclopentene_54252328,2-ethylbutylcyclopentane,C11H22
53678344,1,2_methylbutyl_cyclopentene_53678344,2-ethylpentylcyclopentane,C12H24
23384891,1,2_methylbutyl_cyclopentene_23384891,2-methylpentan-3-ylcyclopentane,C11H22
23384890,1,2_methylbutyl_cyclopentene_23384890,2-methylhexan-3-ylcyclopentane,C12H24
23267477,1,2_methylbutyl_cyclopentene_23267477,[(2S)-butan-2-yl]cyclopentane,C9H18
22212143,1,2_methylbutyl_cyclopentene_22212143,"(1S,3S)-1,3-diethylcyclopentane",C9H18
22129074,1,2_methylbutyl_cyclopentene_22129074,1-butyl-3-ethylcyclopentane,C11H22
22129047,1,2_methylbutyl_cyclopentene_22129047,"1,3-bis(2-methylpropyl)cyclopentane",C13H26
19893868,1,2_methylbutyl_cyclopentene_19893868,hexan-3-ylcyclopentane,C11H22
19893808,1,2_methylbutyl_cyclopentene_19893808,decan-3-ylcyclopentane,C15H30
19893667,1,2_methylbutyl_cyclopentene_19893667,octan-3-ylcyclopentane,C13H26
19893613,1,2_methylbutyl_cyclopentene_19893613,heptan-3-ylcyclopentane,C12H24
19893595,1,2_methylbutyl_cyclopentene_19893595,decan-2-ylcyclopentane,C15H30
19893531,1,2_methylbutyl_cyclopentene_19893531,nonan-3-ylcyclopentane,C14H28
18730047,1,2_methylbutyl_cyclopentene_18730047,1-ethyl-3-propylcyclopentane,C10H20
18730042,1,2_methylbutyl_cyclopentene_18730042,3-methylbutan-2-ylcyclopentane,C10H20
523526,1,2_methylbutyl_cyclopentene_523526,1-methyl-3-pentylcyclopentane,C11H22
129777607,1,2_methylbutyl_cyclopentene_129777607,6-methylnonylcyclopentane,C15H30
129716583,1,2_methylbutyl_cyclopentene_129716583,6-methylheptylcyclopentane,C13H26
124007590,1,2_methylbutyl_cyclopentene_124007590,2-methyloctan-3-ylcyclopentane,C14H28
123984630,1,2_methylbutyl_cyclopentene_123984630,"4,5-dimethylhexan-3-ylcyclopentane",C13H26
123968381,1,2_methylbutyl_cyclopentene_123968381,"3,4-dimethylhexylcyclopentane",C13H26
123950095,1,2_methylbutyl_cyclopentene_123950095,"2,3-dimethylpentylcyclopentane",C12H24
123943353,1,2_methylbutyl_cyclopentene_123943353,"3,5-dimethylheptylcyclopentane",C14H28
123942691,1,2_methylbutyl_cyclopentene_123942691,4-methylhexan-3-ylcyclopentane,C12H24
123913323,1,2_methylbutyl_cyclopentene_123913323,hexylcyclopentane,C11H21-
123866552,1,2_methylbutyl_cyclopentene_123866552,"3,6-dimethyloctylcyclopentane",C15H30
123857423,1,2_methylbutyl_cyclopentene_123857423,"2,3-dimethylheptylcyclopentane",C14H28
123853415,1,2_methylbutyl_cyclopentene_123853415,(2-ethyl-4-methylpentyl)cyclopentane,C13H26
