cid,ring,image_saved_as,iupac,mf
8079,1,Cyclohexene_8079,cyclohexene,C6H10
8882,1,Cyclohexene_8882,cyclopentene,C5H8
643836,1,Cyclohexene_643836,(Z)-hept-2-ene,C7H14
639662,1,Cyclohexene_639662,(E)-hept-2-ene,C7H14
12363,1,Cyclohexene_12363,cycloheptene,C7H12
219357,1,Cyclohexene_219357,3-methylidenecyclohexene,C7H10
12343,1,Cyclohexene_12343,"cyclohexa-1,4-diene",C6H8
11611,1,Cyclohexene_11611,hept-2-ene,C7H14
16213229,1,Cyclohexene_16213229,"1,2,3,3,4,4,5,5,6,6-decadeuteriocyclohexene",C6H10
13406511,1,Cyclohexene_13406511,3-fluorocyclohexene,C6H9F
11182579,1,Cyclohexene_11182579,1-fluorocyclohexene,C6H9F
527574,1,Cyclohexene_527574,4-iodocyclohexene,C6H9I
527572,1,Cyclohexene_527572,3-iodocyclohexene,C6H9I
143151,1,Cyclohexene_143151,"4,5-dimethylidenecyclohexene",C8H10
139449,1,Cyclohexene_139449,4-methylidenecyclohexene,C7H10
91181716,1,Cyclohexene_91181716,1-deuteriocyclohexene,C6H10
59238802,1,Cyclohexene_59238802,cyclohexen-1-ylboron,C6H9B
10873974,1,Cyclohexene_10873974,cyclohexene,C6H9
6439832,1,Cyclohexene_6439832,"(1Z,4Z)-cyclonona-1,4-diene",C9H14
574444,1,Cyclohexene_574444,cyclohex-2-ene-1-thione,C6H8S
139092,1,Cyclohexene_139092,chloro(cyclohexen-1-yl)mercury,C6H9ClHg
138819,1,Cyclohexene_138819,"cyclonona-1,4-diene",C9H14
126639897,1,Cyclohexene_126639897,"4,5-diiodocyclohexene",C6H8I2
123181685,1,Cyclohexene_123181685,"(4Z)-cyclonona-1,4-diene",C9H14
91523245,1,Cyclohexene_91523245,"cyclotetradeca-1,5,9-triene",C14H22
91139915,1,Cyclohexene_91139915,"cyclotetradeca-1,4,9-triene",C14H22
90948486,1,Cyclohexene_90948486,"trideca-1,6,12-triene",C13H22
90812163,1,Cyclohexene_90812163,(E)-oct-2-ene,C8H15+
90752516,1,Cyclohexene_90752516,"cyclotrideca-1,4,8-triene",C13H20
89360336,1,Cyclohexene_89360336,(3R)-3-iodocyclohexene,C6H9I
89001803,1,Cyclohexene_89001803,cyclohex-3-en-1-ylphosphane,C6H11P
85588501,1,Cyclohexene_85588501,cyclohex-2-en-1-ylphosphane,C6H11P
66616393,1,Cyclohexene_66616393,"4,4-difluorocyclohexene",C6H8F2
60038862,1,Cyclohexene_60038862,3-methylcyclohexene,C7H10
59989854,1,Cyclohexene_59989854,"1,2-dideuteriocyclopentene",C5H8
59927436,1,Cyclohexene_59927436,(Z)-hept-2-ene,C7H12
59819095,1,Cyclohexene_59819095,"(1Z,4Z,7Z)-cyclododeca-1,4,7-triene",C12H18
59550277,1,Cyclohexene_59550277,di(cyclohex-2-en-1-yl)tin,C12H18Sn
59098856,1,Cyclohexene_59098856,(E)-3-tritiohept-2-ene,C7H14
57129847,1,Cyclohexene_57129847,"cycloundeca-1,6-diene",C11H18
54475614,1,Cyclohexene_54475614,"tetradeca-1,7,13-triene",C14H24
53935741,1,Cyclohexene_53935741,"cyclododeca-1,4,7-triene",C12H18
53704185,1,Cyclohexene_53704185,"dodeca-1,5,11-triene",C12H20
22378589,1,Cyclohexene_22378589,4-fluorocyclohexene,C6H9F
19913309,1,Cyclohexene_19913309,"3,3-difluorocyclohexene",C6H8F2
13411985,1,Cyclohexene_13411985,"undeca-1,4,10-triene",C11H18
12770162,1,Cyclohexene_12770162,cyclohexene,C6H9
12691201,1,Cyclohexene_12691201,4-propan-2-ylidenecyclohexene,C9H14
12488951,1,Cyclohexene_12488951,"1-propylcyclohexa-1,4-diene",C9H14
12323707,1,Cyclohexene_12323707,"3-deuteriocyclohexa-1,4-diene",C6H8
12231594,1,Cyclohexene_12231594,3-deuteriocycloheptene,C7H12
556551,1,Cyclohexene_556551,4-ethylidenecyclohexene,C8H12
498744,1,Cyclohexene_498744,"cyclododeca-1,7-diene",C12H20
142194,1,Cyclohexene_142194,1-protiocyclopentene,C5H8
135057291,1,Cyclohexene_135057291,[(1S)-cyclohex-2-en-1-yl]-trimethylstannane,C9H18Sn
135056766,1,Cyclohexene_135056766,(Z)-hept-2-ene,C7H13
135048554,1,Cyclohexene_135048554,cyclohex-2-en-1-ylboron,C6H9B
135007436,1,Cyclohexene_135007436,[(1R)-cyclohex-2-en-1-yl]-trimethylstannane,C9H18Sn
134991837,1,Cyclohexene_134991837,trichloro(cyclohex-3-en-1-yl)germane,C6H9Cl3Ge
134979455,1,Cyclohexene_134979455,trichloro(cyclohex-3-en-1-yl)stannane,C6H9Cl3Sn
134880780,1,Cyclohexene_134880780,bromo(cyclohex-3-en-1-yl)mercury,C6H9BrHg
134842093,1,Cyclohexene_134842093,"(5Z)-cyclodeca-1,2,5-triene",C10H14
134831288,1,Cyclohexene_134831288,cyclohexene,C6H8+
129816593,1,Cyclohexene_129816593,7lambda2-germabicyclo[2.2.1]hept-2-ene,C6H8Ge
129814057,1,Cyclohexene_129814057,1-methyltellanylcyclohexene,C7H12Te
129813492,1,Cyclohexene_129813492,cyclohexen-1-yl tellurohypobromite,C6H9BrTe
129781191,1,Cyclohexene_129781191,cyclohex-2-en-1-ylsilicon,C6H9Si
129719144,1,Cyclohexene_129719144,"1,2,3,3,4-pentadeuteriocycloheptene",C7H12
129719140,1,Cyclohexene_129719140,"4,4,5,6,6-pentadeuteriocycloheptene",C7H12
129702118,1,Cyclohexene_129702118,7lambda2-stannabicyclo[2.2.1]hept-2-ene,C6H8Sn
126637053,1,Cyclohexene_126637053,"(3R)-3,6-difluorocyclohexene",C6H8F2
123392809,1,Cyclohexene_123392809,"cyclotrideca-1,2,8-triene",C13H20
123148071,1,Cyclohexene_123148071,cyclohex-3-en-1-ylboron,C6H9B
102264245,1,Cyclohexene_102264245,(3S)-3-fluorocyclohexene,C6H9F
101945307,1,Cyclohexene_101945307,"3,3,4,4,5,5,6,6-octadeuteriocyclohexene",C6H10
100985211,1,Cyclohexene_100985211,cyclohexene,C6H9-
100973114,1,Cyclohexene_100973114,"1,2,3,3,4,4,5,5-octadeuteriocyclopentene",C5H8
91611591,1,Cyclohexene_91611591,(E)-oct-2-ene,C8H15-
91144152,1,Cyclohexene_91144152,(E)-hept-2-ene,C7H13+
90817018,1,Cyclohexene_90817018,cyclohexene,C6H8
90761087,1,Cyclohexene_90761087,(Z)-hept-2-ene,C7H13+
90713436,1,Cyclohexene_90713436,3-methylidenecyclohexene,C7H9+
90361118,1,Cyclohexene_90361118,"3,6-difluorocyclohexene",C6H8F2
89833794,1,Cyclohexene_89833794,"3,4-difluorocyclohexene",C6H8F2
89377747,1,Cyclohexene_89377747,(4R)-4-fluorocyclohexene,C6H9F
89130307,1,Cyclohexene_89130307,"(3S)-3,6-diiodocyclohexene",C6H8I2
89044029,1,Cyclohexene_89044029,"(3R)-3,6-diiodocyclohexene",C6H8I2
86008017,1,Cyclohexene_86008017,cycloheptene,C7H11+
85909183,1,Cyclohexene_85909183,chloro(cyclohex-2-en-1-yl)mercury,C6H9ClHg
68342991,1,Cyclohexene_68342991,(3S)-3-iodocyclohexene,C6H9I
57603351,1,Cyclohexene_57603351,cyclohexene,C6H9-
53630277,1,Cyclohexene_53630277,cycloheptene,C7H11
24976048,1,Cyclohexene_24976048,"(1Z,6Z)-cycloundeca-1,6-diene",C11H18
17935504,1,Cyclohexene_17935504,"(4E)-undeca-1,4,10-triene",C11H18
12724635,1,Cyclohexene_12724635,3-methylcyclohexene,C7H11
12630265,1,Cyclohexene_12630265,cyclohexene,C6H9
12601457,1,Cyclohexene_12601457,"(7E)-tetradeca-1,7,13-triene",C14H24
12200837,1,Cyclohexene_12200837,"3,3,6,6-tetradeuteriocyclohexene",C6H10
10879371,1,Cyclohexene_10879371,cyclohex-2-en-1-yl(trimethyl)stannane,C9H18Sn
520861,1,Cyclohexene_520861,1-deuteriocyclopentene,C5H8
