cid,ring,image_saved_as,iupac,mf
240,1,benzaldehyde_240,benzaldehyde,C7H6O
68023,1,benzaldehyde_68023,4-fluorobenzaldehyde,C7H5FO
67970,1,benzaldehyde_67970,2-fluorobenzaldehyde,C7H5FO
96657,1,benzaldehyde_96657,4-iodobenzaldehyde,C7H5IO
68009,1,benzaldehyde_68009,3-fluorobenzaldehyde,C7H5FO
252610,1,benzaldehyde_252610,3-iodobenzaldehyde,C7H5IO
12998378,1,benzaldehyde_12998378,"deuterio-(2,3,4,5,6-pentadeuteriophenyl)methanone",C7H6O
11159309,1,benzaldehyde_11159309,"2,3,4,5,6-pentadeuteriobenzaldehyde",C7H6O
10931392,1,benzaldehyde_10931392,"(1,2,3,4,5,6-13C6)cyclohexatrienecarbaldehyde",C7H6O
10887848,1,benzaldehyde_10887848,deuterio(phenyl)methanone,C7H6O
643439,1,benzaldehyde_643439,2-iodobenzaldehyde,C7H5IO
10877067,1,benzaldehyde_10877067,benzaldehyde,C7H6O
101545303,1,benzaldehyde_101545303,cyclohexatrienecarbaldehyde,C7H5O+
100957051,1,benzaldehyde_100957051,"(1,2,3,4,5,6-13C6)cyclohexatrienecarbaldehyde",C7H6O
58341946,1,benzaldehyde_58341946,cyclohexatrienecarbaldehyde,C7H5O+
53496129,1,benzaldehyde_53496129,3-(18F)fluoranylbenzaldehyde,C7H5FO
21345041,1,benzaldehyde_21345041,benzylideneoxidanium,C7H7O+
16213526,1,benzaldehyde_16213526,deuterio(phenyl)(113C)methanone,C7H6O
12998379,1,benzaldehyde_12998379,(18O)benzaldehyde,C7H6O
12998376,1,benzaldehyde_12998376,2-deuteriobenzaldehyde,C7H6O
451336,1,benzaldehyde_451336,4-(18F)fluoranylbenzaldehyde,C7H5FO
165326,1,benzaldehyde_165326,cyclohexatrienecarbaldehyde,C7H5O+
102366640,1,benzaldehyde_102366640,2-fluoro(18O)benzaldehyde,C7H5FO
117064281,1,benzaldehyde_117064281,"deuterio-(2,3,4,5,6-pentadeuteriophenyl)(113C)methanone",C7H6O
90326371,1,benzaldehyde_90326371,"cyclohexa-1,3-dien-5-yne-1-carbaldehyde",C7H4O
88977191,1,benzaldehyde_88977191,4-phosphanylbenzaldehyde,C7H7OP
88916080,1,benzaldehyde_88916080,4-(123I)iodanylbenzaldehyde,C7H5IO
87649807,1,benzaldehyde_87649807,2-phosphanylbenzaldehyde,C7H7OP
132570148,1,benzaldehyde_132570148,4-(131I)iodanylbenzaldehyde,C7H5IO
60126816,1,benzaldehyde_60126816,(3-formylphenyl)boron,C7H5BO
59963775,1,benzaldehyde_59963775,2-tritiobenzaldehyde,C7H6O
59096231,1,benzaldehyde_59096231,(4-deuteriocarbonylphenyl)boron,C7H5BO
59037040,1,benzaldehyde_59037040,4-deuteriobenzaldehyde,C7H6O
