cid,ring,image_saved_as,iupac,mf
7845,0,buta_1_3_diene_7845,"buta-1,3-diene",C4H6
44144408,0,buta_1_3_diene_44144408,"1-mercuracyclopenta-2,4-diene",C4H4Hg
518944,0,buta_1_3_diene_518944,"1,1,2,3,4,4-hexadeuteriobuta-1,3-diene",C4H6
141841,0,buta_1_3_diene_141841,"hexa-1,3,4-triene",C6H8
141506,0,buta_1_3_diene_141506,"hexa-1,2,4,5-tetraene",C6H6
139187,0,buta_1_3_diene_139187,"penta-1,2,4-triene",C5H6
136879,0,buta_1_3_diene_136879,cyclobutadiene,C4H4
123136,0,buta_1_3_diene_123136,prop-1-ene,C3H5
86062172,0,buta_1_3_diene_86062172,"buta-1,3-diene",C4H5+
71309612,0,buta_1_3_diene_71309612,"(1,3-13C2)buta-1,3-diene",C4H6
58649404,0,buta_1_3_diene_58649404,prop-1-ene,C3H5+
53915310,0,buta_1_3_diene_53915310,"1-fluorobuta-1,3-diene",C4H5F
53676512,0,buta_1_3_diene_53676512,"hexa-1,2,3,5-tetraene",C6H6
12349196,0,buta_1_3_diene_12349196,prop-1-ene,C3H5-
12198902,0,buta_1_3_diene_12198902,"2,3-dideuteriobuta-1,3-diene",C4H6
5365472,0,buta_1_3_diene_5365472,prop-1-ene,C3H4
551655,0,buta_1_3_diene_551655,"2-fluorobuta-1,3-diene",C4H5F
517868,0,buta_1_3_diene_517868,"1,1,4,4-tetradeuteriobuta-1,3-diene",C4H6
59889463,0,buta_1_3_diene_59889463,"buta-1,3-dien-2-yltin",C4H5Sn
59061974,0,buta_1_3_diene_59061974,"(1Z)-1-fluorobuta-1,3-diene",C4H5F
57458877,0,buta_1_3_diene_57458877,1lambda2-stannole,C4H4Sn
18969921,0,buta_1_3_diene_18969921,1lambda2-bismole,C4H4Bi
12218053,0,buta_1_3_diene_12218053,"hepta-1,3,4,6-tetraene",C7H8
139183,0,buta_1_3_diene_139183,"1,1,4,4-tetraprotiobuta-1,3-diene",C4H6
137009,0,buta_1_3_diene_137009,"1,1,2,3,4,4-hexaprotiobuta-1,3-diene",C4H6
134835654,0,buta_1_3_diene_134835654,"(213C)buta-1,3-diene",C4H6
129888915,0,buta_1_3_diene_129888915,digalline,C4H4Ga2
129888818,0,buta_1_3_diene_129888818,"1lambda3,2lambda3-diplumbacyclohexa-1,3,5-triene",C4H4Pb2
129665210,0,buta_1_3_diene_129665210,distibinine,C4H4Sb2
129636585,0,buta_1_3_diene_129636585,1lambda2-gallole,C4H4Ga
129631148,0,buta_1_3_diene_129631148,1lambda2-indigole,C4H4In
123359987,0,buta_1_3_diene_123359987,"hepta-1,2,3,4,6-pentaene",C7H6
102256523,0,buta_1_3_diene_102256523,"(113C)buta-1,3-diene",C4H6
101049092,0,buta_1_3_diene_101049092,ditellurine,C4H4Te2
92013482,0,buta_1_3_diene_92013482,"hepta-1,3,4,5-tetraene",C7H8
91869492,0,buta_1_3_diene_91869492,1H-stibole,C4H5Sb
91869490,0,buta_1_3_diene_91869490,1H-bismole,C4H5Bi
91308549,0,buta_1_3_diene_91308549,"buta-1,3-dien-2-ylboron",C4H5B
91270008,0,buta_1_3_diene_91270008,"buta-1,3-dienylboron",C4H5B
74069701,0,buta_1_3_diene_74069701,"1$l^{3},2$l^{3}-digermacyclohexa-1,3,5-triene",C4H4Ge2
71357546,0,buta_1_3_diene_71357546,1H-stannole,C4H6Sn
57459296,0,buta_1_3_diene_57459296,"1,2-dideuteriocyclobuta-1,3-diene",C4H4
22320808,0,buta_1_3_diene_22320808,"buta-1,3-diene",C8H12
18969905,0,buta_1_3_diene_18969905,1lambda2-stibole,C4H4Sb
16692449,0,buta_1_3_diene_16692449,"1-deuteriobuta-1,3-diene",C4H6
16692448,0,buta_1_3_diene_16692448,"1,4-dideuteriobuta-1,3-diene",C4H6
11378441,0,buta_1_3_diene_11378441,"(1E)-1-fluorobuta-1,3-diene",C4H5F
24753,0,buta_1_3_diene_24753,"buta-1,3-diene",C4H4
533465,0,buta_1_3_diene_533465,but-2-ene,C4H6-2
6328844,0,buta_1_3_diene_6328844,(E)-but-2-ene,C4H6-2
12198904,0,buta_1_3_diene_12198904,"1,1-dideuteriobuta-1,3-diene",C4H6
12198905,0,buta_1_3_diene_12198905,"1,1,2-trideuteriobuta-1,3-diene",C4H6
12432428,0,buta_1_3_diene_12432428,"buta-1,3-diene",C4H5
12591251,0,buta_1_3_diene_12591251,"(3E)-penta-1,3-diene",C5H6
12729920,0,buta_1_3_diene_12729920,"octa-1,3,4,5,7-pentaene",C8H8
12844185,0,buta_1_3_diene_12844185,"(3E)-penta-1,3-diene",C5H7
15579367,0,buta_1_3_diene_15579367,"buta-1,3-diene",C4H5
18766763,0,buta_1_3_diene_18766763,"[(1E)-buta-1,3-dienyl]tin(3+)",C4H5Sn+3
20831696,0,buta_1_3_diene_20831696,"1lambda2,2lambda2-diastatacyclohexa-3,5-diene",C4H4At2
23616021,0,buta_1_3_diene_23616021,digermine,C4H6Ge2
24758209,0,buta_1_3_diene_24758209,"buta-1,3-diene-1-tellone",C4H4Te
24758220,0,buta_1_3_diene_24758220,"buta-1,3-diene-1-selone",C4H4Se
53628004,0,buta_1_3_diene_53628004,"penta-1,2,4-triene",C5H5
57422167,0,buta_1_3_diene_57422167,"(3E)-hexa-1,3,5-triene",C6H7
57516858,0,buta_1_3_diene_57516858,1lambda2-plumbole,C4H4Pb
59017170,0,buta_1_3_diene_59017170,"1,4-ditritiobuta-1,3-diene",C4H6
71446864,0,buta_1_3_diene_71446864,1H-germole,C4H6Ge
85887071,0,buta_1_3_diene_85887071,"buta-1,3-diene",C4H5+
87298965,0,buta_1_3_diene_87298965,3-lambda1-polanylprop-1-ene,C3H5Po
88807208,0,buta_1_3_diene_88807208,"buta-1,3-dienylaluminum(2+)",C4H5Al+2
88807210,0,buta_1_3_diene_88807210,"[(1E)-buta-1,3-dienyl]aluminum",C4H5Al
100958616,0,buta_1_3_diene_100958616,deuteriocyclobutadiene,C4H4
100958617,0,buta_1_3_diene_100958617,(113C)cyclobutadiene,C4H4
100958618,0,buta_1_3_diene_100958618,"(1,2-13C2)cyclobutadiene",C4H4
100959930,0,buta_1_3_diene_100959930,"penta-1,3-diene",C5H6
100972070,0,buta_1_3_diene_100972070,1-deuterioprop-1-ene,C3H5
100972072,0,buta_1_3_diene_100972072,"1,1-dideuterioprop-1-ene",C3H5
100977538,0,buta_1_3_diene_100977538,"(3Z)-hexa-1,3,5-triene",C6H7+
101030591,0,buta_1_3_diene_101030591,"buta-1,3-diene",C4H4
101030592,0,buta_1_3_diene_101030592,"buta-1,3-diene",C4H4
101045898,0,buta_1_3_diene_101045898,"1-germanuidacyclopenta-2,4-diene",C4H7Ge-
101128257,0,buta_1_3_diene_101128257,"1,1,2,3,4,4-hexadeuterio(1,2,3,4-13C4)buta-1,3-diene",C4H6
101340326,0,buta_1_3_diene_101340326,(113C)prop-1-ene,C3H5
101397740,0,buta_1_3_diene_101397740,"penta-1,2,4-triene",C5H4
101455067,0,buta_1_3_diene_101455067,"buta-1,3-diene",C4H3+
101686259,0,buta_1_3_diene_101686259,prop-1-ene,C3H4-2
101751805,0,buta_1_3_diene_101751805,2-deuterioprop-1-ene,C3H5
102007977,0,buta_1_3_diene_102007977,"1,1,2,3,3-pentadeuterioprop-1-ene",C3H5
102023416,0,buta_1_3_diene_102023416,"buta-1,3-diene",C4H4-2
102056785,0,buta_1_3_diene_102056785,"(3E)-hexa-1,3,5-triene",C6H6-2
102256521,0,buta_1_3_diene_102256521,"(1,4-13C2)buta-1,3-diene",C4H6
102256522,0,buta_1_3_diene_102256522,"(2,3-13C2)buta-1,3-diene",C4H6
102256524,0,buta_1_3_diene_102256524,"2-deuteriobuta-1,3-diene",C4H6
132518347,0,buta_1_3_diene_132518347,"(3Z)-penta-1,3-diene",C5H5+
134898449,0,buta_1_3_diene_134898449,"(3Z)-penta-1,3-diene",C5H7
136694110,0,buta_1_3_diene_136694110,prop-1-ene,C3H4+
136811171,0,buta_1_3_diene_136811171,"(3E)-hexa-1,3,5-triene",C6H7+
136843852,0,buta_1_3_diene_136843852,(Z)-but-2-ene,C4H6-2
136870394,0,buta_1_3_diene_136870394,"(3Z)-hexa-1,3,5-triene",C6H7+
136877085,0,buta_1_3_diene_136877085,"hexa-1,3,4-triene",C6H7+
136916074,0,buta_1_3_diene_136916074,"2-fluorobuta-1,3-diene",C4H4F+
