cid,ring,image_saved_as,iupac,mf
8064,0,butane_1_4_diol_8064,"butane-1,4-diol",C4H10O2
8107,0,butane_1_4_diol_8107,4-methoxybutan-1-ol,C5H12O2
12218980,0,butane_1_4_diol_12218980,"2,2,3,3-tetradeuteriobutane-1,4-diol",C4H10O2
71309106,0,butane_1_4_diol_71309106,"(1,2,3,4-13C4)butane-1,4-diol",C4H10O2
16211763,0,butane_1_4_diol_16211763,"1,1,2,2,3,3,4,4-octadeuteriobutane-1,4-diol",C4H10O2
21225517,0,butane_1_4_diol_21225517,4-hydroperoxybutan-1-ol,C4H10O3
2724854,0,butane_1_4_diol_2724854,"1,1,2,2,3,3,4,4-octadeuterio-1,4-dideuteriooxybutane",C4H10O2
123797112,0,butane_1_4_diol_123797112,"1,1,3,3-tetradeuteriobutane-1,4-diol",C4H10O2
123737136,0,butane_1_4_diol_123737136,"1,1,2,2-tetradeuteriobutane-1,4-diol",C4H10O2
123190199,0,butane_1_4_diol_123190199,"1,1-dideuteriobutane-1,4-diol",C4H10O2
85801464,0,butane_1_4_diol_85801464,butan-1-ol,C4H9O+
60090521,0,butane_1_4_diol_60090521,butan-1-ol,C4H8O
59008464,0,butane_1_4_diol_59008464,"butane-1,4-diol",C4H9O2+
58858711,0,butane_1_4_diol_58858711,4-hydroxybutyl hypofluorite,C4H9FO2
57585247,0,butane_1_4_diol_57585247,4-methoxybutan-1-ol,C5H10O2
57321762,0,butane_1_4_diol_57321762,4-sulfanyloxybutan-1-ol,C4H10O2S
57057265,0,butane_1_4_diol_57057265,"1-fluorobutane-1,4-diol",C4H9FO2
23397524,0,butane_1_4_diol_23397524,4-hydroxybutyloxidanium,C4H11O2+
20293730,0,butane_1_4_diol_20293730,"butane-1,1,1,4-tetrol",C4H10O4
13901633,0,butane_1_4_diol_13901633,"2-fluorobutane-1,4-diol",C4H9FO2
11446293,0,butane_1_4_diol_11446293,"1,4-dideuteriooxybutane",C4H10O2
134846000,0,butane_1_4_diol_134846000,butan-1-ol,C4H8O
129844175,0,butane_1_4_diol_129844175,"(2R,3R)-2,3-bis(lambda1-selanyl)butane-1,4-diol",C4H8O2Se2
161475,0,butane_1_4_diol_161475,butan-1-ol,C4H9O
10630444,0,butane_1_4_diol_10630444,"1,1,4,4-tetradeuteriobutane-1,4-diol",C4H10O2
10820476,0,butane_1_4_diol_10820476,"(1,4-13C2)butane-1,4-diol",C4H10O2
11768499,0,butane_1_4_diol_11768499,"2-deuteriobutane-1,4-diol",C4H10O2
25240091,0,butane_1_4_diol_25240091,"(2R)-2-deuteriobutane-1,4-diol",C4H10O2
87238876,0,butane_1_4_diol_87238876,4-hydroxybutyl(oxo)tin,C4H9O2Sn
87262181,0,butane_1_4_diol_87262181,4-hydroxybutoxysilicon,C4H9O2Si
87822180,0,butane_1_4_diol_87822180,"1,4-dihydroxybutylmercury",C4H9HgO2
88674094,0,butane_1_4_diol_88674094,"1,4-dihydroxybutyllead",C4H9O2Pb
101508397,0,butane_1_4_diol_101508397,"1,1,4,4-tetradeuterio-1,4-dideuteriooxybutane",C4H10O2
101508398,0,butane_1_4_diol_101508398,"1,1,2,3,4,4-hexadeuterio-1,4-dideuteriooxybutane",C4H10O2
101726899,0,butane_1_4_diol_101726899,butan-1-ol,C4H8O
101989815,0,butane_1_4_diol_101989815,4-lambda1-oxidanyloxybutan-1-ol,C4H9O3
102461128,0,butane_1_4_diol_102461128,butyloxidanium,C4H10O+
121336262,0,butane_1_4_diol_121336262,4-hydroxybutyl hypoiodite,C4H9IO2
129362714,0,butane_1_4_diol_129362714,"(2S)-2-fluorobutane-1,4-diol",C4H9FO2
129362715,0,butane_1_4_diol_129362715,"(2R)-2-fluorobutane-1,4-diol",C4H9FO2
136158624,0,butane_1_4_diol_136158624,butan-1-ol,C4H8O+
