cid,ring,image_saved_as,iupac,mf
1045,0,butylamine_1045,"butane-1,4-diamine",C4H12N2
8007,0,butylamine_8007,butan-1-amine,C4H11N
8060,0,butylamine_8060,pentan-1-amine,C5H13N
3452892,0,butylamine_3452892,4-azaniumylbutylazanium,C4H14N2+2
22027117,0,butylamine_22027117,butylazanide,C4H10N-
15148285,0,butylamine_15148285,"butane-1,1-diamine",C4H12N2
71308826,0,butylamine_71308826,"(1,2,3,4-13C4)butane-1,4-diamine",C4H12N2
12815213,0,butylamine_12815213,N-chlorobutan-1-amine,C4H10ClN
10582739,0,butylamine_10582739,"(1,4-13C2)butane-1,4-diamine",C4H12N2
21666405,0,butylamine_21666405,N-bromobutan-1-amine,C4H10BrN
21468526,0,butylamine_21468526,butylaminoboron,C4H10BN
15525483,0,butylamine_15525483,N-fluorobutan-1-amine,C4H10FN
3927698,0,butylamine_3927698,pentylazanium,C5H14N+
3614750,0,butylamine_3614750,butylazanium,C4H12N+
59559840,0,butylamine_59559840,butan-1-amine,C4H9N
59197401,0,butylamine_59197401,butan-1-amine,C4H8N
58627343,0,butylamine_58627343,4-tritiobutan-1-amine,C4H11N
58566853,0,butylamine_58566853,"butane-1,4-diamine",C4H11N2
58361420,0,butylamine_58361420,1-lambda2-azanylpentane,C5H12N
58219727,0,butylamine_58219727,4-aminobutylidyneyttrium,C4H8NY
57452107,0,butylamine_57452107,butan-1-amine,C4H10N
57418044,0,butylamine_57418044,butan-1-amine,C4H10N
57059939,0,butylamine_57059939,N-iodobutan-1-amine,C4H10IN
57013984,0,butylamine_57013984,1-aminobutylboron,C4H10BN
56610922,0,butylamine_56610922,N-tritiobutan-1-amine,C4H11N
53995996,0,butylamine_53995996,"N'-tritiobutane-1,4-diamine",C4H12N2
23128469,0,butylamine_23128469,2-fluorobutan-1-amine,C4H10FN
23123451,0,butylamine_23123451,1-fluorobutan-1-amine,C4H10FN
20738925,0,butylamine_20738925,butylazanium,C4H11N
20364357,0,butylamine_20364357,N-butylthiohydroxylamine,C4H11NS
12213960,0,butylamine_12213960,"1,1-dideuteriopentan-1-amine",C5H13N
5474662,0,butylamine_5474662,1-$l^{2}-azanylbutane,C4H10N
134973150,0,butylamine_134973150,pentylazanide,C5H12N-
