cid,ring,image_saved_as,iupac,mf
6559,0,isobutyronitrile_6559,2-methylpropanenitrile,C4H7N
7854,0,isobutyronitrile_7854,propanenitrile,C3H5N
12244,0,isobutyronitrile_12244,3-methylbutanenitrile,C5H9N
8008,0,isobutyronitrile_8008,butanenitrile,C4H7N
29339,0,isobutyronitrile_29339,2-methylbutanenitrile,C5H9N
12416,0,isobutyronitrile_12416,"2,2-dimethylpropanenitrile",C5H9N
23742,0,isobutyronitrile_23742,"2,2-dimethylpropanedinitrile",C5H6N2
19426,0,isobutyronitrile_19426,2-ethylpropanedinitrile,C5H6N2
642159,0,isobutyronitrile_642159,(2S)-2-methylbutanenitrile,C5H9N
19425,0,isobutyronitrile_19425,2-methylpropanedinitrile,C4H4N2
14703972,0,isobutyronitrile_14703972,2-methylpropanenitrile oxide,C4H7NO
12951488,0,isobutyronitrile_12951488,2-methylbutanedinitrile,C5H6N2
6914116,0,isobutyronitrile_6914116,"2,2,3,3,3-pentadeuteriopropanenitrile",C3H5N
5232958,0,isobutyronitrile_5232958,methanetricarbonitrile,C4HN3
137872,0,isobutyronitrile_137872,propanenitrile,C3H4N
87227198,0,isobutyronitrile_87227198,3-iodo-2-methylpropanenitrile,C4H6IN
58500132,0,isobutyronitrile_58500132,2-deuteriopropanenitrile,C3H5N
57452848,0,isobutyronitrile_57452848,2-prop-1-ynylpropanedinitrile,C6H4N2
13158036,0,isobutyronitrile_13158036,"2,3-dimethylbutanenitrile",C6H11N
5479121,0,isobutyronitrile_5479121,(2R)-2-methylbutanenitrile,C5H9N
88471022,0,isobutyronitrile_88471022,2-methylpropanenitrile,C8H14N2
87163210,0,isobutyronitrile_87163210,"propane-1,1,2-tricarbonitrile",C6H5N3
83814948,0,isobutyronitrile_83814948,3-fluoro-2-methylpropanenitrile,C4H6FN
58248964,0,isobutyronitrile_58248964,"3,4,4,4-tetradeuterio-3-methylbutanenitrile",C5H9N
58248961,0,isobutyronitrile_58248961,3-deuterio-3-methylbutanenitrile,C5H9N
58150491,0,isobutyronitrile_58150491,2-deuterio-2-methylpropanenitrile,C4H7N
58066897,0,isobutyronitrile_58066897,"2,2,3,3,4,4,4-heptadeuteriobutanenitrile",C4H7N
57744928,0,isobutyronitrile_57744928,2-methylpropanenitrile,C4H3N
57744924,0,isobutyronitrile_57744924,"2,2-di(methyl)propanenitrile",C5H5N
57608024,0,isobutyronitrile_57608024,"2,2-dideuteriopropanenitrile",C3H5N
57608018,0,isobutyronitrile_57608018,"3,3,3-trideuteriopropanenitrile",C3H5N
57125350,0,isobutyronitrile_57125350,"3,3,3-trideuterio-2-(dideuteriomethyl)propanenitrile",C4H7N
54201020,0,isobutyronitrile_54201020,"3,3,3-trideuterio-2-(trideuteriomethyl)propanenitrile",C4H7N
22939741,0,isobutyronitrile_22939741,2-methylbut-3-ynenitrile,C5H5N
22084811,0,isobutyronitrile_22084811,3-isocyano-2-methylpropanenitrile,C5H6N2
21032518,0,isobutyronitrile_21032518,2-cyanopropylboron,C4H6BN
20767656,0,isobutyronitrile_20767656,"3,3,3-trifluoro-2-methylpropanenitrile",C4H4F3N
11962024,0,isobutyronitrile_11962024,2-methyl-2-methyltellanylpropanenitrile,C5H9NTe
10129896,0,isobutyronitrile_10129896,2-fluoro-2-methylpropanenitrile,C4H6FN
139148,0,isobutyronitrile_139148,"2,2,3,3,3-pentaprotiopropanenitrile",C3H5N
135009092,0,isobutyronitrile_135009092,2-methylpropanenitrilium,C4H8N+
134963915,0,isobutyronitrile_134963915,3-methanidylbutanenitrile,C5H8N-
123177670,0,isobutyronitrile_123177670,(113C)propanenitrile,C3H5N
18999405,0,isobutyronitrile_18999405,2-cyanopropylsilicon,C4H6NSi
12272597,0,isobutyronitrile_12272597,"N,2-dimethylpropanenitrilium",C5H10N+
12759096,0,isobutyronitrile_12759096,2-methyl-3-trichlorogermylpropanenitrile,C4H6Cl3GeN
