cid,ring,image_saved_as,iupac,mf
8079,1,methylcyclopentadiene_8079,cyclohexene,C6H10
8882,1,methylcyclopentadiene_8882,cyclopentene,C5H8
643836,1,methylcyclopentadiene_643836,(Z)-hept-2-ene,C7H14
639662,1,methylcyclopentadiene_639662,(E)-hept-2-ene,C7H14
12363,1,methylcyclopentadiene_12363,cycloheptene,C7H12
219357,1,methylcyclopentadiene_219357,3-methylidenecyclohexene,C7H10
12343,1,methylcyclopentadiene_12343,"cyclohexa-1,4-diene",C6H8
11611,1,methylcyclopentadiene_11611,hept-2-ene,C7H14
16213229,1,methylcyclopentadiene_16213229,"1,2,3,3,4,4,5,5,6,6-decadeuteriocyclohexene",C6H10
13406511,1,methylcyclopentadiene_13406511,3-fluorocyclohexene,C6H9F
11182579,1,methylcyclopentadiene_11182579,1-fluorocyclohexene,C6H9F
527574,1,methylcyclopentadiene_527574,4-iodocyclohexene,C6H9I
527572,1,methylcyclopentadiene_527572,3-iodocyclohexene,C6H9I
143151,1,methylcyclopentadiene_143151,"4,5-dimethylidenecyclohexene",C8H10
139449,1,methylcyclopentadiene_139449,4-methylidenecyclohexene,C7H10
91181716,1,methylcyclopentadiene_91181716,1-deuteriocyclohexene,C6H10
59238802,1,methylcyclopentadiene_59238802,cyclohexen-1-ylboron,C6H9B
10873974,1,methylcyclopentadiene_10873974,cyclohexene,C6H9
6439832,1,methylcyclopentadiene_6439832,"(1Z,4Z)-cyclonona-1,4-diene",C9H14
574444,1,methylcyclopentadiene_574444,cyclohex-2-ene-1-thione,C6H8S
139092,1,methylcyclopentadiene_139092,chloro(cyclohexen-1-yl)mercury,C6H9ClHg
138819,1,methylcyclopentadiene_138819,"cyclonona-1,4-diene",C9H14
126639897,1,methylcyclopentadiene_126639897,"4,5-diiodocyclohexene",C6H8I2
123181685,1,methylcyclopentadiene_123181685,"(4Z)-cyclonona-1,4-diene",C9H14
91523245,1,methylcyclopentadiene_91523245,"cyclotetradeca-1,5,9-triene",C14H22
91139915,1,methylcyclopentadiene_91139915,"cyclotetradeca-1,4,9-triene",C14H22
90948486,1,methylcyclopentadiene_90948486,"trideca-1,6,12-triene",C13H22
90812163,1,methylcyclopentadiene_90812163,(E)-oct-2-ene,C8H15+
90752516,1,methylcyclopentadiene_90752516,"cyclotrideca-1,4,8-triene",C13H20
89360336,1,methylcyclopentadiene_89360336,(3R)-3-iodocyclohexene,C6H9I
89001803,1,methylcyclopentadiene_89001803,cyclohex-3-en-1-ylphosphane,C6H11P
85588501,1,methylcyclopentadiene_85588501,cyclohex-2-en-1-ylphosphane,C6H11P
66616393,1,methylcyclopentadiene_66616393,"4,4-difluorocyclohexene",C6H8F2
60038862,1,methylcyclopentadiene_60038862,3-methylcyclohexene,C7H10
59989854,1,methylcyclopentadiene_59989854,"1,2-dideuteriocyclopentene",C5H8
59927436,1,methylcyclopentadiene_59927436,(Z)-hept-2-ene,C7H12
59819095,1,methylcyclopentadiene_59819095,"(1Z,4Z,7Z)-cyclododeca-1,4,7-triene",C12H18
59550277,1,methylcyclopentadiene_59550277,di(cyclohex-2-en-1-yl)tin,C12H18Sn
59098856,1,methylcyclopentadiene_59098856,(E)-3-tritiohept-2-ene,C7H14
57129847,1,methylcyclopentadiene_57129847,"cycloundeca-1,6-diene",C11H18
54475614,1,methylcyclopentadiene_54475614,"tetradeca-1,7,13-triene",C14H24
53935741,1,methylcyclopentadiene_53935741,"cyclododeca-1,4,7-triene",C12H18
53704185,1,methylcyclopentadiene_53704185,"dodeca-1,5,11-triene",C12H20
22378589,1,methylcyclopentadiene_22378589,4-fluorocyclohexene,C6H9F
19913309,1,methylcyclopentadiene_19913309,"3,3-difluorocyclohexene",C6H8F2
13411985,1,methylcyclopentadiene_13411985,"undeca-1,4,10-triene",C11H18
12770162,1,methylcyclopentadiene_12770162,cyclohexene,C6H9
12691201,1,methylcyclopentadiene_12691201,4-propan-2-ylidenecyclohexene,C9H14
12488951,1,methylcyclopentadiene_12488951,"1-propylcyclohexa-1,4-diene",C9H14
12323707,1,methylcyclopentadiene_12323707,"3-deuteriocyclohexa-1,4-diene",C6H8
12231594,1,methylcyclopentadiene_12231594,3-deuteriocycloheptene,C7H12
556551,1,methylcyclopentadiene_556551,4-ethylidenecyclohexene,C8H12
498744,1,methylcyclopentadiene_498744,"cyclododeca-1,7-diene",C12H20
142194,1,methylcyclopentadiene_142194,1-protiocyclopentene,C5H8
135057291,1,methylcyclopentadiene_135057291,[(1S)-cyclohex-2-en-1-yl]-trimethylstannane,C9H18Sn
135056766,1,methylcyclopentadiene_135056766,(Z)-hept-2-ene,C7H13
135048554,1,methylcyclopentadiene_135048554,cyclohex-2-en-1-ylboron,C6H9B
135007436,1,methylcyclopentadiene_135007436,[(1R)-cyclohex-2-en-1-yl]-trimethylstannane,C9H18Sn
134991837,1,methylcyclopentadiene_134991837,trichloro(cyclohex-3-en-1-yl)germane,C6H9Cl3Ge
134979455,1,methylcyclopentadiene_134979455,trichloro(cyclohex-3-en-1-yl)stannane,C6H9Cl3Sn
134880780,1,methylcyclopentadiene_134880780,bromo(cyclohex-3-en-1-yl)mercury,C6H9BrHg
134842093,1,methylcyclopentadiene_134842093,"(5Z)-cyclodeca-1,2,5-triene",C10H14
134831288,1,methylcyclopentadiene_134831288,cyclohexene,C6H8+
129816593,1,methylcyclopentadiene_129816593,7lambda2-germabicyclo[2.2.1]hept-2-ene,C6H8Ge
129814057,1,methylcyclopentadiene_129814057,1-methyltellanylcyclohexene,C7H12Te
129813492,1,methylcyclopentadiene_129813492,cyclohexen-1-yl tellurohypobromite,C6H9BrTe
129781191,1,methylcyclopentadiene_129781191,cyclohex-2-en-1-ylsilicon,C6H9Si
129719144,1,methylcyclopentadiene_129719144,"1,2,3,3,4-pentadeuteriocycloheptene",C7H12
129719140,1,methylcyclopentadiene_129719140,"4,4,5,6,6-pentadeuteriocycloheptene",C7H12
129702118,1,methylcyclopentadiene_129702118,7lambda2-stannabicyclo[2.2.1]hept-2-ene,C6H8Sn
126637053,1,methylcyclopentadiene_126637053,"(3R)-3,6-difluorocyclohexene",C6H8F2
123392809,1,methylcyclopentadiene_123392809,"cyclotrideca-1,2,8-triene",C13H20
123148071,1,methylcyclopentadiene_123148071,cyclohex-3-en-1-ylboron,C6H9B
102264245,1,methylcyclopentadiene_102264245,(3S)-3-fluorocyclohexene,C6H9F
101945307,1,methylcyclopentadiene_101945307,"3,3,4,4,5,5,6,6-octadeuteriocyclohexene",C6H10
100985211,1,methylcyclopentadiene_100985211,cyclohexene,C6H9-
100973114,1,methylcyclopentadiene_100973114,"1,2,3,3,4,4,5,5-octadeuteriocyclopentene",C5H8
91611591,1,methylcyclopentadiene_91611591,(E)-oct-2-ene,C8H15-
91144152,1,methylcyclopentadiene_91144152,(E)-hept-2-ene,C7H13+
90817018,1,methylcyclopentadiene_90817018,cyclohexene,C6H8
90761087,1,methylcyclopentadiene_90761087,(Z)-hept-2-ene,C7H13+
90713436,1,methylcyclopentadiene_90713436,3-methylidenecyclohexene,C7H9+
90361118,1,methylcyclopentadiene_90361118,"3,6-difluorocyclohexene",C6H8F2
89833794,1,methylcyclopentadiene_89833794,"3,4-difluorocyclohexene",C6H8F2
