,cid,ring,image_saved_as
0,2906,1,cyclopentylamine_2906
1,18933503,1,cyclopentylamine_18933503
2,11217523,1,cyclopentylamine_11217523
3,243938,1,cyclopentylamine_243938
4,179512,1,cyclopentylamine_179512
5,70587780,1,cyclopentylamine_70587780
6,53302323,1,cyclopentylamine_53302323
7,45116601,1,cyclopentylamine_45116601
8,22715767,1,cyclopentylamine_22715767
9,17888006,1,cyclopentylamine_17888006
10,12290111,1,cyclopentylamine_12290111
11,7359936,1,cyclopentylamine_7359936
12,101871675,1,cyclopentylamine_101871675
13,91538509,1,cyclopentylamine_91538509
14,68684184,1,cyclopentylamine_68684184
15,66781454,1,cyclopentylamine_66781454
16,60023983,1,cyclopentylamine_60023983
17,59966809,1,cyclopentylamine_59966809
18,59831598,1,cyclopentylamine_59831598
19,57437207,1,cyclopentylamine_57437207
20,55290746,1,cyclopentylamine_55290746
21,55285366,1,cyclopentylamine_55285366
22,55285365,1,cyclopentylamine_55285365
23,53302324,1,cyclopentylamine_53302324
24,53302320,1,cyclopentylamine_53302320
25,23566346,1,cyclopentylamine_23566346
26,22649861,1,cyclopentylamine_22649861
27,21450377,1,cyclopentylamine_21450377
28,17887997,1,cyclopentylamine_17887997
29,11412654,1,cyclopentylamine_11412654
30,134849199,1,cyclopentylamine_134849199
31,123804102,1,cyclopentylamine_123804102
32,88121458,1,cyclopentylamine_88121458
33,70584497,1,cyclopentylamine_70584497
34,69760233,1,cyclopentylamine_69760233
35,66790836,1,cyclopentylamine_66790836
36,66790835,1,cyclopentylamine_66790835
37,66790834,1,cyclopentylamine_66790834
38,59946192,1,cyclopentylamine_59946192
39,55283921,1,cyclopentylamine_55283921
40,18509014,1,cyclopentylamine_18509014
41,19105824,1,cyclopentylamine_19105824
42,21144800,1,cyclopentylamine_21144800
43,21576589,1,cyclopentylamine_21576589
44,21631229,1,cyclopentylamine_21631229
45,22715766,1,cyclopentylamine_22715766
46,25161297,1,cyclopentylamine_25161297
47,25184433,1,cyclopentylamine_25184433
48,55290745,1,cyclopentylamine_55290745
49,55296959,1,cyclopentylamine_55296959
50,56973680,1,cyclopentylamine_56973680
51,57425101,1,cyclopentylamine_57425101
52,57440181,1,cyclopentylamine_57440181
53,57462531,1,cyclopentylamine_57462531
54,57462532,1,cyclopentylamine_57462532
55,67684554,1,cyclopentylamine_67684554
56,67778478,1,cyclopentylamine_67778478
57,67966025,1,cyclopentylamine_67966025
58,69254255,1,cyclopentylamine_69254255
59,73013090,1,cyclopentylamine_73013090
60,77538537,1,cyclopentylamine_77538537
61,87861322,1,cyclopentylamine_87861322
62,88963425,1,cyclopentylamine_88963425
63,88981019,1,cyclopentylamine_88981019
64,89060540,1,cyclopentylamine_89060540
65,89397249,1,cyclopentylamine_89397249
66,89493496,1,cyclopentylamine_89493496
67,89705044,1,cyclopentylamine_89705044
68,90228959,1,cyclopentylamine_90228959
69,97055034,1,cyclopentylamine_97055034
70,102057400,1,cyclopentylamine_102057400
71,117906552,1,cyclopentylamine_117906552
72,118992771,1,cyclopentylamine_118992771
73,119056982,1,cyclopentylamine_119056982
74,122500142,1,cyclopentylamine_122500142
75,126698335,1,cyclopentylamine_126698335
76,127256085,1,cyclopentylamine_127256085
77,131856517,1,cyclopentylamine_131856517
78,131856518,1,cyclopentylamine_131856518
79,131856519,1,cyclopentylamine_131856519
80,131856520,1,cyclopentylamine_131856520
81,131856521,1,cyclopentylamine_131856521
82,131856522,1,cyclopentylamine_131856522
83,132352603,1,cyclopentylamine_132352603
84,133144269,1,cyclopentylamine_133144269
85,135242939,1,cyclopentylamine_135242939
