,cid,ring,image_saved_as
0,3283,0,diethyl_ether_3283
1,8114,0,diethyl_ether_8114
2,12340,0,diethyl_ether_12340
3,2723765,0,diethyl_ether_2723765
4,14569188,0,diethyl_ether_14569188
5,86739792,0,diethyl_ether_86739792
6,12660729,0,diethyl_ether_12660729
7,10953452,0,diethyl_ether_10953452
8,165095,0,diethyl_ether_165095
9,131712026,0,diethyl_ether_131712026
10,123808868,0,diethyl_ether_123808868
11,87323971,0,diethyl_ether_87323971
12,87323276,0,diethyl_ether_87323276
13,86736976,0,diethyl_ether_86736976
14,86223203,0,diethyl_ether_86223203
15,59958840,0,diethyl_ether_59958840
16,59532644,0,diethyl_ether_59532644
17,59274961,0,diethyl_ether_59274961
18,59270486,0,diethyl_ether_59270486
19,59088268,0,diethyl_ether_59088268
20,59063843,0,diethyl_ether_59063843
21,58886783,0,diethyl_ether_58886783
22,58731377,0,diethyl_ether_58731377
23,58587210,0,diethyl_ether_58587210
24,57941033,0,diethyl_ether_57941033
25,57579608,0,diethyl_ether_57579608
26,57433259,0,diethyl_ether_57433259
27,53828833,0,diethyl_ether_53828833
28,23026364,0,diethyl_ether_23026364
29,21701138,0,diethyl_ether_21701138
30,21058325,0,diethyl_ether_21058325
31,20336223,0,diethyl_ether_20336223
32,19707597,0,diethyl_ether_19707597
33,18781615,0,diethyl_ether_18781615
34,12685908,0,diethyl_ether_12685908
35,12660730,0,diethyl_ether_12660730
36,134978945,0,diethyl_ether_134978945
37,134951808,0,diethyl_ether_134951808
38,134837009,0,diethyl_ether_134837009
39,129888493,0,diethyl_ether_129888493
40,129748791,0,diethyl_ether_129748791
41,123304602,0,diethyl_ether_123304602
42,91454919,0,diethyl_ether_91454919
43,13283896,0,diethyl_ether_13283896
44,11332414,0,diethyl_ether_11332414
45,67169,0,diethyl_ether_67169
46,33664,0,diethyl_ether_33664
47,5148473,0,diethyl_ether_5148473
48,5249860,0,diethyl_ether_5249860
49,11069303,0,diethyl_ether_11069303
50,11309473,0,diethyl_ether_11309473
51,11380038,0,diethyl_ether_11380038
52,11806991,0,diethyl_ether_11806991
53,12568617,0,diethyl_ether_12568617
54,18357335,0,diethyl_ether_18357335
55,19760481,0,diethyl_ether_19760481
56,19869330,0,diethyl_ether_19869330
57,19939659,0,diethyl_ether_19939659
58,19985675,0,diethyl_ether_19985675
59,20240553,0,diethyl_ether_20240553
60,20479961,0,diethyl_ether_20479961
61,20560385,0,diethyl_ether_20560385
62,20663371,0,diethyl_ether_20663371
63,21468314,0,diethyl_ether_21468314
64,21618079,0,diethyl_ether_21618079
65,21703163,0,diethyl_ether_21703163
66,21879713,0,diethyl_ether_21879713
67,21918359,0,diethyl_ether_21918359
68,21989378,0,diethyl_ether_21989378
69,22140574,0,diethyl_ether_22140574
70,22292467,0,diethyl_ether_22292467
71,22365087,0,diethyl_ether_22365087
72,22417425,0,diethyl_ether_22417425
73,22719410,0,diethyl_ether_22719410
74,22990405,0,diethyl_ether_22990405
75,23206957,0,diethyl_ether_23206957
76,23461852,0,diethyl_ether_23461852
77,23620079,0,diethyl_ether_23620079
78,50922602,0,diethyl_ether_50922602
79,57418016,0,diethyl_ether_57418016
80,57418036,0,diethyl_ether_57418036
81,57420407,0,diethyl_ether_57420407
82,57427599,0,diethyl_ether_57427599
83,57488432,0,diethyl_ether_57488432
84,85610676,0,diethyl_ether_85610676
85,85611003,0,diethyl_ether_85611003
86,86746835,0,diethyl_ether_86746835
87,87073784,0,diethyl_ether_87073784
88,87075977,0,diethyl_ether_87075977
89,87163423,0,diethyl_ether_87163423
90,87195629,0,diethyl_ether_87195629
91,87351348,0,diethyl_ether_87351348
92,87450599,0,diethyl_ether_87450599
93,87451649,0,diethyl_ether_87451649
94,87603271,0,diethyl_ether_87603271
95,87826050,0,diethyl_ether_87826050
96,88002925,0,diethyl_ether_88002925
97,88081096,0,diethyl_ether_88081096
98,88081481,0,diethyl_ether_88081481
99,88105342,0,diethyl_ether_88105342
100,88291466,0,diethyl_ether_88291466
101,88299006,0,diethyl_ether_88299006
102,88390565,0,diethyl_ether_88390565
103,88403685,0,diethyl_ether_88403685
104,88412130,0,diethyl_ether_88412130
105,88433102,0,diethyl_ether_88433102
106,88437427,0,diethyl_ether_88437427
107,88476907,0,diethyl_ether_88476907
108,88501785,0,diethyl_ether_88501785
109,88514097,0,diethyl_ether_88514097
110,88657104,0,diethyl_ether_88657104
111,88709350,0,diethyl_ether_88709350
112,88756434,0,diethyl_ether_88756434
113,88764991,0,diethyl_ether_88764991
114,100967048,0,diethyl_ether_100967048
115,136785366,0,diethyl_ether_136785366
