cid,ring,image_saved_as,iupac,mf
21431932,0,1_pentene_21431932,sodium;pent-1-ene,C5H9Na
21567398,0,1_pentene_21567398,"buta-1,3-diene;pent-1-ene",C9H16
21996815,0,1_pentene_21996815,"buta-1,3-diene;hexa-1,5-diene;prop-1-ene",C13H22
22022879,0,1_pentene_22022879,"hexa-1,5-diene;rhodium(2+)",C6H10Rh+2
22174104,0,1_pentene_22174104,azane;but-1-ene,C4H11N
23443210,0,1_pentene_23443210,hex-1-ene;nickel(2+),C6H11Ni+
23499993,0,1_pentene_23499993,ethene;pent-1-ene,C7H14
23534114,0,1_pentene_23534114,pent-1-ene;yttrium(3+),C5H9Y+2
24939809,0,1_pentene_24939809,magnesium;hex-1-ene;bromide,C6H11BrMg
24940179,0,1_pentene_24940179,zinc;pent-1-ene;bromide,C5H9BrZn
54703576,0,1_pentene_54703576,zinc;but-1-ene,C8H14Zn
54738113,0,1_pentene_54738113,zinc;but-1-ene;prop-1-ene,C7H12Zn
57420270,0,1_pentene_57420270,pent-1-ene;hydrate,C5H12O
57457995,0,1_pentene_57457995,gold(1+);hex-1-ene,C6H11Au
71373283,0,1_pentene_71373283,magnesium;pent-1-ene;bromide,C5H9BrMg
71602287,0,1_pentene_71602287,chlorozinc(1+);pent-1-ene,C5H9ClZn
77519725,0,1_pentene_77519725,methane;pent-1-ene,C6H14
87164505,0,1_pentene_87164505,pent-1-ene;zinc;hydrobromide,C5H10BrZn-
87532360,0,1_pentene_87532360,"chloropalladium(1+);hexa-1,5-diene",C6H9ClPd
87532552,0,1_pentene_87532552,"hexa-1,5-diene;iodopalladium(1+)",C6H9IPd
87532672,0,1_pentene_87532672,"hexa-1,5-diene;iodoplatinum(1+)",C6H9IPt
87532689,0,1_pentene_87532689,"chloroplatinum(1+);hexa-1,5-diene",C6H9ClPt
87562728,0,1_pentene_87562728,but-1-ene;zinc;hydrobromide,C4H8BrZn-
87902152,0,1_pentene_87902152,"hexa-1,5-diene;palladium;hydroiodide",C6H11IPd
87902154,0,1_pentene_87902154,"hexa-1,5-diene;platinum;hydrochloride",C6H11ClPt
87902171,0,1_pentene_87902171,"hexa-1,5-diene;palladium;hydrochloride",C6H11ClPd
87902223,0,1_pentene_87902223,"hexa-1,5-diene;platinum;hydroiodide",C6H11IPt
88237552,0,1_pentene_88237552,but-1-ene;hydroiodide,C4H9I
88436354,0,1_pentene_88436354,magnesium;pent-1-ene;hydrobromide,C5H11BrMg
88507941,0,1_pentene_88507941,"hexa-1,5-diene;rhodium;hydrochloride",C6H11ClRh
88670637,0,1_pentene_88670637,azanylidynenickel;pent-1-ene,C5H10NNi
88697103,0,1_pentene_88697103,magnesium;but-1-ene;carbanide;hydrobromide,C5H11BrMg
100917166,0,1_pentene_100917166,hex-1-ene;methane;zinc,C7H15Zn
100937891,0,1_pentene_100937891,but-1-ene;molecular hydrogen;tin,C4H13Sn
101081498,0,1_pentene_101081498,"hepta-1,6-diene;lithium",C7H11Li
101223269,0,1_pentene_101223269,hept-1-ene;lithium,C7H13Li
101644214,0,1_pentene_101644214,hex-1-ene;mercury(1+);chloride,C6H11ClHg
101669032,0,1_pentene_101669032,hex-1-ene;lithium,C6H11Li
101669033,0,1_pentene_101669033,hex-1-ene;sodium,C6H11Na
101669034,0,1_pentene_101669034,hex-1-ene;potassium,C6H11K
101669035,0,1_pentene_101669035,hex-1-ene;rubidium,C6H11Rb
101669036,0,1_pentene_101669036,cesium;hex-1-ene,C6H11Cs
101677588,0,1_pentene_101677588,lithium;pent-1-ene,C5H9Li
101871694,0,1_pentene_101871694,mercury(1+);pent-1-ene;chloride,C5H9ClHg
101954062,0,1_pentene_101954062,but-1-ene;methane;tin,C7H19Sn
102030184,0,1_pentene_102030184,hex-1-ene;zinc;iodide,C6H11IZn-
102058677,0,1_pentene_102058677,aluminum;pent-1-ene;propane,C11H23Al
102059286,0,1_pentene_102059286,hex-1-ene;lithium,C6H11Li
102082544,0,1_pentene_102082544,hept-1-ene;lithium,C7H13Li
102356238,0,1_pentene_102356238,hex-1-ene;zirconium,C6H11Zr
102356693,0,1_pentene_102356693,hex-1-ene;molecular hydrogen;zirconium,C6H17Zr
102571808,0,1_pentene_102571808,pent-1-ene;zinc;bromide,C5H9BrZn-
122225833,0,1_pentene_122225833,molecular hydrogen;pent-1-ene;titanium,C5H12Ti
