cid,ring,image_saved_as,iupac,mf
12729410,1,Cyclohexene_12729410,magnesium;cyclohexene;bromide,C6H9BrMg
11182993,1,Cyclohexene_11182993,chlorozinc(1+);cyclohexene,C6H9ClZn
130200518,1,Cyclohexene_130200518,azane;cyclohexene;hydrochloride,C6H14ClN
117967848,1,Cyclohexene_117967848,cyclohexene;hydrobromide,C6H11Br
91354226,1,Cyclohexene_91354226,cyclohexene;ethane;ethene,C12H26
91343870,1,Cyclohexene_91343870,cyclohexene;ethane;propane,C13H30
91255545,1,Cyclohexene_91255545,cyclohexene;ethane,C10H22
91188246,1,Cyclohexene_91188246,cyclohexene;ethane;propane,C11H24
90965245,1,Cyclohexene_90965245,cyclohexene;propane,C12H26
90955460,1,Cyclohexene_90955460,cyclohexene;ethane,C12H28
90898681,1,Cyclohexene_90898681,cyclohexene;ethane,C8H16
87964739,1,Cyclohexene_87964739,chlorogold;cyclohexene,C6H10AuCl
87245515,1,Cyclohexene_87245515,magnesium;cyclohexene;chloride,C6H9ClMg
87233764,1,Cyclohexene_87233764,cyclohexene;zinc;hydrochloride,C6H10ClZn-
87233607,1,Cyclohexene_87233607,cyclohexene;zinc;hydrochloride,C6H10ClZn-
86632745,1,Cyclohexene_86632745,cyclohexene;hexane,C12H24
71300988,1,Cyclohexene_71300988,cyclohexene;dichloroplatinum,C6H10Cl2Pt
70149958,1,Cyclohexene_70149958,cyclohexene;hydrate,C6H12O
69421515,1,Cyclohexene_69421515,chloromethane;cyclohexene,C7H13Cl
69332132,1,Cyclohexene_69332132,cyclohexene;formonitrile,C7H11N
69050319,1,Cyclohexene_69050319,cyclohexene;hydrochloride,C6H11Cl
67000395,1,Cyclohexene_67000395,cyclohexene;sulfane,C12H22S
59898418,1,Cyclohexene_59898418,cyclohexene;yttrium,C6H9Y-
59756673,1,Cyclohexene_59756673,cyclohexene;tungsten;yttrium,C6H8WY-2
58773508,1,Cyclohexene_58773508,cyclohexene;dichlorozinc,C6H9Cl2Zn-
57734172,1,Cyclohexene_57734172,cyclohexene;yttrium,C6H8Y-2
57609837,1,Cyclohexene_57609837,cyclohexene;yttrium,C12H18Y-2
57603350,1,Cyclohexene_57603350,chlorozinc(1+);cyclohexene,C6H8ClZn+
21900369,1,Cyclohexene_21900369,cyclohexene;sulfane,C6H12S
18436212,1,Cyclohexene_18436212,zinc;cyclohexene;chloride,C6H9ClZn
18436211,1,Cyclohexene_18436211,zinc;cyclohexene;chloride,C6H9ClZn
18006421,1,Cyclohexene_18006421,cyclohexene;hydrogen peroxide,C6H12O2
14784732,1,Cyclohexene_14784732,lithium;cyclohexene,C6H9Li
135081963,1,Cyclohexene_135081963,potassium;cyclohexene,C6H9K+
134974959,1,Cyclohexene_134974959,cyclohexene;yttrium,C6H9Y-
134899759,1,Cyclohexene_134899759,"cyclohexene;(1Z,5Z)-cycloocta-1,5-diene;rhodium",C14H21Rh
129809884,1,Cyclohexene_129809884,cyclohexene;gold(1+),C6H9Au
129673808,1,Cyclohexene_129673808,cyclohexene;manganese,C6H9Mn-
129652079,1,Cyclohexene_129652079,cyclohexene;palladium,C6H9Pd-
129636218,1,Cyclohexene_129636218,chloropalladium(1+);cyclohexene,C6H9ClPd
129634835,1,Cyclohexene_129634835,potassium;cyclohexene,C6H9K
85780389,1,Cyclohexene_85780389,magnesium;cyclohexene;bromide,C6H9BrMg
67892283,1,Cyclohexene_67892283,cyclohexene;hydrofluoride,C6H11F
15973966,1,Cyclohexene_15973966,chlorozinc(1+);cyclohexene,C6H9ClZn
11073341,1,Cyclohexene_11073341,lithium;cyclohexene,C6H9Li
11953679,1,Cyclohexene_11953679,bromozinc(1+);cyclohexene,C6H9BrZn
17748514,1,Cyclohexene_17748514,bromozinc(1+);cyclohexene,C6H9BrZn
18974744,1,Cyclohexene_18974744,cyclohexene;vanadium(2+),C6H10V+2
19430897,1,Cyclohexene_19430897,azane;cyclohexene,C6H13N
19768096,1,Cyclohexene_19768096,cyclopentene;ethene,C7H12
20552803,1,Cyclohexene_20552803,cyclohexene;sulfanide,C6H11S-
20975564,1,Cyclohexene_20975564,cyclohexene;methane,C7H14
21603841,1,Cyclohexene_21603841,cyclohex-2-en-1-yl(dimethyl)germanium;trimethylgermanium,C11H24Ge2
21839092,1,Cyclohexene_21839092,azane;cyclohexene,C6H16N2
22146157,1,Cyclohexene_22146157,cyclohexene;trichlorosilicon,C6H10Cl3Si
22177351,1,Cyclohexene_22177351,cyclohexene;chloride,C6H10Cl-
22758026,1,Cyclohexene_22758026,cyclopentene;hydron,C5H9+
23330895,1,Cyclohexene_23330895,acetylene;cyclohexene,C8H12
24940260,1,Cyclohexene_24940260,zinc;cyclohexene;chloride,C6H9ClZn
57470754,1,Cyclohexene_57470754,cyclohexene;zinc,C6H9Zn-
57507665,1,Cyclohexene_57507665,chlorozinc(1+);cyclohexene,C6H9ClZn
88664855,1,Cyclohexene_88664855,cyclohexene;nickel;hydrobromide,C6H10BrNi-
101413285,1,Cyclohexene_101413285,cyclohexene;zinc;bromide,C6H9BrZn-
101613647,1,Cyclohexene_101613647,cyclohexene;methane;tin,C9H21Sn
101929436,1,Cyclohexene_101929436,cyclohexene;lithium,C6H9Li
102084922,1,Cyclohexene_102084922,cyclohexene;zinc;chloride,C6H9ClZn-
132501693,1,Cyclohexene_132501693,cyclohexene;molecular hydrogen;osmium,C6H11Os
