cid,ring,image_saved_as,iupac,mf
86741597,1,benzaldehyde_86741597,benzaldehyde;hydrate,C7H8O2
91422271,1,benzaldehyde_91422271,2-deuteriobenzaldehyde;ethane,C9H12O
90953871,1,benzaldehyde_90953871,deuterio(phenyl)methanone;ethane,C9H12O
90020972,1,benzaldehyde_90020972,benzaldehyde;2-methylprop-1-ene,C11H14O
88713352,1,benzaldehyde_88713352,benzaldehyde;methane,C8H10O
88473900,1,benzaldehyde_88473900,benzaldehyde;phosphane,C7H9OP
88256559,1,benzaldehyde_88256559,benzaldehyde;hydron;fluoride,C7H7FO
88102728,1,benzaldehyde_88102728,benzaldehyde;copper,C7H6CuO
87558476,1,benzaldehyde_87558476,benzaldehyde;hydrobromide,C7H7BrO
87447775,1,benzaldehyde_87447775,benzaldehyde;calcium,C7H6CaO
87447170,1,benzaldehyde_87447170,benzaldehyde;magnesium,C7H6MgO
87238684,1,benzaldehyde_87238684,benzaldehyde;hydrofluoride,C7H7FO
87187143,1,benzaldehyde_87187143,benzaldehyde;zinc,C7H6OZn
87146652,1,benzaldehyde_87146652,benzaldehyde;dihydrochloride,C7H8Cl2O
87129628,1,benzaldehyde_87129628,benzaldehyde;potassium,C7H6KO
87127713,1,benzaldehyde_87127713,benzaldehyde;sodium,C7H6NaO
60126815,1,benzaldehyde_60126815,(3-formylphenyl)boron;yttrium,C7H5BOY3
57689791,1,benzaldehyde_57689791,(4-formylphenyl)boron;yttrium,C7H5BOY3
57427132,1,benzaldehyde_57427132,benzaldehyde;lithium,C7H6LiO
54387679,1,benzaldehyde_54387679,benzaldehyde;ethane,C9H12O
23291611,1,benzaldehyde_23291611,azane;benzaldehyde,C7H9NO
22005957,1,benzaldehyde_22005957,benzaldehyde;ethene,C9H10O
21932400,1,benzaldehyde_21932400,benzaldehyde;sulfane,C7H8OS
21554678,1,benzaldehyde_21554678,benzaldehyde;formaldehyde,C8H8O2
20352071,1,benzaldehyde_20352071,benzaldehyde;prop-2-enal,C10H10O2
20085884,1,benzaldehyde_20085884,benzaldehyde;prop-1-ene,C10H12O
20026568,1,benzaldehyde_20026568,benzaldehyde;hydrochloride,C7H7ClO
18462349,1,benzaldehyde_18462349,benzaldehyde;propane,C10H14O
134899754,1,benzaldehyde_134899754,benzaldehyde;carbon monoxide;rhodium,C9H6O3Rh
18444057,1,benzaldehyde_18444057,(3-formylphenyl)mercury;hydrate,C7H7HgO2
20194865,1,benzaldehyde_20194865,benzaldehyde;chloride,C7H6ClO-
20373942,1,benzaldehyde_20373942,benzaldehyde;trichloride,C7H6Cl3O-3
20447206,1,benzaldehyde_20447206,benzaldehyde;bromide,C7H6BrO-
20449558,1,benzaldehyde_20449558,zinc;benzaldehyde;dichloride,C7H6Cl2OZn
21469864,1,benzaldehyde_21469864,sodium;benzaldehyde,C7H6NaO+
22210528,1,benzaldehyde_22210528,benzaldehyde;chromium(2+),C7H6CrO+2
22483797,1,benzaldehyde_22483797,benzaldehyde;tetrachloride,C7H6Cl4O-4
22926980,1,benzaldehyde_22926980,benzaldehyde;dioxidoboron,C7H6BO3-2
23290585,1,benzaldehyde_23290585,benzaldehyde;hydron,C7H7O+
23303670,1,benzaldehyde_23303670,"benzaldehyde;2-methylbuta-1,3-diene",C12H14O
23330656,1,benzaldehyde_23330656,magnesium;benzaldehyde;bromide,C7H6BrMgO+
23663331,1,benzaldehyde_23663331,sodium;benzaldehyde;boron(1-),C7H6BNaO
57490113,1,benzaldehyde_57490113,sodium;benzaldehyde;difluoride,C7H6F2NaO-
87065793,1,benzaldehyde_87065793,benzaldehyde;vanadium,C7H6OV
87252284,1,benzaldehyde_87252284,benzaldehyde;iron,C7H6FeO
87576571,1,benzaldehyde_87576571,barium;benzaldehyde,C7H6BaO
88226920,1,benzaldehyde_88226920,benzaldehyde;chromium,C7H6CrO
88470839,1,benzaldehyde_88470839,benzaldehyde;cerium,C7H6CeO
88506515,1,benzaldehyde_88506515,aluminum;benzaldehyde,C7H6AlO
88592648,1,benzaldehyde_88592648,benzaldehyde;titanium,C7H6OTi
88760745,1,benzaldehyde_88760745,benzaldehyde;nickel,C7H6NiO
88793525,1,benzaldehyde_88793525,benzaldehyde;boron;sodium,C7H6BNaO
88816135,1,benzaldehyde_88816135,benzaldehyde;manganese,C7H6MnO
89999362,1,benzaldehyde_89999362,benzaldehyde;lanthanum,C7H6LaO
100945716,1,benzaldehyde_100945716,cyclohexatrienecarbaldehyde;palladium;bromide,C7H5BrOPd-
122397082,1,benzaldehyde_122397082,cyclohexatrienecarbaldehyde;mercury(1+);bromide,C7H5BrHgO
131852945,1,benzaldehyde_131852945,4-fluorobenzaldehyde;hydron,C7H6FO+
