cid,ring,image_saved_as,iupac,mf
59979381,0,buta_1_3_diene_59979381,prop-1-ene;rutherfordium,C3H5Rf-
59961144,0,buta_1_3_diene_59961144,"buta-1,3-diene;yttrium",C4H4Y-2
59863227,0,buta_1_3_diene_59863227,"buta-1,3-diene;iron",C4H5Fe-
58752526,0,buta_1_3_diene_58752526,"buta-1,3-diene;iron(2+)",C4H4Fe
11297949,0,buta_1_3_diene_11297949,"magnesium;buta-1,3-diene;chloride",C4H5ClMg
91380651,0,buta_1_3_diene_91380651,"buta-1,3-diene;ethane",C6H12
60073600,0,buta_1_3_diene_60073600,"buta-1,3-diene;yttrium",C4H5Y-
59945796,0,buta_1_3_diene_59945796,"potassium;buta-1,3-diene",C4H4K-
59902186,0,buta_1_3_diene_59902186,"buta-1,3-diene;yttrium",C4H4Y3-2
59278561,0,buta_1_3_diene_59278561,"buta-1,3-diene;vanadium",C4H4V5-2
59024638,0,buta_1_3_diene_59024638,"buta-1,3-diene;vanadium",C4H5V2-
59017169,0,buta_1_3_diene_59017169,"1,4-ditritiobuta-1,3-diene;yttrium",C4H4Y-2
58090524,0,buta_1_3_diene_58090524,"buta-1,3-diene;yttrium",C4H4Y2-2
22953139,0,buta_1_3_diene_22953139,"buta-1,3-diene;uranium(2+)",C4H4U
22949871,0,buta_1_3_diene_22949871,"buta-1,3-diene;tungsten(2+)",C4H4W
22948855,0,buta_1_3_diene_22948855,"buta-1,3-diene;vanadium(2+)",C4H4V
135038545,0,buta_1_3_diene_135038545,"buta-1,3-diene;rhodium(3+)",C4H4Rh+
129888735,0,buta_1_3_diene_129888735,"buta-1,3-diene;rhenium",C4H4Re-2
129818447,0,buta_1_3_diene_129818447,"buta-1,3-diene;rhodium",C4H4Rh2-2
129777324,0,buta_1_3_diene_129777324,"buta-1,3-diene;ruthenium(2+)",C4H4Ru
129730961,0,buta_1_3_diene_129730961,"buta-1,3-diene;propa-1,2-diene",C7H10
129712023,0,buta_1_3_diene_129712023,"buta-1,3-diene;manganese(2+)",C4H4Mn
129670467,0,buta_1_3_diene_129670467,"buta-1,3-diene;cobalt(2+)",C4H4Co
129668891,0,buta_1_3_diene_129668891,"calcium;buta-1,3-diene",C4H4Ca
129664559,0,buta_1_3_diene_129664559,"buta-1,3-diene;titanium(2+)",C4H4Ti
129653338,0,buta_1_3_diene_129653338,"buta-1,3-diene;chromium(2+)",C4H4Cr
129651541,0,buta_1_3_diene_129651541,"buta-1,3-diene;cerium",C4H4Ce-2
129644255,0,buta_1_3_diene_129644255,"buta-1,3-diene;rhodium(2+)",C4H4Rh
129641634,0,buta_1_3_diene_129641634,"buta-1,3-diene;osmium(1+)",C4H4Os2
129640685,0,buta_1_3_diene_129640685,"copper;buta-1,3-diene",C4H4Cu
129638409,0,buta_1_3_diene_129638409,"buta-1,3-diene;silver",C4H4Ag-2
129632480,0,buta_1_3_diene_129632480,"buta-1,3-diene;iridium",C4H4Ir-2
129632409,0,buta_1_3_diene_129632409,"magnesium;buta-1,3-diene",C4H4Mg
129631460,0,buta_1_3_diene_129631460,"buta-1,3-diene;gold",C4H4Au-2
129630689,0,buta_1_3_diene_129630689,"buta-1,3-diene;osmium(2+)",C4H4Os
129630514,0,buta_1_3_diene_129630514,"zinc;buta-1,3-diene",C4H4Zn
129630231,0,buta_1_3_diene_129630231,"barium(2+);buta-1,3-diene",C4H4Ba
129628178,0,buta_1_3_diene_129628178,"buta-1,3-diene;scandium",C4H4Sc-2
92003491,0,buta_1_3_diene_92003491,"buta-1,3-diene;platinum(2+)",C4H4Pt
88022759,0,buta_1_3_diene_88022759,"hexa-1,2,3,5-tetraene;hydrochloride",C6H7Cl
19777060,0,buta_1_3_diene_19777060,"sodium;buta-1,3-diene",C4H5Na
15974792,0,buta_1_3_diene_15974792,"magnesium;buta-1,3-diene;chloride",C4H5ClMg
14128146,0,buta_1_3_diene_14128146,"magnesium;buta-1,3-diene;chloride",C4H5ClMg
13917051,0,buta_1_3_diene_13917051,"magnesium;buta-1,3-diene;bromide",C4H5BrMg
12913184,0,buta_1_3_diene_12913184,"dilithium;buta-1,3-diene",C4H4Li2
12825333,0,buta_1_3_diene_12825333,"magnesium;buta-1,3-diene",C4H6Mg+2
11815915,0,buta_1_3_diene_11815915,"buta-1,3-diene;zirconium(2+)",C4H4Zr
