cid,ring,image_saved_as,iupac,mf
22253497,0,butane_1_4_diol_22253497,butan-1-ol;hydrate,C4H12O2
88032247,0,butane_1_4_diol_88032247,"butane-1,4-diol;ethane",C6H16O2
87282984,0,butane_1_4_diol_87282984,"butane-1,4-diol;ethanol",C6H16O3
60104690,0,butane_1_4_diol_60104690,"butane-1,4-diol;cobalt",C4H9CoO2-
59962358,0,butane_1_4_diol_59962358,"actinium;butane-1,4-diol",C4H10AcO2
59741501,0,butane_1_4_diol_59741501,"butane-1,4-diol;yttrium",C4H10O2Y2
22439470,0,butane_1_4_diol_22439470,butan-1-ol;methanol,C5H14O2
90040583,0,butane_1_4_diol_90040583,"butane-1,4-diol;propan-1-ol",C7H18O3
87696329,0,butane_1_4_diol_87696329,butan-1-ol;dihydrate,C4H14O3
23687526,0,butane_1_4_diol_23687526,sodium;4-hydroxybutan-1-olate,C4H9NaO2
20385292,0,butane_1_4_diol_20385292,"butane-1,4-diol;hydrate",C4H12O3
17994140,0,butane_1_4_diol_17994140,"butane-1,4-diol;methanol",C5H14O3
20248443,0,butane_1_4_diol_20248443,"butane-1,4-diol;titanium;trihydroxide",C4H13O5Ti-3
21437064,0,butane_1_4_diol_21437064,"butane-1,4-diol;lead",C4H10O2Pb
22990865,0,butane_1_4_diol_22990865,"butane-1,4-diol;hydrochloride",C4H11ClO2
23135090,0,butane_1_4_diol_23135090,"potassium;butane-1,4-diol",C4H10KO2+
23518277,0,butane_1_4_diol_23518277,"butane-1,4-diol;cobalt(2+)",C4H9CoO2+
87550298,0,butane_1_4_diol_87550298,"butane-1,4-diol;titanium",C4H9O2Ti-
87680305,0,butane_1_4_diol_87680305,"butane-1,4-diol;potassium",C4H10KO2
87841101,0,butane_1_4_diol_87841101,"butane-1,4-diol;sodium",C4H10NaO2
87923468,0,butane_1_4_diol_87923468,"butane-1,4-diol;titanium",C4H10O2Ti
88356090,0,butane_1_4_diol_88356090,"lithium;butane-1,4-diol;iodide",C4H10ILiO2
88696663,0,butane_1_4_diol_88696663,"butane-1,4-diol;hydroxy(oxo)titanium",C4H11O4Ti
88745856,0,butane_1_4_diol_88745856,"butane-1,4-diol;platinum",C4H10O2Pt
135285248,0,butane_1_4_diol_135285248,"azane;butane-1,4-diol",C4H13NO2
137404840,0,butane_1_4_diol_137404840,"zinc;butane-1,4-diol;oxygen(2-)",C4H10O3Zn
