cid,ring,image_saved_as,iupac,mf
6432400,0,butylamine_6432400,butan-1-amine;hydrochloride,C4H12ClN
19726,0,butylamine_19726,butylazanium;chloride,C4H12ClN
12199058,0,butylamine_12199058,butan-1-amine;hydrobromide,C4H12BrN
88075134,0,butylamine_88075134,butan-1-amine;hydroiodide,C4H12IN
53627651,0,butylamine_53627651,butylazanium;fluoride,C4H12FN
21904131,0,butylamine_21904131,butylazanium;bromide,C4H12BrN
21894792,0,butylamine_21894792,butylazanium;iodide,C4H12IN
19084593,0,butylamine_19084593,butylazanium;cyanide,C5H12N2
19044857,0,butylamine_19044857,butan-1-amine;propan-1-amine,C7H20N2
11446288,0,butylamine_11446288,lithium;butylazanide,C4H10LiN
91565641,0,butylamine_91565641,ethanamine;propane,C5H15N
91440700,0,butylamine_91440700,ethane;propan-1-amine,C5H15N
90849123,0,butylamine_90849123,fluoromethane;N-tritiobutan-1-amine,C5H14FN
90834319,0,butylamine_90834319,"butane-1,4-diamine;ethanamine",C6H19N3
90768984,0,butylamine_90768984,butan-1-amine;ethane,C6H17N
88199755,0,butylamine_88199755,butan-1-amine;butane,C8H21N
87340068,0,butylamine_87340068,butane;propan-1-amine,C7H19N
60102290,0,butylamine_60102290,carbanide;propylazanide;vanadium,C4H11NV6-2
59954361,0,butylamine_59954361,potassium;carbanide;propan-1-amine,C4H11KN-
59840139,0,butylamine_59840139,ethanamine;propane;yttrium,C5H13NY-2
59815634,0,butylamine_59815634,potassium;carbanide;propylazanide,C4H11KN-
59021361,0,butylamine_59021361,butan-1-amine;yttrium,C4H10NY-
58592368,0,butylamine_58592368,butan-1-amine;carbanide;yttrium,C5H13NY-2
58592359,0,butylamine_58592359,carbanide;propan-1-amine;yttrium,C4H11NY-2
58200855,0,butylamine_58200855,carbanide;propylazanide;uranium(3+),C5H14NU
23165561,0,butylamine_23165561,butan-1-amine;dihydrochloride,C4H13Cl2N
22416631,0,butylamine_22416631,butane;ethanamine,C6H17N
22336421,0,butylamine_22336421,butan-1-amine;ethanamine,C6H18N2
18547207,0,butylamine_18547207,butan-1-amine;copper(1+);chloride,C4H11ClCuN
135019071,0,butylamine_135019071,potassium;butan-1-amine,C4H10KN
129784346,0,butylamine_129784346,potassium;butylazanide,C4H10KN
129729395,0,butylamine_129729395,butylazanium;hypochlorite,C4H12ClNO
87549704,0,butylamine_87549704,butylazanium;chloride;hydrochloride,C4H13Cl2N
22017166,0,butylamine_22017166,boron(1-);butylazanium,C4H12BN
21917484,0,butylamine_21917484,butylazanium;hydroxide,C4H13NO
18462870,0,butylamine_18462870,azane;butan-1-amine,C4H14N2
12199059,0,butylamine_12199059,butan-1-amine;hydrofluoride,C4H12FN
12199051,0,butylamine_12199051,butan-1-amine;hydrate,C4H13NO
11115985,0,butylamine_11115985,boron;butan-1-amine,C4H11BN
447547,0,butylamine_447547,butan-1-amine;methane,C5H15N
517338,0,butylamine_517338,butan-1-amine;hydron;fluoride,C4H12FN
16219054,0,butylamine_16219054,(114C)butan-1-amine;hydrochloride,C4H12ClN
17774501,0,butylamine_17774501,"butane-1,4-diamine;propan-1-amine",C7H21N3
