cid,ring,image_saved_as,iupac,mf
153388,0,glycerol_153388,"propane-1,2,3-triol;hydrate",C3H10O4
134159788,0,glycerol_134159788,"hydron;(2R)-propane-1,2-diol",C3H8O2
131953477,0,glycerol_131953477,"hydron;propane-1,2,3-triol",C3H10O3+2
91844618,0,glycerol_91844618,"sodium;propane-1,2,3-triol;zirconium(4+)",C3H8NaO3Zr+5
60055122,0,glycerol_60055122,"propane-1,2,3-triol;yttrium",C3H8O3Y
59890033,0,glycerol_59890033,"propane-1,2-diol;rutherfordium",C3H7O2Rf-
59599956,0,glycerol_59599956,"propane-1,2,3-triol;rutherfordium",C3H8O3Rf
59599954,0,glycerol_59599954,"propane-1,2,3-triol;rutherfordium",C3H8O3Rf3
59229262,0,glycerol_59229262,sodium;2-hydroxy-3-oxoniopropan-1-olate,C3H8NaO3+
59163879,0,glycerol_59163879,"propane-1,2,3-triol;titanium",C3H8O3Ti3
58866064,0,glycerol_58866064,"3-deuteriooxypropane-1,2-diol;yttrium",C3H8O3Y
58426143,0,glycerol_58426143,"propane-1,2,3-triol;yttrium",C3H8O3Y
57689436,0,glycerol_57689436,"propane-1,2,3-triol;uranium",C3H8O3U3
42627047,0,glycerol_42627047,"(2S)-propane-1,2-diol;hydrate",C3H10O3
23692791,0,glycerol_23692791,"sodium;2,3-dihydroxypropan-1-olate",C3H7NaO3
3084966,0,glycerol_3084966,"ethane-1,2-diol;propane-1,2,3-triol",C5H14O5
448097,0,glycerol_448097,"(2R)-propane-1,2-diol;hydrate",C3H10O3
134686931,0,glycerol_134686931,"propane-1,2,3-triol;zinc",C3H7O3Zn-
129722905,0,glycerol_129722905,"propane-1,2,3-triol;trihydrochloride",C3H11Cl3O3
129702010,0,glycerol_129702010,"propane-1,2,3-triol;hydrate;hydrochloride",C3H11ClO4
129688018,0,glycerol_129688018,"aluminum;propane-1,2,3-triol;trihydrate",C3H14AlO6
129656519,0,glycerol_129656519,"propane-1,2,3-triol;rhodium",C3H7O3Rh-
88375116,0,glycerol_88375116,"propane-1,2,3-triol;dihydrate",C3H12O5
88198929,0,glycerol_88198929,"phosphane;propane-1,2,3-triol",C3H11O3P
87354869,0,glycerol_87354869,"propane-1,2,3-triol;hydrofluoride",C3H9FO3
23445216,0,glycerol_23445216,"propane-1,2-diol;hydrate",C3H10O3
