cid,ring,image_saved_as,iupac,mf
91336786,0,isobutyronitrile_91336786,ethane;propanenitrile,C5H11N
88676321,0,isobutyronitrile_88676321,ethane;methane;propanenitrile,C6H15N
59648984,0,isobutyronitrile_59648984,2-methylpent-3-ynenitrile;yttrium,C6H6NY-
59591414,0,isobutyronitrile_59591414,2-methylpropanenitrile;rubidium(1+),C4H6NRb
59011680,0,isobutyronitrile_59011680,carbanide;propanenitrile;yttrium,C4H7NY-2
20476475,0,isobutyronitrile_20476475,propane;propanenitrile,C6H13N
19981023,0,isobutyronitrile_19981023,acetonitrile;2-methylpropanenitrile,C6H10N2
71372114,0,isobutyronitrile_71372114,lithium;3-methylbutanenitrile,C5H9LiN+
15747275,0,isobutyronitrile_15747275,sodium;2-methylpropanenitrile,C4H6NNa
10975402,0,isobutyronitrile_10975402,lithium;2-methylpropanenitrile,C4H6LiN
19428476,0,isobutyronitrile_19428476,acetonitrile;2-methylbutane,C7H15N
21400203,0,isobutyronitrile_21400203,2-methylbutanenitrile;iodide,C5H9IN-
23346886,0,isobutyronitrile_23346886,sodium;2-methylpropanenitrile,C4H7NNa+
23346888,0,isobutyronitrile_23346888,sodium;2-methylbutanenitrile,C5H9NNa+
71359356,0,isobutyronitrile_71359356,bromozinc(1+);2-methylpropanenitrile,C4H6BrNZn
88782489,0,isobutyronitrile_88782489,2-methylbutanenitrile;sodium,C5H9NNa
90390409,0,isobutyronitrile_90390409,2-methylpropanenitrile;potassium,C4H7KN
