cid,ring,image_saved_as,iupac,mf
86588300,1,palmitic_acid_86588300,octadecanoic acid;hydrate,C18H38O3
91410148,1,palmitic_acid_91410148,hexadecanoic acid;molecular hydrogen,C16H34O2
88699632,1,palmitic_acid_88699632,dodecanoic acid;undecane,C23H48O2
88699233,1,palmitic_acid_88699233,dodecane;tetradecanoic acid,C26H54O2
88395998,1,palmitic_acid_88395998,docosanoic acid;heptane,C29H60O2
88354373,1,palmitic_acid_88354373,heptane;octadecanoic acid,C25H52O2
88354369,1,palmitic_acid_88354369,heptane;tetradecanoic acid,C21H44O2
88353969,1,palmitic_acid_88353969,heptane;hexadecanoic acid,C23H48O2
88352663,1,palmitic_acid_88352663,dodecanoic acid;hexane,C18H38O2
88312150,1,palmitic_acid_88312150,hexadecanoic acid;pentadecane,C31H64O2
88301430,1,palmitic_acid_88301430,decanoic acid;dodecane,C22H46O2
88256873,1,palmitic_acid_88256873,butane;dodecanoic acid,C16H34O2
88106644,1,palmitic_acid_88106644,octadecanoic acid;thorium,C18H36O2Th
87769205,1,palmitic_acid_87769205,butane;octadecanoic acid,C22H46O2
87601860,1,palmitic_acid_87601860,hexadecanoic acid;hydrate,C16H34O3
87256461,1,palmitic_acid_87256461,hexane;octanoic acid,C20H44O2
87106257,1,palmitic_acid_87106257,hexadecanoic acid;methane,C17H36O2
87071223,1,palmitic_acid_87071223,octadecanoic acid;octane,C26H54O2
54206708,1,palmitic_acid_54206708,ethane;octadecanoic acid,C20H42O2
19973753,1,palmitic_acid_19973753,hexane;octadecanoic acid,C24H50O2
19961414,1,palmitic_acid_19961414,methane;octadecanoic acid,C19H40O2
129722409,1,palmitic_acid_129722409,icosanoic acid;hydrate,C20H42O3
129717136,1,palmitic_acid_129717136,decanoic acid;heptane,C17H36O2
88924420,1,palmitic_acid_88924420,octane;octanoic acid,C16H34O2
88542337,1,palmitic_acid_88542337,dodecane;hexadecanoic acid,C28H58O2
87769685,1,palmitic_acid_87769685,butane;hexadecanoic acid,C20H42O2
87757311,1,palmitic_acid_87757311,docosanoic acid;hydrate,C22H46O3
87329235,1,palmitic_acid_87329235,methane;tetracosanoic acid,C25H52O2
72715982,1,palmitic_acid_72715982,ethane;tetradecanoic acid,C16H34O2
46891888,1,palmitic_acid_46891888,ethane;pentadecanoic acid,C17H36O2
57453455,1,palmitic_acid_57453455,icosanoic acid;polonium,C20H40O2Po
87195859,1,palmitic_acid_87195859,heptadecanoic acid;methane,C18H38O2
87328819,1,palmitic_acid_87328819,methane;triacontanoic acid,C31H64O2
87329158,1,palmitic_acid_87329158,methane;octacosanoic acid,C29H60O2
87329231,1,palmitic_acid_87329231,hexacosanoic acid;methane,C27H56O2
88243506,1,palmitic_acid_88243506,hexadecanoic acid;hydron,C16H33O2+
