,cid,ring,image_saved_as
0,1030,0,glycerol_1030
1,753,0,glycerol_753
2,439846,0,glycerol_439846
3,259994,0,glycerol_259994
4,20162113,0,glycerol_20162113
5,12239075,0,glycerol_12239075
6,11768502,0,glycerol_11768502
7,54184487,0,glycerol_54184487
8,54142459,0,glycerol_54142459
9,22084329,0,glycerol_22084329
10,17977369,0,glycerol_17977369
11,16213438,0,glycerol_16213438
12,16213271,0,glycerol_16213271
13,12203549,0,glycerol_12203549
14,10176094,0,glycerol_10176094
15,9989217,0,glycerol_9989217
16,153388,0,glycerol_153388
17,134159788,0,glycerol_134159788
18,131953477,0,glycerol_131953477
19,124014110,0,glycerol_124014110
20,119080477,0,glycerol_119080477
21,119079639,0,glycerol_119079639
22,119079083,0,glycerol_119079083
23,119079002,0,glycerol_119079002
24,119078599,0,glycerol_119078599
25,119078359,0,glycerol_119078359
26,119076948,0,glycerol_119076948
27,119076946,0,glycerol_119076946
28,91844618,0,glycerol_91844618
29,91170468,0,glycerol_91170468
30,90727667,0,glycerol_90727667
31,87238382,0,glycerol_87238382
32,72201055,0,glycerol_72201055
33,71309005,0,glycerol_71309005
34,60055122,0,glycerol_60055122
35,59902700,0,glycerol_59902700
36,59890033,0,glycerol_59890033
37,59645032,0,glycerol_59645032
38,59645029,0,glycerol_59645029
39,59645028,0,glycerol_59645028
40,59645025,0,glycerol_59645025
41,59645024,0,glycerol_59645024
42,59645023,0,glycerol_59645023
43,59645022,0,glycerol_59645022
44,59645021,0,glycerol_59645021
45,59645020,0,glycerol_59645020
46,59645019,0,glycerol_59645019
47,59645018,0,glycerol_59645018
48,59645017,0,glycerol_59645017
49,59645016,0,glycerol_59645016
50,59645015,0,glycerol_59645015
51,59645014,0,glycerol_59645014
52,59645013,0,glycerol_59645013
53,59645012,0,glycerol_59645012
54,59645011,0,glycerol_59645011
55,59645010,0,glycerol_59645010
56,59645007,0,glycerol_59645007
57,59645006,0,glycerol_59645006
58,59599956,0,glycerol_59599956
59,59599954,0,glycerol_59599954
60,59229262,0,glycerol_59229262
61,59163879,0,glycerol_59163879
62,59149373,0,glycerol_59149373
63,59149364,0,glycerol_59149364
64,58866064,0,glycerol_58866064
65,58816665,0,glycerol_58816665
66,58729191,0,glycerol_58729191
67,58426143,0,glycerol_58426143
68,57734190,0,glycerol_57734190
69,57689436,0,glycerol_57689436
70,57676243,0,glycerol_57676243
71,57094863,0,glycerol_57094863
72,57072918,0,glycerol_57072918
73,56636932,0,glycerol_56636932
74,54307162,0,glycerol_54307162
75,54184486,0,glycerol_54184486
76,54104166,0,glycerol_54104166
77,42627047,0,glycerol_42627047
78,25240866,0,glycerol_25240866
79,25240475,0,glycerol_25240475
80,23692791,0,glycerol_23692791
81,23618335,0,glycerol_23618335
82,22121557,0,glycerol_22121557
83,20721603,0,glycerol_20721603
84,19087375,0,glycerol_19087375
85,16211950,0,glycerol_16211950
86,12239080,0,glycerol_12239080
87,12239079,0,glycerol_12239079
88,12239078,0,glycerol_12239078
89,11182572,0,glycerol_11182572
90,3084966,0,glycerol_3084966
91,448097,0,glycerol_448097
92,135016366,0,glycerol_135016366
93,134853259,0,glycerol_134853259
94,134853004,0,glycerol_134853004
95,134852946,0,glycerol_134852946
96,134686931,0,glycerol_134686931
97,129829992,0,glycerol_129829992
98,129722905,0,glycerol_129722905
99,129702010,0,glycerol_129702010
100,129688018,0,glycerol_129688018
101,129656519,0,glycerol_129656519
102,123456898,0,glycerol_123456898
103,90724407,0,glycerol_90724407
104,88375116,0,glycerol_88375116
105,88198929,0,glycerol_88198929
106,87354869,0,glycerol_87354869
107,87075110,0,glycerol_87075110
108,76374783,0,glycerol_76374783
109,71309096,0,glycerol_71309096
110,23445216,0,glycerol_23445216
111,21254521,0,glycerol_21254521
112,18699574,0,glycerol_18699574
113,16218180,0,glycerol_16218180
114,11412345,0,glycerol_11412345
115,11251965,0,glycerol_11251965
116,11007821,0,glycerol_11007821
117,10844338,0,glycerol_10844338
118,10240764,0,glycerol_10240764
119,445135,0,glycerol_445135
120,6327785,0,glycerol_6327785
121,9793890,0,glycerol_9793890
122,10464785,0,glycerol_10464785
123,12203551,0,glycerol_12203551
124,12239072,0,glycerol_12239072
125,12239073,0,glycerol_12239073
126,12239074,0,glycerol_12239074
127,12239076,0,glycerol_12239076
128,12239077,0,glycerol_12239077
129,12239081,0,glycerol_12239081
130,13533141,0,glycerol_13533141
131,14471934,0,glycerol_14471934
132,18317130,0,glycerol_18317130
133,18952762,0,glycerol_18952762
134,19032056,0,glycerol_19032056
135,19098043,0,glycerol_19098043
136,19762023,0,glycerol_19762023
137,19818713,0,glycerol_19818713
138,19863850,0,glycerol_19863850
139,19918858,0,glycerol_19918858
140,20037348,0,glycerol_20037348
141,20136097,0,glycerol_20136097
142,20246465,0,glycerol_20246465
143,20249105,0,glycerol_20249105
144,20249106,0,glycerol_20249106
145,20371256,0,glycerol_20371256
146,20392822,0,glycerol_20392822
147,20503026,0,glycerol_20503026
148,21218505,0,glycerol_21218505
149,21246071,0,glycerol_21246071
150,21327642,0,glycerol_21327642
151,21327644,0,glycerol_21327644
152,21529448,0,glycerol_21529448
153,21529449,0,glycerol_21529449
154,22222943,0,glycerol_22222943
155,22389710,0,glycerol_22389710
156,22728706,0,glycerol_22728706
157,22987725,0,glycerol_22987725
158,23677348,0,glycerol_23677348
159,23679428,0,glycerol_23679428
160,25199671,0,glycerol_25199671
161,25240352,0,glycerol_25240352
162,25240353,0,glycerol_25240353
163,25240354,0,glycerol_25240354
164,25240355,0,glycerol_25240355
165,25240587,0,glycerol_25240587
166,25240630,0,glycerol_25240630
167,25241034,0,glycerol_25241034
168,25241135,0,glycerol_25241135
169,25241137,0,glycerol_25241137
170,25241505,0,glycerol_25241505
171,50931197,0,glycerol_50931197
172,50932196,0,glycerol_50932196
173,53388337,0,glycerol_53388337
174,56841953,0,glycerol_56841953
175,57347081,0,glycerol_57347081
176,57417971,0,glycerol_57417971
177,57420532,0,glycerol_57420532
178,57432891,0,glycerol_57432891
179,57480118,0,glycerol_57480118
180,57490298,0,glycerol_57490298
181,57493199,0,glycerol_57493199
182,71309813,0,glycerol_71309813
183,71468604,0,glycerol_71468604
184,71662877,0,glycerol_71662877
185,71663057,0,glycerol_71663057
186,76782949,0,glycerol_76782949
187,87090751,0,glycerol_87090751
188,87095041,0,glycerol_87095041
189,87158577,0,glycerol_87158577
190,87195094,0,glycerol_87195094
191,87239797,0,glycerol_87239797
192,87239798,0,glycerol_87239798
193,87275632,0,glycerol_87275632
194,87328563,0,glycerol_87328563
195,87328675,0,glycerol_87328675
196,87357580,0,glycerol_87357580
197,87406545,0,glycerol_87406545
198,87434217,0,glycerol_87434217
199,87438607,0,glycerol_87438607
200,87440482,0,glycerol_87440482
201,87556114,0,glycerol_87556114
202,87557456,0,glycerol_87557456
