,cid,ring,image_saved_as
0,6559,0,isobutyronitrile_6559
1,7854,0,isobutyronitrile_7854
2,12244,0,isobutyronitrile_12244
3,8008,0,isobutyronitrile_8008
4,29339,0,isobutyronitrile_29339
5,12416,0,isobutyronitrile_12416
6,23742,0,isobutyronitrile_23742
7,19426,0,isobutyronitrile_19426
8,642159,0,isobutyronitrile_642159
9,19425,0,isobutyronitrile_19425
10,14703972,0,isobutyronitrile_14703972
11,12951488,0,isobutyronitrile_12951488
12,6914116,0,isobutyronitrile_6914116
13,5232958,0,isobutyronitrile_5232958
14,137872,0,isobutyronitrile_137872
15,87227198,0,isobutyronitrile_87227198
16,58500132,0,isobutyronitrile_58500132
17,57452848,0,isobutyronitrile_57452848
18,13158036,0,isobutyronitrile_13158036
19,5479121,0,isobutyronitrile_5479121
20,91336786,0,isobutyronitrile_91336786
21,88676321,0,isobutyronitrile_88676321
22,88471022,0,isobutyronitrile_88471022
23,87163210,0,isobutyronitrile_87163210
24,83814948,0,isobutyronitrile_83814948
25,59648984,0,isobutyronitrile_59648984
26,59591414,0,isobutyronitrile_59591414
27,59011680,0,isobutyronitrile_59011680
28,58248964,0,isobutyronitrile_58248964
29,58248961,0,isobutyronitrile_58248961
30,58150491,0,isobutyronitrile_58150491
31,58066897,0,isobutyronitrile_58066897
32,57744928,0,isobutyronitrile_57744928
33,57744924,0,isobutyronitrile_57744924
34,57608024,0,isobutyronitrile_57608024
35,57608018,0,isobutyronitrile_57608018
36,57125350,0,isobutyronitrile_57125350
37,54201020,0,isobutyronitrile_54201020
38,22939741,0,isobutyronitrile_22939741
39,22084811,0,isobutyronitrile_22084811
40,21032518,0,isobutyronitrile_21032518
41,20767656,0,isobutyronitrile_20767656
42,20476475,0,isobutyronitrile_20476475
43,19981023,0,isobutyronitrile_19981023
44,11962024,0,isobutyronitrile_11962024
45,10129896,0,isobutyronitrile_10129896
46,139148,0,isobutyronitrile_139148
47,135009092,0,isobutyronitrile_135009092
48,134963915,0,isobutyronitrile_134963915
49,123177670,0,isobutyronitrile_123177670
50,71372114,0,isobutyronitrile_71372114
51,18999405,0,isobutyronitrile_18999405
52,15747275,0,isobutyronitrile_15747275
53,12272597,0,isobutyronitrile_12272597
54,10975402,0,isobutyronitrile_10975402
55,12759096,0,isobutyronitrile_12759096
56,19428476,0,isobutyronitrile_19428476
57,20454996,0,isobutyronitrile_20454996
58,21400203,0,isobutyronitrile_21400203
59,23075325,0,isobutyronitrile_23075325
60,23077045,0,isobutyronitrile_23077045
61,23346886,0,isobutyronitrile_23346886
62,23346888,0,isobutyronitrile_23346888
63,50943050,0,isobutyronitrile_50943050
64,53627981,0,isobutyronitrile_53627981
65,53627982,0,isobutyronitrile_53627982
66,57423868,0,isobutyronitrile_57423868
67,57426163,0,isobutyronitrile_57426163
68,57434572,0,isobutyronitrile_57434572
69,57434575,0,isobutyronitrile_57434575
70,57434578,0,isobutyronitrile_57434578
71,57434580,0,isobutyronitrile_57434580
72,57451425,0,isobutyronitrile_57451425
73,59648985,0,isobutyronitrile_59648985
74,71359356,0,isobutyronitrile_71359356
75,85990624,0,isobutyronitrile_85990624
76,86087417,0,isobutyronitrile_86087417
77,86223232,0,isobutyronitrile_86223232
78,87141225,0,isobutyronitrile_87141225
79,87372537,0,isobutyronitrile_87372537
80,88782489,0,isobutyronitrile_88782489
81,90390409,0,isobutyronitrile_90390409
82,93286212,0,isobutyronitrile_93286212
83,93286213,0,isobutyronitrile_93286213
84,101050395,0,isobutyronitrile_101050395
85,101796130,0,isobutyronitrile_101796130
86,102411508,0,isobutyronitrile_102411508
87,102411509,0,isobutyronitrile_102411509
88,102454640,0,isobutyronitrile_102454640
89,105426964,0,isobutyronitrile_105426964
90,134870842,0,isobutyronitrile_134870842
91,135973469,0,isobutyronitrile_135973469
