,cid,ring,image_saved_as
0,3776,0,isopropanol_3776
1,12213346,0,isopropanol_12213346
2,12213344,0,isopropanol_12213344
3,2723972,0,isopropanol_2723972
4,520960,0,isopropanol_520960
5,71309655,0,isopropanol_71309655
6,71309419,0,isopropanol_71309419
7,71309146,0,isopropanol_71309146
8,12213347,0,isopropanol_12213347
9,12213345,0,isopropanol_12213345
10,16213337,0,isopropanol_16213337
11,4670858,0,isopropanol_4670858
12,90767722,0,isopropanol_90767722
13,59102861,0,isopropanol_59102861
14,22892792,0,isopropanol_22892792
15,11115975,0,isopropanol_11115975
16,129670055,0,isopropanol_129670055
17,12213348,0,isopropanol_12213348
18,12213349,0,isopropanol_12213349
19,12213351,0,isopropanol_12213351
20,87818472,0,isopropanol_87818472
21,88689373,0,isopropanol_88689373
22,90471563,0,isopropanol_90471563
23,101686572,0,isopropanol_101686572
24,101686573,0,isopropanol_101686573
