,cid,ring,image_saved_as
0,19540,1,isopropyl_cyclopentane_19540
1,26375,1,isopropyl_cyclopentane_26375
2,139803,1,isopropyl_cyclopentane_139803
3,137211,1,isopropyl_cyclopentane_137211
4,77414,1,isopropyl_cyclopentane_77414
5,19751,1,isopropyl_cyclopentane_19751
6,19502,1,isopropyl_cyclopentane_19502
7,6431531,1,isopropyl_cyclopentane_6431531
8,6430948,1,isopropyl_cyclopentane_6430948
9,6427928,1,isopropyl_cyclopentane_6427928
10,6427922,1,isopropyl_cyclopentane_6427922
11,522474,1,isopropyl_cyclopentane_522474
12,521465,1,isopropyl_cyclopentane_521465
13,521217,1,isopropyl_cyclopentane_521217
14,517741,1,isopropyl_cyclopentane_517741
15,140667,1,isopropyl_cyclopentane_140667
16,138541,1,isopropyl_cyclopentane_138541
17,138257,1,isopropyl_cyclopentane_138257
18,137755,1,isopropyl_cyclopentane_137755
19,137210,1,isopropyl_cyclopentane_137210
20,93280,1,isopropyl_cyclopentane_93280
21,89303,1,isopropyl_cyclopentane_89303
22,19944,1,isopropyl_cyclopentane_19944
23,53428958,1,isopropyl_cyclopentane_53428958
24,53423787,1,isopropyl_cyclopentane_53423787
25,53423785,1,isopropyl_cyclopentane_53423785
26,53423712,1,isopropyl_cyclopentane_53423712
27,23390369,1,isopropyl_cyclopentane_23390369
28,22752108,1,isopropyl_cyclopentane_22752108
29,22051809,1,isopropyl_cyclopentane_22051809
30,21201044,1,isopropyl_cyclopentane_21201044
31,20683769,1,isopropyl_cyclopentane_20683769
32,20563151,1,isopropyl_cyclopentane_20563151
33,19987590,1,isopropyl_cyclopentane_19987590
34,19893859,1,isopropyl_cyclopentane_19893859
35,18717731,1,isopropyl_cyclopentane_18717731
36,15920524,1,isopropyl_cyclopentane_15920524
37,15678383,1,isopropyl_cyclopentane_15678383
38,13225314,1,isopropyl_cyclopentane_13225314
39,12501283,1,isopropyl_cyclopentane_12501283
40,12501282,1,isopropyl_cyclopentane_12501282
41,10910000,1,isopropyl_cyclopentane_10910000
42,6427184,1,isopropyl_cyclopentane_6427184
43,3896724,1,isopropyl_cyclopentane_3896724
44,524891,1,isopropyl_cyclopentane_524891
45,523528,1,isopropyl_cyclopentane_523528
46,523527,1,isopropyl_cyclopentane_523527
47,523488,1,isopropyl_cyclopentane_523488
48,521236,1,isopropyl_cyclopentane_521236
49,520923,1,isopropyl_cyclopentane_520923
50,112469,1,isopropyl_cyclopentane_112469
51,59945729,1,isopropyl_cyclopentane_59945729
52,54101622,1,isopropyl_cyclopentane_54101622
53,53709342,1,isopropyl_cyclopentane_53709342
54,53428959,1,isopropyl_cyclopentane_53428959
55,53428957,1,isopropyl_cyclopentane_53428957
56,53428956,1,isopropyl_cyclopentane_53428956
57,53424691,1,isopropyl_cyclopentane_53424691
58,53424672,1,isopropyl_cyclopentane_53424672
59,53424669,1,isopropyl_cyclopentane_53424669
60,53423789,1,isopropyl_cyclopentane_53423789
61,53423719,1,isopropyl_cyclopentane_53423719
62,53423714,1,isopropyl_cyclopentane_53423714
63,23036009,1,isopropyl_cyclopentane_23036009
64,19893766,1,isopropyl_cyclopentane_19893766
65,19893555,1,isopropyl_cyclopentane_19893555
66,14764015,1,isopropyl_cyclopentane_14764015
67,6432282,1,isopropyl_cyclopentane_6432282
68,6432281,1,isopropyl_cyclopentane_6432281
69,549948,1,isopropyl_cyclopentane_549948
70,524890,1,isopropyl_cyclopentane_524890
71,523530,1,isopropyl_cyclopentane_523530
72,523529,1,isopropyl_cyclopentane_523529
73,523499,1,isopropyl_cyclopentane_523499
74,521449,1,isopropyl_cyclopentane_521449
75,123716954,1,isopropyl_cyclopentane_123716954
76,123371180,1,isopropyl_cyclopentane_123371180
77,91754949,1,isopropyl_cyclopentane_91754949
78,91615250,1,isopropyl_cyclopentane_91615250
79,91535979,1,isopropyl_cyclopentane_91535979
80,91286629,1,isopropyl_cyclopentane_91286629
81,91189392,1,isopropyl_cyclopentane_91189392
82,91129712,1,isopropyl_cyclopentane_91129712
83,91089794,1,isopropyl_cyclopentane_91089794
84,91043178,1,isopropyl_cyclopentane_91043178
85,91018682,1,isopropyl_cyclopentane_91018682
86,90805504,1,isopropyl_cyclopentane_90805504
87,90750774,1,isopropyl_cyclopentane_90750774
88,60098618,1,isopropyl_cyclopentane_60098618
89,60076543,1,isopropyl_cyclopentane_60076543
90,60039985,1,isopropyl_cyclopentane_60039985
91,59994267,1,isopropyl_cyclopentane_59994267
92,59976919,1,isopropyl_cyclopentane_59976919
93,59976843,1,isopropyl_cyclopentane_59976843
94,59960606,1,isopropyl_cyclopentane_59960606
95,59954545,1,isopropyl_cyclopentane_59954545
96,59954537,1,isopropyl_cyclopentane_59954537
97,59954504,1,isopropyl_cyclopentane_59954504
98,59954503,1,isopropyl_cyclopentane_59954503
99,59954478,1,isopropyl_cyclopentane_59954478
100,59954474,1,isopropyl_cyclopentane_59954474
101,59954464,1,isopropyl_cyclopentane_59954464
102,59954454,1,isopropyl_cyclopentane_59954454
103,59954445,1,isopropyl_cyclopentane_59954445
104,59954432,1,isopropyl_cyclopentane_59954432
105,59954422,1,isopropyl_cyclopentane_59954422
106,59954414,1,isopropyl_cyclopentane_59954414
107,59936799,1,isopropyl_cyclopentane_59936799
108,59911458,1,isopropyl_cyclopentane_59911458
109,59911321,1,isopropyl_cyclopentane_59911321
110,59911094,1,isopropyl_cyclopentane_59911094
111,59882960,1,isopropyl_cyclopentane_59882960
112,59876633,1,isopropyl_cyclopentane_59876633
113,59840722,1,isopropyl_cyclopentane_59840722
114,59761527,1,isopropyl_cyclopentane_59761527
115,59746976,1,isopropyl_cyclopentane_59746976
116,59629082,1,isopropyl_cyclopentane_59629082
117,59440443,1,isopropyl_cyclopentane_59440443
118,59279863,1,isopropyl_cyclopentane_59279863
119,59269399,1,isopropyl_cyclopentane_59269399
120,59163888,1,isopropyl_cyclopentane_59163888
121,59110212,1,isopropyl_cyclopentane_59110212
122,59076523,1,isopropyl_cyclopentane_59076523
123,59039354,1,isopropyl_cyclopentane_59039354
124,59039321,1,isopropyl_cyclopentane_59039321
125,58921848,1,isopropyl_cyclopentane_58921848
126,58907694,1,isopropyl_cyclopentane_58907694
127,58904580,1,isopropyl_cyclopentane_58904580
128,58859536,1,isopropyl_cyclopentane_58859536
129,58806988,1,isopropyl_cyclopentane_58806988
130,58689232,1,isopropyl_cyclopentane_58689232
131,58688977,1,isopropyl_cyclopentane_58688977
132,58668396,1,isopropyl_cyclopentane_58668396
133,58665990,1,isopropyl_cyclopentane_58665990
134,58641988,1,isopropyl_cyclopentane_58641988
135,58504179,1,isopropyl_cyclopentane_58504179
136,58360470,1,isopropyl_cyclopentane_58360470
137,58344272,1,isopropyl_cyclopentane_58344272
138,58344263,1,isopropyl_cyclopentane_58344263
139,58344189,1,isopropyl_cyclopentane_58344189
140,58344172,1,isopropyl_cyclopentane_58344172
141,58344118,1,isopropyl_cyclopentane_58344118
142,58344113,1,isopropyl_cyclopentane_58344113
143,58261767,1,isopropyl_cyclopentane_58261767
144,58224418,1,isopropyl_cyclopentane_58224418
145,58224417,1,isopropyl_cyclopentane_58224417
146,58158040,1,isopropyl_cyclopentane_58158040
147,57931731,1,isopropyl_cyclopentane_57931731
148,57740211,1,isopropyl_cyclopentane_57740211
149,57740007,1,isopropyl_cyclopentane_57740007
150,57739992,1,isopropyl_cyclopentane_57739992
151,57674720,1,isopropyl_cyclopentane_57674720
152,57609779,1,isopropyl_cyclopentane_57609779
153,57491413,1,isopropyl_cyclopentane_57491413
154,57491334,1,isopropyl_cyclopentane_57491334
155,57285679,1,isopropyl_cyclopentane_57285679
156,57198894,1,isopropyl_cyclopentane_57198894
