,cid,ring,image_saved_as
0,7909,0,methyl_isopropyl_ketone_7909
1,7288,0,methyl_isopropyl_ketone_7288
2,6569,0,methyl_isopropyl_ketone_6569
3,11251,0,methyl_isopropyl_ketone_11251
4,8034,0,methyl_isopropyl_ketone_8034
5,6416,0,methyl_isopropyl_ketone_6416
6,11271,0,methyl_isopropyl_ketone_11271
7,11262,0,methyl_isopropyl_ketone_11262
8,24115,0,methyl_isopropyl_ketone_24115
9,23847,0,methyl_isopropyl_ketone_23847
10,12187,0,methyl_isopropyl_ketone_12187
11,73761,0,methyl_isopropyl_ketone_73761
12,69949,0,methyl_isopropyl_ketone_69949
13,13004,0,methyl_isopropyl_ketone_13004
14,11265,0,methyl_isopropyl_ketone_11265
15,86501,0,methyl_isopropyl_ketone_86501
16,16213377,0,methyl_isopropyl_ketone_16213377
17,80224,0,methyl_isopropyl_ketone_80224
18,69950,0,methyl_isopropyl_ketone_69950
19,18177668,0,methyl_isopropyl_ketone_18177668
20,12599352,0,methyl_isopropyl_ketone_12599352
21,12488850,0,methyl_isopropyl_ketone_12488850
22,12200359,0,methyl_isopropyl_ketone_12200359
23,537877,0,methyl_isopropyl_ketone_537877
24,142901,0,methyl_isopropyl_ketone_142901
25,139488,0,methyl_isopropyl_ketone_139488
26,138367,0,methyl_isopropyl_ketone_138367
27,15199,0,methyl_isopropyl_ketone_15199
28,88085122,0,methyl_isopropyl_ketone_88085122
29,84716019,0,methyl_isopropyl_ketone_84716019
30,22737866,0,methyl_isopropyl_ketone_22737866
31,22381885,0,methyl_isopropyl_ketone_22381885
32,21841516,0,methyl_isopropyl_ketone_21841516
33,19843734,0,methyl_isopropyl_ketone_19843734
34,18356450,0,methyl_isopropyl_ketone_18356450
35,14063318,0,methyl_isopropyl_ketone_14063318
36,12531590,0,methyl_isopropyl_ketone_12531590
37,12507094,0,methyl_isopropyl_ketone_12507094
38,12488849,0,methyl_isopropyl_ketone_12488849
39,12430036,0,methyl_isopropyl_ketone_12430036
40,12200355,0,methyl_isopropyl_ketone_12200355
41,6999802,0,methyl_isopropyl_ketone_6999802
42,6994393,0,methyl_isopropyl_ketone_6994393
43,562128,0,methyl_isopropyl_ketone_562128
44,145497,0,methyl_isopropyl_ketone_145497
45,130377311,0,methyl_isopropyl_ketone_130377311
46,130376830,0,methyl_isopropyl_ketone_130376830
47,121241729,0,methyl_isopropyl_ketone_121241729
48,118476992,0,methyl_isopropyl_ketone_118476992
49,117945618,0,methyl_isopropyl_ketone_117945618
50,117828033,0,methyl_isopropyl_ketone_117828033
51,91552068,0,methyl_isopropyl_ketone_91552068
52,91515275,0,methyl_isopropyl_ketone_91515275
53,91459434,0,methyl_isopropyl_ketone_91459434
54,91293154,0,methyl_isopropyl_ketone_91293154
55,91133021,0,methyl_isopropyl_ketone_91133021
56,90792337,0,methyl_isopropyl_ketone_90792337
57,88791077,0,methyl_isopropyl_ketone_88791077
58,88778322,0,methyl_isopropyl_ketone_88778322
59,88755755,0,methyl_isopropyl_ketone_88755755
60,88449587,0,methyl_isopropyl_ketone_88449587
61,88434181,0,methyl_isopropyl_ketone_88434181
62,88406215,0,methyl_isopropyl_ketone_88406215
63,88386351,0,methyl_isopropyl_ketone_88386351
64,88357752,0,methyl_isopropyl_ketone_88357752
65,88354747,0,methyl_isopropyl_ketone_88354747
66,88354746,0,methyl_isopropyl_ketone_88354746
67,88354405,0,methyl_isopropyl_ketone_88354405
68,88354404,0,methyl_isopropyl_ketone_88354404
69,88296552,0,methyl_isopropyl_ketone_88296552
70,88258791,0,methyl_isopropyl_ketone_88258791
71,88171131,0,methyl_isopropyl_ketone_88171131
72,88150251,0,methyl_isopropyl_ketone_88150251
73,87985024,0,methyl_isopropyl_ketone_87985024
74,87876301,0,methyl_isopropyl_ketone_87876301
75,87770018,0,methyl_isopropyl_ketone_87770018
76,87678505,0,methyl_isopropyl_ketone_87678505
77,87580530,0,methyl_isopropyl_ketone_87580530
78,87491133,0,methyl_isopropyl_ketone_87491133
79,87460819,0,methyl_isopropyl_ketone_87460819
80,87460519,0,methyl_isopropyl_ketone_87460519
81,87338603,0,methyl_isopropyl_ketone_87338603
82,87338356,0,methyl_isopropyl_ketone_87338356
83,87192951,0,methyl_isopropyl_ketone_87192951
84,87166091,0,methyl_isopropyl_ketone_87166091
85,87166053,0,methyl_isopropyl_ketone_87166053
86,87121095,0,methyl_isopropyl_ketone_87121095
87,86610315,0,methyl_isopropyl_ketone_86610315
88,60147343,0,methyl_isopropyl_ketone_60147343
89,60104682,0,methyl_isopropyl_ketone_60104682
90,60072497,0,methyl_isopropyl_ketone_60072497
91,60064493,0,methyl_isopropyl_ketone_60064493
92,59985437,0,methyl_isopropyl_ketone_59985437
93,59985432,0,methyl_isopropyl_ketone_59985432
94,59975261,0,methyl_isopropyl_ketone_59975261
95,59972817,0,methyl_isopropyl_ketone_59972817
96,59971897,0,methyl_isopropyl_ketone_59971897
97,59970650,0,methyl_isopropyl_ketone_59970650
98,59958768,0,methyl_isopropyl_ketone_59958768
99,59946276,0,methyl_isopropyl_ketone_59946276
100,59933160,0,methyl_isopropyl_ketone_59933160
101,59904256,0,methyl_isopropyl_ketone_59904256
102,59893633,0,methyl_isopropyl_ketone_59893633
103,59883680,0,methyl_isopropyl_ketone_59883680
104,59880288,0,methyl_isopropyl_ketone_59880288
105,59879149,0,methyl_isopropyl_ketone_59879149
106,59869333,0,methyl_isopropyl_ketone_59869333
107,59853768,0,methyl_isopropyl_ketone_59853768
108,59827861,0,methyl_isopropyl_ketone_59827861
109,59819882,0,methyl_isopropyl_ketone_59819882
110,59725238,0,methyl_isopropyl_ketone_59725238
111,59594988,0,methyl_isopropyl_ketone_59594988
112,59590167,0,methyl_isopropyl_ketone_59590167
113,59531525,0,methyl_isopropyl_ketone_59531525
114,59488741,0,methyl_isopropyl_ketone_59488741
115,59310775,0,methyl_isopropyl_ketone_59310775
116,59303760,0,methyl_isopropyl_ketone_59303760
117,59303623,0,methyl_isopropyl_ketone_59303623
118,59211424,0,methyl_isopropyl_ketone_59211424
119,59205135,0,methyl_isopropyl_ketone_59205135
120,59114751,0,methyl_isopropyl_ketone_59114751
121,59069898,0,methyl_isopropyl_ketone_59069898
122,59034388,0,methyl_isopropyl_ketone_59034388
123,59017664,0,methyl_isopropyl_ketone_59017664
124,58975593,0,methyl_isopropyl_ketone_58975593
125,58943098,0,methyl_isopropyl_ketone_58943098
126,58936802,0,methyl_isopropyl_ketone_58936802
127,58936800,0,methyl_isopropyl_ketone_58936800
128,58915046,0,methyl_isopropyl_ketone_58915046
129,58912667,0,methyl_isopropyl_ketone_58912667
130,58883434,0,methyl_isopropyl_ketone_58883434
131,58870573,0,methyl_isopropyl_ketone_58870573
132,58861028,0,methyl_isopropyl_ketone_58861028
133,58823076,0,methyl_isopropyl_ketone_58823076
134,58807630,0,methyl_isopropyl_ketone_58807630
135,58806985,0,methyl_isopropyl_ketone_58806985
136,58606585,0,methyl_isopropyl_ketone_58606585
137,58489172,0,methyl_isopropyl_ketone_58489172
138,58482223,0,methyl_isopropyl_ketone_58482223
139,58478964,0,methyl_isopropyl_ketone_58478964
140,58474719,0,methyl_isopropyl_ketone_58474719
