,cid,ring,image_saved_as
0,8079,1,methylcyclopentadiene_8079
1,8882,1,methylcyclopentadiene_8882
2,643836,1,methylcyclopentadiene_643836
3,639662,1,methylcyclopentadiene_639662
4,12363,1,methylcyclopentadiene_12363
5,219357,1,methylcyclopentadiene_219357
6,12343,1,methylcyclopentadiene_12343
7,11611,1,methylcyclopentadiene_11611
8,16213229,1,methylcyclopentadiene_16213229
9,13406511,1,methylcyclopentadiene_13406511
10,11182579,1,methylcyclopentadiene_11182579
11,527574,1,methylcyclopentadiene_527574
12,527572,1,methylcyclopentadiene_527572
13,143151,1,methylcyclopentadiene_143151
14,139449,1,methylcyclopentadiene_139449
15,91181716,1,methylcyclopentadiene_91181716
16,59238802,1,methylcyclopentadiene_59238802
17,12729410,1,methylcyclopentadiene_12729410
18,11182993,1,methylcyclopentadiene_11182993
19,10873974,1,methylcyclopentadiene_10873974
20,6439832,1,methylcyclopentadiene_6439832
21,574444,1,methylcyclopentadiene_574444
22,139092,1,methylcyclopentadiene_139092
23,138819,1,methylcyclopentadiene_138819
24,130200518,1,methylcyclopentadiene_130200518
25,126639897,1,methylcyclopentadiene_126639897
26,123181685,1,methylcyclopentadiene_123181685
27,117967848,1,methylcyclopentadiene_117967848
28,91523245,1,methylcyclopentadiene_91523245
29,91354226,1,methylcyclopentadiene_91354226
30,91343870,1,methylcyclopentadiene_91343870
31,91255545,1,methylcyclopentadiene_91255545
32,91188246,1,methylcyclopentadiene_91188246
33,91139915,1,methylcyclopentadiene_91139915
34,90965245,1,methylcyclopentadiene_90965245
35,90955460,1,methylcyclopentadiene_90955460
36,90948486,1,methylcyclopentadiene_90948486
37,90898681,1,methylcyclopentadiene_90898681
38,90812163,1,methylcyclopentadiene_90812163
39,90752516,1,methylcyclopentadiene_90752516
40,89360336,1,methylcyclopentadiene_89360336
41,89001803,1,methylcyclopentadiene_89001803
42,87964739,1,methylcyclopentadiene_87964739
43,87245515,1,methylcyclopentadiene_87245515
44,87233764,1,methylcyclopentadiene_87233764
45,87233607,1,methylcyclopentadiene_87233607
