,cid,ring,image_saved_as
0,12161,1,p_xylene_12161
1,7809,1,p_xylene_7809
2,66041,1,p_xylene_66041
3,5314058,1,p_xylene_5314058
4,566957,1,p_xylene_566957
5,54126892,1,p_xylene_54126892
6,16213273,1,p_xylene_16213273
7,10986252,1,p_xylene_10986252
8,6454125,1,p_xylene_6454125
9,2723992,1,p_xylene_2723992
10,137552,1,p_xylene_137552
11,71309373,1,p_xylene_71309373
12,59083869,1,p_xylene_59083869
13,57033708,1,p_xylene_57033708
14,54293517,1,p_xylene_54293517
15,54283686,1,p_xylene_54283686
16,53966552,1,p_xylene_53966552
17,53860537,1,p_xylene_53860537
18,22926362,1,p_xylene_22926362
19,16213272,1,p_xylene_16213272
20,14793964,1,p_xylene_14793964
21,14510282,1,p_xylene_14510282
22,14510273,1,p_xylene_14510273
23,12632748,1,p_xylene_12632748
24,12629715,1,p_xylene_12629715
25,11286619,1,p_xylene_11286619
26,11205839,1,p_xylene_11205839
27,10057457,1,p_xylene_10057457
28,5314322,1,p_xylene_5314322
29,523730,1,p_xylene_523730
30,135283416,1,p_xylene_135283416
31,123857026,1,p_xylene_123857026
32,91500909,1,p_xylene_91500909
33,91477911,1,p_xylene_91477911
34,91443301,1,p_xylene_91443301
35,91262274,1,p_xylene_91262274
36,91195226,1,p_xylene_91195226
37,91174316,1,p_xylene_91174316
38,91174226,1,p_xylene_91174226
39,91108788,1,p_xylene_91108788
40,91085587,1,p_xylene_91085587
41,91049035,1,p_xylene_91049035
42,90981364,1,p_xylene_90981364
43,90949941,1,p_xylene_90949941
44,90888782,1,p_xylene_90888782
45,90882910,1,p_xylene_90882910
46,90879657,1,p_xylene_90879657
47,90686833,1,p_xylene_90686833
48,67569420,1,p_xylene_67569420
49,67259713,1,p_xylene_67259713
50,67013796,1,p_xylene_67013796
51,60128114,1,p_xylene_60128114
52,60070967,1,p_xylene_60070967
53,59974312,1,p_xylene_59974312
54,59915329,1,p_xylene_59915329
55,59910053,1,p_xylene_59910053
56,59832431,1,p_xylene_59832431
57,59735433,1,p_xylene_59735433
58,59517965,1,p_xylene_59517965
59,59510793,1,p_xylene_59510793
60,59499842,1,p_xylene_59499842
61,59475929,1,p_xylene_59475929
62,59256857,1,p_xylene_59256857
63,59071505,1,p_xylene_59071505
64,59070812,1,p_xylene_59070812
65,59070798,1,p_xylene_59070798
66,58894693,1,p_xylene_58894693
67,58679645,1,p_xylene_58679645
68,58473643,1,p_xylene_58473643
69,58370988,1,p_xylene_58370988
70,57788728,1,p_xylene_57788728
71,57667713,1,p_xylene_57667713
72,57034538,1,p_xylene_57034538
73,54569727,1,p_xylene_54569727
74,54560277,1,p_xylene_54560277
75,54483301,1,p_xylene_54483301
76,54368455,1,p_xylene_54368455
77,54306923,1,p_xylene_54306923
78,54140533,1,p_xylene_54140533
79,54114071,1,p_xylene_54114071
80,53882743,1,p_xylene_53882743
81,53769131,1,p_xylene_53769131
82,53631751,1,p_xylene_53631751
83,22983018,1,p_xylene_22983018
84,22182868,1,p_xylene_22182868
85,22088347,1,p_xylene_22088347
86,20517189,1,p_xylene_20517189
87,20278179,1,p_xylene_20278179
88,19105427,1,p_xylene_19105427
89,18798725,1,p_xylene_18798725
90,12396833,1,p_xylene_12396833
91,12077662,1,p_xylene_12077662
92,134993709,1,p_xylene_134993709
93,134856169,1,p_xylene_134856169
94,129659222,1,p_xylene_129659222
95,129659199,1,p_xylene_129659199
96,129659146,1,p_xylene_129659146
97,129657309,1,p_xylene_129657309
98,123685769,1,p_xylene_123685769
99,123604197,1,p_xylene_123604197
100,123187625,1,p_xylene_123187625
101,91109105,1,p_xylene_91109105
102,91027795,1,p_xylene_91027795
103,86176713,1,p_xylene_86176713
104,85436207,1,p_xylene_85436207
105,71571485,1,p_xylene_71571485
106,71571484,1,p_xylene_71571484
107,71571480,1,p_xylene_71571480
108,71571471,1,p_xylene_71571471
109,71340152,1,p_xylene_71340152
110,23113038,1,p_xylene_23113038
111,14914126,1,p_xylene_14914126
112,14045862,1,p_xylene_14045862
113,13621080,1,p_xylene_13621080
114,13240694,1,p_xylene_13240694
115,13234860,1,p_xylene_13234860
116,13000145,1,p_xylene_13000145
117,12632753,1,p_xylene_12632753
118,12426952,1,p_xylene_12426952
119,12396460,1,p_xylene_12396460
120,12187472,1,p_xylene_12187472
121,11367284,1,p_xylene_11367284
122,11029978,1,p_xylene_11029978
123,10607037,1,p_xylene_10607037
124,10057462,1,p_xylene_10057462
125,9989232,1,p_xylene_9989232
126,10011864,1,p_xylene_10011864
127,10034609,1,p_xylene_10034609
128,10261061,1,p_xylene_10261061
129,10396813,1,p_xylene_10396813
130,10441664,1,p_xylene_10441664
131,10464325,1,p_xylene_10464325
132,10720223,1,p_xylene_10720223
133,11063058,1,p_xylene_11063058
134,11073363,1,p_xylene_11073363
135,11084171,1,p_xylene_11084171
136,11126196,1,p_xylene_11126196
137,12187471,1,p_xylene_12187471
138,12203332,1,p_xylene_12203332
139,12533082,1,p_xylene_12533082
140,12825452,1,p_xylene_12825452
141,12964309,1,p_xylene_12964309
142,13114526,1,p_xylene_13114526
143,13240693,1,p_xylene_13240693
144,13256105,1,p_xylene_13256105
145,13283116,1,p_xylene_13283116
146,14419689,1,p_xylene_14419689
147,14666589,1,p_xylene_14666589
148,15732402,1,p_xylene_15732402
149,16692458,1,p_xylene_16692458
150,17930622,1,p_xylene_17930622
151,18331641,1,p_xylene_18331641
152,20438967,1,p_xylene_20438967
153,21285747,1,p_xylene_21285747
154,21437168,1,p_xylene_21437168
155,21552065,1,p_xylene_21552065
156,21889323,1,p_xylene_21889323
157,23241795,1,p_xylene_23241795
158,45052146,1,p_xylene_45052146
159,57451268,1,p_xylene_57451268
160,58436145,1,p_xylene_58436145
161,85968689,1,p_xylene_85968689
162,87122877,1,p_xylene_87122877
163,88066575,1,p_xylene_88066575
164,101172257,1,p_xylene_101172257
165,101212787,1,p_xylene_101212787
166,101234356,1,p_xylene_101234356
167,101255241,1,p_xylene_101255241
168,101351317,1,p_xylene_101351317
169,101351318,1,p_xylene_101351318
170,101369042,1,p_xylene_101369042
171,101664260,1,p_xylene_101664260
172,101783677,1,p_xylene_101783677
173,101859630,1,p_xylene_101859630
174,101864359,1,p_xylene_101864359
175,102139356,1,p_xylene_102139356
176,102170740,1,p_xylene_102170740
177,102247791,1,p_xylene_102247791
178,102321807,1,p_xylene_102321807
179,122207052,1,p_xylene_122207052
