,Unnamed: 0,cid,ring,image_saved_as
0,0,5281,0,palmitic_acid_5281
1,1,985,0,palmitic_acid_985
2,2,8215,0,palmitic_acid_8215
3,3,10465,0,palmitic_acid_10465
4,4,10467,0,palmitic_acid_10467
5,5,17085,0,palmitic_acid_17085
6,6,12591,0,palmitic_acid_12591
7,7,11197,0,palmitic_acid_11197
8,8,10469,0,palmitic_acid_10469
9,9,16898,0,palmitic_acid_16898
10,10,10471,0,palmitic_acid_10471
11,11,10470,0,palmitic_acid_10470
12,12,10468,0,palmitic_acid_10468
13,13,23524,0,palmitic_acid_23524
14,14,20245,0,palmitic_acid_20245
15,15,16213464,0,palmitic_acid_16213464
16,16,12358530,0,palmitic_acid_12358530
17,17,16212358,0,palmitic_acid_16212358
18,18,12346568,0,palmitic_acid_12346568
19,19,37982,0,palmitic_acid_37982
20,20,71308957,0,palmitic_acid_71308957
21,21,16217539,0,palmitic_acid_16217539
22,22,16217538,0,palmitic_acid_16217538
23,23,16217427,0,palmitic_acid_16217427
24,24,16217356,0,palmitic_acid_16217356
25,25,16213616,0,palmitic_acid_16213616
26,26,16213579,0,palmitic_acid_16213579
27,27,16213305,0,palmitic_acid_16213305
28,28,16211897,0,palmitic_acid_16211897
29,29,12358526,0,palmitic_acid_12358526
30,30,12346575,0,palmitic_acid_12346575
31,31,9881577,0,palmitic_acid_9881577
32,32,164729,0,palmitic_acid_164729
33,33,86588300,0,palmitic_acid_86588300
34,34,71309333,0,palmitic_acid_71309333
35,35,44256493,0,palmitic_acid_44256493
36,36,12358538,0,palmitic_acid_12358538
37,37,164708,0,palmitic_acid_164708
38,38,134554,0,palmitic_acid_134554
39,39,123769322,0,palmitic_acid_123769322
40,40,118796525,0,palmitic_acid_118796525
41,41,91410148,0,palmitic_acid_91410148
42,42,88699632,0,palmitic_acid_88699632
43,43,88699233,0,palmitic_acid_88699233
44,44,88461477,0,palmitic_acid_88461477
45,45,88395998,0,palmitic_acid_88395998
46,46,88354373,0,palmitic_acid_88354373
47,47,88354369,0,palmitic_acid_88354369
48,48,88353969,0,palmitic_acid_88353969
49,49,88352663,0,palmitic_acid_88352663
50,50,88312150,0,palmitic_acid_88312150
51,51,88301430,0,palmitic_acid_88301430
52,52,88256873,0,palmitic_acid_88256873
53,53,88106644,0,palmitic_acid_88106644
54,54,87769205,0,palmitic_acid_87769205
55,55,87601860,0,palmitic_acid_87601860
56,56,87256461,0,palmitic_acid_87256461
57,57,87106257,0,palmitic_acid_87106257
58,58,87071223,0,palmitic_acid_87071223
59,59,57694191,0,palmitic_acid_57694191
60,60,54206708,0,palmitic_acid_54206708
61,61,45934052,0,palmitic_acid_45934052
62,62,44256495,0,palmitic_acid_44256495
63,63,44256494,0,palmitic_acid_44256494
64,64,44256492,0,palmitic_acid_44256492
65,65,44256491,0,palmitic_acid_44256491
66,66,19973753,0,palmitic_acid_19973753
67,67,19961414,0,palmitic_acid_19961414
68,68,16213444,0,palmitic_acid_16213444
69,69,12358535,0,palmitic_acid_12358535
70,70,175783,0,palmitic_acid_175783
71,71,132278473,0,palmitic_acid_132278473
72,72,132277959,0,palmitic_acid_132277959
73,73,129892628,0,palmitic_acid_129892628
74,74,129892343,0,palmitic_acid_129892343
75,75,129847433,0,palmitic_acid_129847433
76,76,129775731,0,palmitic_acid_129775731
77,77,129728272,0,palmitic_acid_129728272
78,78,129725714,0,palmitic_acid_129725714
79,79,129724971,0,palmitic_acid_129724971
80,80,129724936,0,palmitic_acid_129724936
81,81,129722409,0,palmitic_acid_129722409
82,82,129717136,0,palmitic_acid_129717136
83,83,129680601,0,palmitic_acid_129680601
84,84,129680600,0,palmitic_acid_129680600
85,85,129633600,0,palmitic_acid_129633600
86,86,124203165,0,palmitic_acid_124203165
87,87,123136074,0,palmitic_acid_123136074
88,88,102602215,0,palmitic_acid_102602215
89,89,102601031,0,palmitic_acid_102601031
90,90,102044916,0,palmitic_acid_102044916
91,91,91555690,0,palmitic_acid_91555690
92,92,91157233,0,palmitic_acid_91157233
