,cid,ring,image_saved_as
0,931,1,tetralin_931
1,8404,1,tetralin_8404
2,9938,1,tetralin_9938
3,92148,1,tetralin_92148
4,69155,1,tetralin_69155
5,71309158,1,tetralin_71309158
6,46782441,1,tetralin_46782441
7,12616535,1,tetralin_12616535
8,12199710,1,tetralin_12199710
9,12199709,1,tetralin_12199709
10,10877369,1,tetralin_10877369
11,582327,1,tetralin_582327
12,193361,1,tetralin_193361
13,141173,1,tetralin_141173
14,53360,1,tetralin_53360
15,123798205,1,tetralin_123798205
16,73827124,1,tetralin_73827124
17,73759899,1,tetralin_73759899
18,60038855,1,tetralin_60038855
19,46782440,1,tetralin_46782440
20,22998565,1,tetralin_22998565
21,22709069,1,tetralin_22709069
22,19099734,1,tetralin_19099734
23,19063914,1,tetralin_19063914
24,15063318,1,tetralin_15063318
25,13330220,1,tetralin_13330220
26,12199722,1,tetralin_12199722
27,12199717,1,tetralin_12199717
28,12199711,1,tetralin_12199711
29,11322854,1,tetralin_11322854
30,11228823,1,tetralin_11228823
31,10975739,1,tetralin_10975739
32,10920760,1,tetralin_10920760
33,6912029,1,tetralin_6912029
34,583197,1,tetralin_583197
35,582947,1,tetralin_582947
36,579020,1,tetralin_579020
37,76093,1,tetralin_76093
38,123865308,1,tetralin_123865308
39,123805104,1,tetralin_123805104
40,123414305,1,tetralin_123414305
41,123339918,1,tetralin_123339918
42,123223489,1,tetralin_123223489
43,91397648,1,tetralin_91397648
44,91257899,1,tetralin_91257899
45,91181347,1,tetralin_91181347
46,91131751,1,tetralin_91131751
47,91066908,1,tetralin_91066908
48,91065569,1,tetralin_91065569
49,91057223,1,tetralin_91057223
50,91020897,1,tetralin_91020897
51,90918232,1,tetralin_90918232
52,90755844,1,tetralin_90755844
53,89910598,1,tetralin_89910598
54,89910582,1,tetralin_89910582
55,89910479,1,tetralin_89910479
56,89609997,1,tetralin_89609997
57,73759901,1,tetralin_73759901
58,73094422,1,tetralin_73094422
59,72346124,1,tetralin_72346124
60,72257792,1,tetralin_72257792
61,68351919,1,tetralin_68351919
62,68134142,1,tetralin_68134142
63,66961685,1,tetralin_66961685
64,59979532,1,tetralin_59979532
65,59979530,1,tetralin_59979530
66,59979529,1,tetralin_59979529
67,59941733,1,tetralin_59941733
68,59931160,1,tetralin_59931160
69,59896848,1,tetralin_59896848
70,59863884,1,tetralin_59863884
71,59718094,1,tetralin_59718094
72,59715563,1,tetralin_59715563
73,59661954,1,tetralin_59661954
74,59644453,1,tetralin_59644453
75,59444432,1,tetralin_59444432
76,59334186,1,tetralin_59334186
77,59270853,1,tetralin_59270853
78,59259373,1,tetralin_59259373
79,59079603,1,tetralin_59079603
80,59041498,1,tetralin_59041498
81,58833502,1,tetralin_58833502
82,58673677,1,tetralin_58673677
83,58612442,1,tetralin_58612442
84,58533413,1,tetralin_58533413
85,58085726,1,tetralin_58085726
86,57965899,1,tetralin_57965899
87,57605311,1,tetralin_57605311
88,54721936,1,tetralin_54721936
89,54556792,1,tetralin_54556792
90,54406657,1,tetralin_54406657
91,53774654,1,tetralin_53774654
92,53638473,1,tetralin_53638473
93,23521643,1,tetralin_23521643
94,23396572,1,tetralin_23396572
95,22946787,1,tetralin_22946787
96,22035002,1,tetralin_22035002
97,21336480,1,tetralin_21336480
98,21269442,1,tetralin_21269442
99,21183238,1,tetralin_21183238
100,20111924,1,tetralin_20111924
101,19386077,1,tetralin_19386077
102,19084510,1,tetralin_19084510
103,18977672,1,tetralin_18977672
104,18977648,1,tetralin_18977648
105,18381132,1,tetralin_18381132
106,14248599,1,tetralin_14248599
107,12843892,1,tetralin_12843892
108,12673219,1,tetralin_12673219
109,12606302,1,tetralin_12606302
110,12037209,1,tetralin_12037209
111,135014448,1,tetralin_135014448
112,134993484,1,tetralin_134993484
113,134993441,1,tetralin_134993441
114,134833228,1,tetralin_134833228
115,129859339,1,tetralin_129859339
116,129850272,1,tetralin_129850272
117,129737190,1,tetralin_129737190
118,129719271,1,tetralin_129719271
119,129686406,1,tetralin_129686406
120,129670441,1,tetralin_129670441
121,126604547,1,tetralin_126604547
122,123944423,1,tetralin_123944423
123,123893415,1,tetralin_123893415
124,123583206,1,tetralin_123583206
125,121222219,1,tetralin_121222219
126,101939296,1,tetralin_101939296
127,101396962,1,tetralin_101396962
128,101360135,1,tetralin_101360135
129,101289983,1,tetralin_101289983
130,101118878,1,tetralin_101118878
131,91465214,1,tetralin_91465214
132,91305558,1,tetralin_91305558
133,90888187,1,tetralin_90888187
134,90834387,1,tetralin_90834387
135,90774128,1,tetralin_90774128
136,89105193,1,tetralin_89105193
137,88174367,1,tetralin_88174367
138,85887080,1,tetralin_85887080
139,85877028,1,tetralin_85877028
140,71426688,1,tetralin_71426688
141,45090780,1,tetralin_45090780
142,21731352,1,tetralin_21731352
143,21731351,1,tetralin_21731351
144,15732605,1,tetralin_15732605
145,14060579,1,tetralin_14060579
146,13541279,1,tetralin_13541279
147,12199723,1,tetralin_12199723
148,12199719,1,tetralin_12199719
149,12199716,1,tetralin_12199716
150,12066164,1,tetralin_12066164
151,11147859,1,tetralin_11147859
152,11008366,1,tetralin_11008366
153,10824165,1,tetralin_10824165
154,10583029,1,tetralin_10583029
155,10261130,1,tetralin_10261130
156,5485372,1,tetralin_5485372
157,436457,1,tetralin_436457
158,3771760,1,tetralin_3771760
159,6517882,1,tetralin_6517882
160,10080462,1,tetralin_10080462
161,10240860,1,tetralin_10240860
162,10486880,1,tetralin_10486880
163,10534689,1,tetralin_10534689
164,10535171,1,tetralin_10535171
165,10558656,1,tetralin_10558656
166,10606770,1,tetralin_10606770
167,10630517,1,tetralin_10630517
168,10727889,1,tetralin_10727889
