cid,ring,image_saved_as,iupac,mf
8004,0,1_pentene_8004,pent-1-ene,"C5H10
"
11597,0,1_pentene_11597,hex-1-ene,"C6H12
"
7844,0,1_pentene_7844,but-1-ene,"C4H8
"
11610,0,1_pentene_11610,hept-1-ene,"C7H14
"
11598,0,1_pentene_11598,"hexa-1,5-diene","C6H10
"
639661,0,1_pentene_639661,(E)-hex-2-ene,"C6H12
"
19966,0,1_pentene_19966,hex-2-ene,"C6H12
"
11239,0,1_pentene_11239,3-methylbut-1-ene,"C5H10
"
5357259,0,1_pentene_5357259,(E)-hept-3-ene,"C7H14
"
5357258,0,1_pentene_5357258,(Z)-hept-3-ene,"C7H14
"
643835,0,1_pentene_643835,(Z)-hex-2-ene,"C6H12
"
12987,0,1_pentene_12987,"2-methylpenta-1,4-diene","C6H10
"
12724,0,1_pentene_12724,4-methylpent-1-ene,"C6H12
"
5364394,0,1_pentene_5364394,"(5E)-hepta-1,5-diene","C7H12
"
66195,0,1_pentene_66195,"3-methylpenta-1,4-diene","C6H10
"
19965,0,1_pentene_19965,"2-methylhexa-1,5-diene","C7H12
"
18850,0,1_pentene_18850,3-methylidenepent-1-ene,"C6H10
"
16968,0,1_pentene_16968,"hepta-1,6-diene","C7H12
"
12969,0,1_pentene_12969,3-methylpent-1-ene,"C6H12
"
11612,0,1_pentene_11612,hept-3-ene,"C7H14
"
11587,0,1_pentene_11587,"penta-1,4-diene","C5H8
"
137073,0,1_pentene_137073,"3-methylhexa-1,5-diene","C7H12
"
67891,0,1_pentene_67891,5-fluoropent-1-ene,"C5H9F
"
12539503,0,1_pentene_12539503,"hepta-1,2,6-triene","C7H10
"
145521,0,1_pentene_145521,"hexa-1,2,5-triene","C6H8
"
144120,0,1_pentene_144120,but-1-ene,"C4H7
"
137072,0,1_pentene_137072,"hepta-1,5-diene","C7H12
"
136379,0,1_pentene_136379,"hexa-1,2-diene","C6H10
"
59962855,0,1_pentene_59962855,hex-1-ene,"C6H10
"
57359528,0,1_pentene_57359528,1-fluorohex-1-ene,"C6H11F
"
57205398,0,1_pentene_57205398,"5-methylhexa-1,2,5-triene","C7H10
"
57123338,0,1_pentene_57123338,"hepta-1,2,3-triene","C7H10
"
54746094,0,1_pentene_54746094,but-1-ene,"C4H7+
"
54530280,0,1_pentene_54530280,1-deuteriopent-1-ene,"C5H10
"
54238517,0,1_pentene_54238517,3-iodopent-1-ene,"C5H9I
"
53763274,0,1_pentene_53763274,hept-1-en-5-yne,"C7H10
"
23437622,0,1_pentene_23437622,3-fluorohex-1-ene,"C6H11F
"
21195085,0,1_pentene_21195085,but-1-ene,"C8H16
"
