cid,ring,image_saved_as,iupac,mf
8079,1,Cyclohexene_8079,"cyclohexene
","C6H10
"
8882,1,Cyclohexene_8882,"cyclopentene
","C5H8
"
643836,1,Cyclohexene_643836,"(Z)-hept-2-ene
","C7H14
"
639662,1,Cyclohexene_639662,"(E)-hept-2-ene
","C7H14
"
12363,1,Cyclohexene_12363,"cycloheptene
","C7H12
"
219357,1,Cyclohexene_219357,"3-methylidenecyclohexene
","C7H10
"
12343,1,Cyclohexene_12343,"cyclohexa-1,4-diene
","C6H8
"
11611,1,Cyclohexene_11611,"hept-2-ene
","C7H14
"
16213229,1,Cyclohexene_16213229,"1,2,3,3,4,4,5,5,6,6-decadeuteriocyclohexene
","C6H10
"
13406511,1,Cyclohexene_13406511,"3-fluorocyclohexene
","C6H9F
"
11182579,1,Cyclohexene_11182579,"1-fluorocyclohexene
","C6H9F
"
527574,1,Cyclohexene_527574,"4-iodocyclohexene
","C6H9I
"
527572,1,Cyclohexene_527572,"3-iodocyclohexene
","C6H9I
"
143151,1,Cyclohexene_143151,"4,5-dimethylidenecyclohexene
","C8H10
"
139449,1,Cyclohexene_139449,"4-methylidenecyclohexene
","C7H10
"
91181716,1,Cyclohexene_91181716,"1-deuteriocyclohexene
","C6H10
"
59238802,1,Cyclohexene_59238802,"cyclohexen-1-ylboron
","C6H9B
"
12729410,1,Cyclohexene_12729410,"magnesium;cyclohexene;bromide
","C6H9BrMg
"
11182993,1,Cyclohexene_11182993,"chlorozinc(1+);cyclohexene
","C6H9ClZn
"
10873974,1,Cyclohexene_10873974,"cyclohexene
","C6H9
"
6439832,1,Cyclohexene_6439832,"(1Z,4Z)-cyclonona-1,4-diene
","C9H14
"
574444,1,Cyclohexene_574444,"cyclohex-2-ene-1-thione
","C6H8S
"
139092,1,Cyclohexene_139092,"chloro(cyclohexen-1-yl)mercury
","C6H9ClHg
"
138819,1,Cyclohexene_138819,"cyclonona-1,4-diene
","C9H14
"
130200518,1,Cyclohexene_130200518,"azane;cyclohexene;hydrochloride
","C6H14ClN
"
126639897,1,Cyclohexene_126639897,"4,5-diiodocyclohexene
","C6H8I2
"
123181685,1,Cyclohexene_123181685,"(4Z)-cyclonona-1,4-diene
","C9H14
"
117967848,1,Cyclohexene_117967848,"cyclohexene;hydrobromide
","C6H11Br
"
91523245,1,Cyclohexene_91523245,"cyclotetradeca-1,5,9-triene
","C14H22
"
91354226,1,Cyclohexene_91354226,"cyclohexene;ethane;ethene
","C12H26
"
91343870,1,Cyclohexene_91343870,"cyclohexene;ethane;propane
","C13H30
"
91255545,1,Cyclohexene_91255545,"cyclohexene;ethane
","C10H22
"
91188246,1,Cyclohexene_91188246,"cyclohexene;ethane;propane
","C11H24
"
91139915,1,Cyclohexene_91139915,"cyclotetradeca-1,4,9-triene
","C14H22
"
90965245,1,Cyclohexene_90965245,"cyclohexene;propane
","C12H26
"
90955460,1,Cyclohexene_90955460,"cyclohexene;ethane
","C12H28
"
90948486,1,Cyclohexene_90948486,"trideca-1,6,12-triene
","C13H22
"
90898681,1,Cyclohexene_90898681,"cyclohexene;ethane
","C8H16
"
90812163,1,Cyclohexene_90812163,"(E)-oct-2-ene
","C8H15+
"
90752516,1,Cyclohexene_90752516,"cyclotrideca-1,4,8-triene
","C13H20
"
89360336,1,Cyclohexene_89360336,"(3R)-3-iodocyclohexene
","C6H9I
"
89001803,1,Cyclohexene_89001803,"cyclohex-3-en-1-ylphosphane
","C6H11P
"
87964739,1,Cyclohexene_87964739,"chlorogold;cyclohexene
","C6H10AuCl
"
87245515,1,Cyclohexene_87245515,"magnesium;cyclohexene;chloride
","C6H9ClMg
"
87233764,1,Cyclohexene_87233764,"cyclohexene;zinc;hydrochloride
","C6H10ClZn-
"
87233607,1,Cyclohexene_87233607,"cyclohexene;zinc;hydrochloride
","C6H10ClZn-
"
86632745,1,Cyclohexene_86632745,"cyclohexene;hexane
","C12H24
"
85588501,1,Cyclohexene_85588501,"cyclohex-2-en-1-ylphosphane
","C6H11P
"
71300988,1,Cyclohexene_71300988,"cyclohexene;dichloroplatinum
","C6H10Cl2Pt
"
70149958,1,Cyclohexene_70149958,"cyclohexene;hydrate
","C6H12O
"
69421515,1,Cyclohexene_69421515,"chloromethane;cyclohexene
","C7H13Cl
"
69332132,1,Cyclohexene_69332132,"cyclohexene;formonitrile
","C7H11N
"
69050319,1,Cyclohexene_69050319,"cyclohexene;hydrochloride
","C6H11Cl
"
67000395,1,Cyclohexene_67000395,"cyclohexene;sulfane
","C12H22S
"
66616393,1,Cyclohexene_66616393,"4,4-difluorocyclohexene
","C6H8F2
"
60038862,1,Cyclohexene_60038862,"3-methylcyclohexene
","C7H10
"
59989854,1,Cyclohexene_59989854,"1,2-dideuteriocyclopentene
","C5H8
"
59927436,1,Cyclohexene_59927436,"(Z)-hept-2-ene
","C7H12
"
59898418,1,Cyclohexene_59898418,"cyclohexene;yttrium
","C6H9Y-
"
59819095,1,Cyclohexene_59819095,"(1Z,4Z,7Z)-cyclododeca-1,4,7-triene
","C12H18
"
59756673,1,Cyclohexene_59756673,"cyclohexene;tungsten;yttrium
","C6H8WY-2
"
59550277,1,Cyclohexene_59550277,"di(cyclohex-2-en-1-yl)tin
","C12H18Sn
"
59098856,1,Cyclohexene_59098856,"(E)-3-tritiohept-2-ene
","C7H14
"
58773508,1,Cyclohexene_58773508,"cyclohexene;dichlorozinc
","C6H9Cl2Zn-
"
57734172,1,Cyclohexene_57734172,"cyclohexene;yttrium
","C6H8Y-2
"
57609837,1,Cyclohexene_57609837,"cyclohexene;yttrium
","C12H18Y-2
"
57603350,1,Cyclohexene_57603350,"chlorozinc(1+);cyclohexene
","C6H8ClZn+
"
57129847,1,Cyclohexene_57129847,"cycloundeca-1,6-diene
","C11H18
"
54475614,1,Cyclohexene_54475614,"tetradeca-1,7,13-triene
","C14H24
"
53935741,1,Cyclohexene_53935741,"cyclododeca-1,4,7-triene
","C12H18
"
53704185,1,Cyclohexene_53704185,"dodeca-1,5,11-triene
","C12H20
"
22378589,1,Cyclohexene_22378589,"4-fluorocyclohexene
","C6H9F
"
21900369,1,Cyclohexene_21900369,"cyclohexene;sulfane
","C6H12S
"
19913309,1,Cyclohexene_19913309,"3,3-difluorocyclohexene
","C6H8F2
"
18436212,1,Cyclohexene_18436212,"zinc;cyclohexene;chloride
","C6H9ClZn
"
18436211,1,Cyclohexene_18436211,"zinc;cyclohexene;chloride
","C6H9ClZn
"
18006421,1,Cyclohexene_18006421,"cyclohexene;hydrogen peroxide
","C6H12O2
"
14784732,1,Cyclohexene_14784732,"lithium;cyclohexene
","C6H9Li
"
13411985,1,Cyclohexene_13411985,"undeca-1,4,10-triene
","C11H18
"
12770162,1,Cyclohexene_12770162,"cyclohexene
","C6H9
"
12691201,1,Cyclohexene_12691201,"4-propan-2-ylidenecyclohexene
","C9H14
"
12488951,1,Cyclohexene_12488951,"1-propylcyclohexa-1,4-diene
","C9H14
"
12323707,1,Cyclohexene_12323707,"3-deuteriocyclohexa-1,4-diene
","C6H8
"
12231594,1,Cyclohexene_12231594,"3-deuteriocycloheptene
","C7H12
"
556551,1,Cyclohexene_556551,"4-ethylidenecyclohexene
","C8H12
"
498744,1,Cyclohexene_498744,"cyclododeca-1,7-diene
","C12H20
"
142194,1,Cyclohexene_142194,"1-protiocyclopentene
","C5H8
"
135081963,1,Cyclohexene_135081963,"potassium;cyclohexene
","C6H9K+
"
135057291,1,Cyclohexene_135057291,"[(1S)-cyclohex-2-en-1-yl]-trimethylstannane
","C9H18Sn
"
135056766,1,Cyclohexene_135056766,"(Z)-hept-2-ene
","C7H13
"
135048554,1,Cyclohexene_135048554,"cyclohex-2-en-1-ylboron
","C6H9B
"
135007436,1,Cyclohexene_135007436,"[(1R)-cyclohex-2-en-1-yl]-trimethylstannane
","C9H18Sn
"
134991837,1,Cyclohexene_134991837,"trichloro(cyclohex-3-en-1-yl)germane
","C6H9Cl3Ge
"
