cid,ring,image_saved_as,iupac,mf
7845,0,buta_1_3_diene_7845,"buta-1,3-diene
","C4H6
"
44144408,0,buta_1_3_diene_44144408,"1-mercuracyclopenta-2,4-diene
","C4H4Hg
"
518944,0,buta_1_3_diene_518944,"1,1,2,3,4,4-hexadeuteriobuta-1,3-diene
","C4H6
"
141841,0,buta_1_3_diene_141841,"hexa-1,3,4-triene
","C6H8
"
141506,0,buta_1_3_diene_141506,"hexa-1,2,4,5-tetraene
","C6H6
"
139187,0,buta_1_3_diene_139187,"penta-1,2,4-triene
","C5H6
"
136879,0,buta_1_3_diene_136879,"cyclobutadiene
","C4H4
"
123136,0,buta_1_3_diene_123136,"prop-1-ene
","C3H5
"
86062172,0,buta_1_3_diene_86062172,"buta-1,3-diene
","C4H5+
"
71309612,0,buta_1_3_diene_71309612,"(1,3-13C2)buta-1,3-diene
","C4H6
"
59979381,0,buta_1_3_diene_59979381,"prop-1-ene;rutherfordium
","C3H5Rf-
"
59961144,0,buta_1_3_diene_59961144,"buta-1,3-diene;yttrium
","C4H4Y-2
"
59863227,0,buta_1_3_diene_59863227,"buta-1,3-diene;iron
","C4H5Fe-
"
58752526,0,buta_1_3_diene_58752526,"buta-1,3-diene;iron(2+)
","C4H4Fe
"
58649404,0,buta_1_3_diene_58649404,"prop-1-ene
","C3H5+
"
53915310,0,buta_1_3_diene_53915310,"1-fluorobuta-1,3-diene
","C4H5F
"
53676512,0,buta_1_3_diene_53676512,"hexa-1,2,3,5-tetraene
","C6H6
"
12349196,0,buta_1_3_diene_12349196,"prop-1-ene
","C3H5-
"
12198902,0,buta_1_3_diene_12198902,"2,3-dideuteriobuta-1,3-diene
","C4H6
"
11297949,0,buta_1_3_diene_11297949,"magnesium;buta-1,3-diene;chloride
","C4H5ClMg
"
5365472,0,buta_1_3_diene_5365472,"prop-1-ene
","C3H4
"
551655,0,buta_1_3_diene_551655,"2-fluorobuta-1,3-diene
","C4H5F
"
517868,0,buta_1_3_diene_517868,"1,1,4,4-tetradeuteriobuta-1,3-diene
","C4H6
"
91380651,0,buta_1_3_diene_91380651,"buta-1,3-diene;ethane
","C6H12
"
60073600,0,buta_1_3_diene_60073600,"buta-1,3-diene;yttrium
","C4H5Y-
"
59945796,0,buta_1_3_diene_59945796,"potassium;buta-1,3-diene
","C4H4K-
"
59902186,0,buta_1_3_diene_59902186,"buta-1,3-diene;yttrium
","C4H4Y3-2
"
59889463,0,buta_1_3_diene_59889463,"buta-1,3-dien-2-yltin
","C4H5Sn
"
59278561,0,buta_1_3_diene_59278561,"buta-1,3-diene;vanadium
","C4H4V5-2
"
59061974,0,buta_1_3_diene_59061974,"(1Z)-1-fluorobuta-1,3-diene
","C4H5F
"
59024638,0,buta_1_3_diene_59024638,"buta-1,3-diene;vanadium
","C4H5V2-
"
59017169,0,buta_1_3_diene_59017169,"1,4-ditritiobuta-1,3-diene;yttrium
","C4H4Y-2
"
58090524,0,buta_1_3_diene_58090524,"buta-1,3-diene;yttrium
","C4H4Y2-2
"
57458877,0,buta_1_3_diene_57458877,"1lambda2-stannole
","C4H4Sn
"
22953139,0,buta_1_3_diene_22953139,"buta-1,3-diene;uranium(2+)
","C4H4U
"
22949871,0,buta_1_3_diene_22949871,"buta-1,3-diene;tungsten(2+)
","C4H4W
"
22948855,0,buta_1_3_diene_22948855,"buta-1,3-diene;vanadium(2+)
","C4H4V
"
18969921,0,buta_1_3_diene_18969921,"1lambda2-bismole
","C4H4Bi
"
12218053,0,buta_1_3_diene_12218053,"hepta-1,3,4,6-tetraene
","C7H8
"
139183,0,buta_1_3_diene_139183,"1,1,4,4-tetraprotiobuta-1,3-diene
","C4H6
"
137009,0,buta_1_3_diene_137009,"1,1,2,3,4,4-hexaprotiobuta-1,3-diene
","C4H6
"
135038545,0,buta_1_3_diene_135038545,"buta-1,3-diene;rhodium(3+)
","C4H4Rh+
"
134835654,0,buta_1_3_diene_134835654,"(213C)buta-1,3-diene
","C4H6
"
129888915,0,buta_1_3_diene_129888915,"digalline
","C4H4Ga2
"
129888818,0,buta_1_3_diene_129888818,"1lambda3,2lambda3-diplumbacyclohexa-1,3,5-triene
","C4H4Pb2
"
129888735,0,buta_1_3_diene_129888735,"buta-1,3-diene;rhenium
","C4H4Re-2
"
129818447,0,buta_1_3_diene_129818447,"buta-1,3-diene;rhodium
","C4H4Rh2-2
"
129777324,0,buta_1_3_diene_129777324,"buta-1,3-diene;ruthenium(2+)
","C4H4Ru
"
129730961,0,buta_1_3_diene_129730961,"buta-1,3-diene;propa-1,2-diene
","C7H10
"
129712023,0,buta_1_3_diene_129712023,"buta-1,3-diene;manganese(2+)
","C4H4Mn
"
129670467,0,buta_1_3_diene_129670467,"buta-1,3-diene;cobalt(2+)
","C4H4Co
"
129668891,0,buta_1_3_diene_129668891,"calcium;buta-1,3-diene
","C4H4Ca
"
129665210,0,buta_1_3_diene_129665210,"distibinine
","C4H4Sb2
"
129664559,0,buta_1_3_diene_129664559,"buta-1,3-diene;titanium(2+)
","C4H4Ti
"
129653338,0,buta_1_3_diene_129653338,"buta-1,3-diene;chromium(2+)
","C4H4Cr
"
129651541,0,buta_1_3_diene_129651541,"buta-1,3-diene;cerium
","C4H4Ce-2
"
129644255,0,buta_1_3_diene_129644255,"buta-1,3-diene;rhodium(2+)
","C4H4Rh
"
129641634,0,buta_1_3_diene_129641634,"buta-1,3-diene;osmium(1+)
","C4H4Os2
"
129640685,0,buta_1_3_diene_129640685,"copper;buta-1,3-diene
","C4H4Cu
"
129638409,0,buta_1_3_diene_129638409,"buta-1,3-diene;silver
","C4H4Ag-2
"
129636585,0,buta_1_3_diene_129636585,"1lambda2-gallole
","C4H4Ga
"
129632480,0,buta_1_3_diene_129632480,"buta-1,3-diene;iridium
","C4H4Ir-2
"
129632409,0,buta_1_3_diene_129632409,"magnesium;buta-1,3-diene
","C4H4Mg
"
129631460,0,buta_1_3_diene_129631460,"buta-1,3-diene;gold
","C4H4Au-2
"
129631148,0,buta_1_3_diene_129631148,"1lambda2-indigole
","C4H4In
"
129630689,0,buta_1_3_diene_129630689,"buta-1,3-diene;osmium(2+)
","C4H4Os
"
129630514,0,buta_1_3_diene_129630514,"zinc;buta-1,3-diene
","C4H4Zn
"
129630231,0,buta_1_3_diene_129630231,"barium(2+);buta-1,3-diene
","C4H4Ba
"
129628178,0,buta_1_3_diene_129628178,"buta-1,3-diene;scandium
","C4H4Sc-2
"
123359987,0,buta_1_3_diene_123359987,"hepta-1,2,3,4,6-pentaene
","C7H6
"
102256523,0,buta_1_3_diene_102256523,"(113C)buta-1,3-diene
","C4H6
"
101049092,0,buta_1_3_diene_101049092,"ditellurine
","C4H4Te2
"
92013482,0,buta_1_3_diene_92013482,"hepta-1,3,4,5-tetraene
","C7H8
"
92003491,0,buta_1_3_diene_92003491,"buta-1,3-diene;platinum(2+)
","C4H4Pt
"
91869492,0,buta_1_3_diene_91869492,"1H-stibole
","C4H5Sb
"
91869490,0,buta_1_3_diene_91869490,"1H-bismole
","C4H5Bi
"
91308549,0,buta_1_3_diene_91308549,"buta-1,3-dien-2-ylboron
","C4H5B
"
91270008,0,buta_1_3_diene_91270008,"buta-1,3-dienylboron
","C4H5B
"
88022759,0,buta_1_3_diene_88022759,"hexa-1,2,3,5-tetraene;hydrochloride
","C6H7Cl
"
74069701,0,buta_1_3_diene_74069701,"1$l^{3},2$l^{3}-digermacyclohexa-1,3,5-triene
","C4H4Ge2
"
71357546,0,buta_1_3_diene_71357546,"1H-stannole
","C4H6Sn
"
57459296,0,buta_1_3_diene_57459296,"1,2-dideuteriocyclobuta-1,3-diene
","C4H4
"
22320808,0,buta_1_3_diene_22320808,"buta-1,3-diene
","C8H12
"
19777060,0,buta_1_3_diene_19777060,"sodium;buta-1,3-diene
","C4H5Na
"
18969905,0,buta_1_3_diene_18969905,"1lambda2-stibole
","C4H4Sb
"
16692449,0,buta_1_3_diene_16692449,"1-deuteriobuta-1,3-diene
","C4H6
"
16692448,0,buta_1_3_diene_16692448,"1,4-dideuteriobuta-1,3-diene
","C4H6
"
15974792,0,buta_1_3_diene_15974792,"magnesium;buta-1,3-diene;chloride
","C4H5ClMg
"
14128146,0,buta_1_3_diene_14128146,"magnesium;buta-1,3-diene;chloride
","C4H5ClMg
"
13917051,0,buta_1_3_diene_13917051,"magnesium;buta-1,3-diene;bromide
","C4H5BrMg
"
12913184,0,buta_1_3_diene_12913184,"dilithium;buta-1,3-diene
","C4H4Li2
"
12825333,0,buta_1_3_diene_12825333,"magnesium;buta-1,3-diene
","C4H6Mg+2
"
11815915,0,buta_1_3_diene_11815915,"buta-1,3-diene;zirconium(2+)
","C4H4Zr
"
11378441,0,buta_1_3_diene_11378441,"(1E)-1-fluorobuta-1,3-diene
","C4H5F
"
11051919,0,buta_1_3_diene_11051919,"magnesium;buta-1,3-diene;bromide
","C4H5BrMg
"
10877045,0,buta_1_3_diene_10877045,"lithium;buta-1,3-diene
","C4H5Li
"
24753,0,buta_1_3_diene_24753,"buta-1,3-diene
","C4H4
"
533465,0,buta_1_3_diene_533465,"but-2-ene
","C4H6-2
"
6328844,0,buta_1_3_diene_6328844,"(E)-but-2-ene
","C4H6-2
"
12198904,0,buta_1_3_diene_12198904,"1,1-dideuteriobuta-1,3-diene
","C4H6
"
12198905,0,buta_1_3_diene_12198905,"1,1,2-trideuteriobuta-1,3-diene
","C4H6
"
12432428,0,buta_1_3_diene_12432428,"buta-1,3-diene
","C4H5
"
12591251,0,buta_1_3_diene_12591251,"(3E)-penta-1,3-diene
","C5H6
"
12729920,0,buta_1_3_diene_12729920,"octa-1,3,4,5,7-pentaene
","C8H8
"
12844185,0,buta_1_3_diene_12844185,"(3E)-penta-1,3-diene
","C5H7
"
13023860,0,buta_1_3_diene_13023860,"lithium;buta-1,3-diene
","C4H5Li
"
15579367,0,buta_1_3_diene_15579367,"buta-1,3-diene
","C4H5
"
15972723,0,buta_1_3_diene_15972723,"magnesium;buta-1,3-diene;bromide
","C4H5BrMg
"
15977857,0,buta_1_3_diene_15977857,"buta-1,3-diene;zirconium(2+)
","C4H4Zr
"
17764966,0,buta_1_3_diene_17764966,"buta-1,3-diene;prop-1-ene
","C7H12
"
18003103,0,buta_1_3_diene_18003103,"lithium;buta-1,3-diene
","C4H6Li+
"
18766763,0,buta_1_3_diene_18766763,"[(1E)-buta-1,3-dienyl]tin(3+)
","C4H5Sn+3
"
18949351,0,buta_1_3_diene_18949351,"potassium;buta-1,3-diene
","C4H6K+
"
