cid,ring,image_saved_as,iupac,mf
8064,0,butane_1_4_diol_8064,"butane-1,4-diol
","C4H10O2
"
8107,0,butane_1_4_diol_8107,"4-methoxybutan-1-ol
","C5H12O2
"
12218980,0,butane_1_4_diol_12218980,"2,2,3,3-tetradeuteriobutane-1,4-diol
","C4H10O2
"
71309106,0,butane_1_4_diol_71309106,"(1,2,3,4-13C4)butane-1,4-diol
","C4H10O2
"
16211763,0,butane_1_4_diol_16211763,"1,1,2,2,3,3,4,4-octadeuteriobutane-1,4-diol
","C4H10O2
"
22253497,0,butane_1_4_diol_22253497,"butan-1-ol;hydrate
","C4H12O2
"
21225517,0,butane_1_4_diol_21225517,"4-hydroperoxybutan-1-ol
","C4H10O3
"
2724854,0,butane_1_4_diol_2724854,"1,1,2,2,3,3,4,4-octadeuterio-1,4-dideuteriooxybutane
","C4H10O2
"
123797112,0,butane_1_4_diol_123797112,"1,1,3,3-tetradeuteriobutane-1,4-diol
","C4H10O2
"
123737136,0,butane_1_4_diol_123737136,"1,1,2,2-tetradeuteriobutane-1,4-diol
","C4H10O2
"
123190199,0,butane_1_4_diol_123190199,"1,1-dideuteriobutane-1,4-diol
","C4H10O2
"
88032247,0,butane_1_4_diol_88032247,"butane-1,4-diol;ethane
","C6H16O2
"
87282984,0,butane_1_4_diol_87282984,"butane-1,4-diol;ethanol
","C6H16O3
"
85801464,0,butane_1_4_diol_85801464,"butan-1-ol
","C4H9O+
"
60104690,0,butane_1_4_diol_60104690,"butane-1,4-diol;cobalt
","C4H9CoO2-
"
60090521,0,butane_1_4_diol_60090521,"butan-1-ol
","C4H8O
"
59962358,0,butane_1_4_diol_59962358,"actinium;butane-1,4-diol
","C4H10AcO2
"
59741501,0,butane_1_4_diol_59741501,"butane-1,4-diol;yttrium
","C4H10O2Y2
"
59008464,0,butane_1_4_diol_59008464,"butane-1,4-diol
","C4H9O2+
"
58858711,0,butane_1_4_diol_58858711,"4-hydroxybutyl hypofluorite
","C4H9FO2
"
57585247,0,butane_1_4_diol_57585247,"4-methoxybutan-1-ol
","C5H10O2
"
57321762,0,butane_1_4_diol_57321762,"4-sulfanyloxybutan-1-ol
","C4H10O2S
"
57057265,0,butane_1_4_diol_57057265,"1-fluorobutane-1,4-diol
","C4H9FO2
"
23397524,0,butane_1_4_diol_23397524,"4-hydroxybutyloxidanium
","C4H11O2+
"
22439470,0,butane_1_4_diol_22439470,"butan-1-ol;methanol
","C5H14O2
"
20293730,0,butane_1_4_diol_20293730,"butane-1,1,1,4-tetrol
","C4H10O4
"
13901633,0,butane_1_4_diol_13901633,"2-fluorobutane-1,4-diol
","C4H9FO2
"
11446293,0,butane_1_4_diol_11446293,"1,4-dideuteriooxybutane
","C4H10O2
"
134846000,0,butane_1_4_diol_134846000,"butan-1-ol
","C4H8O
"
129844175,0,butane_1_4_diol_129844175,"(2R,3R)-2,3-bis(lambda1-selanyl)butane-1,4-diol
","C4H8O2Se2
"
90040583,0,butane_1_4_diol_90040583,"butane-1,4-diol;propan-1-ol
","C7H18O3
"
87696329,0,butane_1_4_diol_87696329,"butan-1-ol;dihydrate
","C4H14O3
"
23687526,0,butane_1_4_diol_23687526,"sodium;4-hydroxybutan-1-olate
","C4H9NaO2
"
20385292,0,butane_1_4_diol_20385292,"butane-1,4-diol;hydrate
","C4H12O3
"
161475,0,butane_1_4_diol_161475,"butan-1-ol
","C4H9O
"
10630444,0,butane_1_4_diol_10630444,"1,1,4,4-tetradeuteriobutane-1,4-diol
","C4H10O2
"
10820476,0,butane_1_4_diol_10820476,"(1,4-13C2)butane-1,4-diol
","C4H10O2
"
11768499,0,butane_1_4_diol_11768499,"2-deuteriobutane-1,4-diol
","C4H10O2
"
17994140,0,butane_1_4_diol_17994140,"butane-1,4-diol;methanol
","C5H14O3
"
20248443,0,butane_1_4_diol_20248443,"butane-1,4-diol;titanium;trihydroxide
","C4H13O5Ti-3
"
21437064,0,butane_1_4_diol_21437064,"butane-1,4-diol;lead
","C4H10O2Pb
"
22990865,0,butane_1_4_diol_22990865,"butane-1,4-diol;hydrochloride
","C4H11ClO2
"
23135090,0,butane_1_4_diol_23135090,"potassium;butane-1,4-diol
","C4H10KO2+
"
23518277,0,butane_1_4_diol_23518277,"butane-1,4-diol;cobalt(2+)
","C4H9CoO2+
"
25240091,0,butane_1_4_diol_25240091,"(2R)-2-deuteriobutane-1,4-diol
","C4H10O2
"
87238876,0,butane_1_4_diol_87238876,"4-hydroxybutyl(oxo)tin
","C4H9O2Sn
"
87262181,0,butane_1_4_diol_87262181,"4-hydroxybutoxysilicon
","C4H9O2Si
"
87550298,0,butane_1_4_diol_87550298,"butane-1,4-diol;titanium
","C4H9O2Ti-
"
87680305,0,butane_1_4_diol_87680305,"butane-1,4-diol;potassium
","C4H10KO2
"
87822180,0,butane_1_4_diol_87822180,"1,4-dihydroxybutylmercury
","C4H9HgO2
"
87841101,0,butane_1_4_diol_87841101,"butane-1,4-diol;sodium
","C4H10NaO2
"
87923468,0,butane_1_4_diol_87923468,"butane-1,4-diol;titanium
","C4H10O2Ti
"
88356090,0,butane_1_4_diol_88356090,"lithium;butane-1,4-diol;iodide
","C4H10ILiO2
"
88674094,0,butane_1_4_diol_88674094,"1,4-dihydroxybutyllead
","C4H9O2Pb
"
88696663,0,butane_1_4_diol_88696663,"butane-1,4-diol;hydroxy(oxo)titanium
","C4H11O4Ti
"
88745856,0,butane_1_4_diol_88745856,"butane-1,4-diol;platinum
","C4H10O2Pt
"
101508397,0,butane_1_4_diol_101508397,"1,1,4,4-tetradeuterio-1,4-dideuteriooxybutane
","C4H10O2
"
101508398,0,butane_1_4_diol_101508398,"1,1,2,3,4,4-hexadeuterio-1,4-dideuteriooxybutane
","C4H10O2
"
101726899,0,butane_1_4_diol_101726899,"butan-1-ol
","C4H8O
"
101989815,0,butane_1_4_diol_101989815,"4-lambda1-oxidanyloxybutan-1-ol
","C4H9O3
"
102461128,0,butane_1_4_diol_102461128,"butyloxidanium
","C4H10O+
"
121336262,0,butane_1_4_diol_121336262,"4-hydroxybutyl hypoiodite
","C4H9IO2
"
129362714,0,butane_1_4_diol_129362714,"(2S)-2-fluorobutane-1,4-diol
","C4H9FO2
"
129362715,0,butane_1_4_diol_129362715,"(2R)-2-fluorobutane-1,4-diol
","C4H9FO2
"
135285248,0,butane_1_4_diol_135285248,"azane;butane-1,4-diol
","C4H13NO2
"
136158624,0,butane_1_4_diol_136158624,"butan-1-ol
","C4H8O+
"
137404840,0,butane_1_4_diol_137404840,"zinc;butane-1,4-diol;oxygen(2-)
","C4H10O3Zn
"
