cid,ring,image_saved_as,iupac,mf
1045,0,butylamine_1045,"butane-1,4-diamine
","C4H12N2
"
8007,0,butylamine_8007,"butan-1-amine
","C4H11N
"
8060,0,butylamine_8060,"pentan-1-amine
","C5H13N
"
3452892,0,butylamine_3452892,"4-azaniumylbutylazanium
","C4H14N2+2
"
22027117,0,butylamine_22027117,"butylazanide
","C4H10N-
"
15148285,0,butylamine_15148285,"butane-1,1-diamine
","C4H12N2
"
6432400,0,butylamine_6432400,"butan-1-amine;hydrochloride
","C4H12ClN
"
19726,0,butylamine_19726,"butylazanium;chloride
","C4H12ClN
"
71308826,0,butylamine_71308826,"(1,2,3,4-13C4)butane-1,4-diamine
","C4H12N2
"
12815213,0,butylamine_12815213,"N-chlorobutan-1-amine
","C4H10ClN
"
12199058,0,butylamine_12199058,"butan-1-amine;hydrobromide
","C4H12BrN
"
10582739,0,butylamine_10582739,"(1,4-13C2)butane-1,4-diamine
","C4H12N2
"
88075134,0,butylamine_88075134,"butan-1-amine;hydroiodide
","C4H12IN
"
53627651,0,butylamine_53627651,"butylazanium;fluoride
","C4H12FN
"
21904131,0,butylamine_21904131,"butylazanium;bromide
","C4H12BrN
"
21894792,0,butylamine_21894792,"butylazanium;iodide
","C4H12IN
"
21666405,0,butylamine_21666405,"N-bromobutan-1-amine
","C4H10BrN
"
21468526,0,butylamine_21468526,"butylaminoboron
","C4H10BN
"
19084593,0,butylamine_19084593,"butylazanium;cyanide
","C5H12N2
"
19044857,0,butylamine_19044857,"butan-1-amine;propan-1-amine
","C7H20N2
"
15525483,0,butylamine_15525483,"N-fluorobutan-1-amine
","C4H10FN
"
11446288,0,butylamine_11446288,"lithium;butylazanide
","C4H10LiN
"
3927698,0,butylamine_3927698,"pentylazanium
","C5H14N+
"
3614750,0,butylamine_3614750,"butylazanium
","C4H12N+
"
91565641,0,butylamine_91565641,"ethanamine;propane
","C5H15N
"
91440700,0,butylamine_91440700,"ethane;propan-1-amine
","C5H15N
"
90849123,0,butylamine_90849123,"fluoromethane;N-tritiobutan-1-amine
","C5H14FN
"
90834319,0,butylamine_90834319,"butane-1,4-diamine;ethanamine
","C6H19N3
"
90768984,0,butylamine_90768984,"butan-1-amine;ethane
","C6H17N
"
88199755,0,butylamine_88199755,"butan-1-amine;butane
","C8H21N
"
