AKA,AKE,AKH,AKY,ALC,AMN,BNZ,COC,COH,COO,COONH2,KEY,OH,SHH,cid,image_saved_as,ring,iupac,mf
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13156,3_bromo_2_butanone_13156,0.0,"1-bromobutan-2-one
","C4H7BrO
"
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62791,3_bromo_2_butanone_62791,0.0,"3,4-dibromobutan-2-one
","C4H6Br2O
"
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13142,3_bromo_2_butanone_13142,0.0,"3-bromobutan-2-one
","C4H7BrO
"
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12413224,3_bromo_2_butanone_12413224,0.0,"1,3-dibromobutan-2-one
","C4H6Br2O
"
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,123858546,3_bromo_2_butanone_123858546,0.0,"3-bromobutan-2-one
","C4H6BrO+
"
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6999693,3_bromo_2_butanone_6999693,0.0,"(3S)-3-bromobutan-2-one
","C4H7BrO
"
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100964405,3_bromo_2_butanone_100964405,0.0,"1,3,3-tribromobutan-2-one
","C4H5Br3O
"
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14692245,3_bromo_2_butanone_14692245,0.0,"1,1,3-tribromobutan-2-one
","C4H5Br3O
"
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,638118,3_bromo_2_butanone_638118,0.0,"(3R)-3-bromobutan-2-one
","C4H7BrO
"
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,124301335,3_bromo_2_butanone_124301335,0.0,"(3S)-3,4-dibromobutan-2-one
","C4H6Br2O
"
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,124301336,3_bromo_2_butanone_124301336,0.0,"(3R)-3,4-dibromobutan-2-one
","C4H6Br2O
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83275,4_picolylamine_83275,1.0,"2-pyridin-4-ylethanamine
","C7H10N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77317,4_picolylamine_77317,1.0,"pyridin-4-ylmethanamine
","C6H8N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12238841,4_picolylamine_12238841,1.0,"pyridin-4-ylmethanamine;dihydrochloride
","C6H10Cl2N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81436,4_picolylamine_81436,1.0,"N-methyl-1-pyridin-4-ylmethanamine
","C7H10N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12238842,4_picolylamine_12238842,1.0,"pyridin-4-ylmethanamine;hydrochloride
","C6H9ClN2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204820,4_picolylamine_204820,1.0,"2-pyridin-4-ylethanamine;dihydrochloride
","C7H12Cl2N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20185407,4_picolylamine_20185407,1.0,"(1-methylpyridin-1-ium-4-yl)methanamine
","C7H11N2+
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19388625,4_picolylamine_19388625,1.0,"pyridin-4-ylmethanimine
","C6H6N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18756166,4_picolylamine_18756166,1.0,"pyridin-4-ylmethanediamine
","C6H9N3
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12425236,4_picolylamine_12425236,1.0,"2-pyridin-4-ylethanamine;hydrochloride
","C7H11ClN2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4717880,4_picolylamine_4717880,1.0,"N-(pyridin-4-ylmethyl)prop-2-en-1-amine
","C9H12N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118088322,4_picolylamine_118088322,1.0,"(1Z,3Z)-3-(pyridin-4-ylmethyl)hexa-1,3,5-trien-1-amine
","C12H14N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117827856,4_picolylamine_117827856,1.0,"(2E,4Z)-3-pyridin-4-ylhexa-2,4-dien-1-imine
","C11H12N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88489689,4_picolylamine_88489689,1.0,"(E)-2-pyridin-3-ylethenamine
","C7H8N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87523068,4_picolylamine_87523068,1.0,"(E)-3-pyridin-4-ylprop-1-en-1-amine
","C8H10N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74061454,4_picolylamine_74061454,1.0,"4-pyridin-4-ylbut-3-en-1-amine
","C9H12N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67893862,4_picolylamine_67893862,1.0,"2-pyridin-3-ylethenamine
","C7H8N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67109614,4_picolylamine_67109614,1.0,"ethane;pyridin-4-ylmethanamine
","C8H14N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60649426,4_picolylamine_60649426,1.0,"N-(2-pyridin-4-ylethyl)prop-2-en-1-amine
","C10H14N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60038861,4_picolylamine_60038861,1.0,"N-(pyridin-4-ylmethyl)ethanamine
","C8H10N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59807465,4_picolylamine_59807465,1.0,"N-methyl-2-pyridin-4-ylprop-1-en-1-amine
","C9H12N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59337523,4_picolylamine_59337523,1.0,"N-methyl-1-pyridin-4-ylmethanamine
","C7H8N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58700043,4_picolylamine_58700043,1.0,"
","C7H9N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58098226,4_picolylamine_58098226,1.0,"N-(pyridin-4-ylmethyl)butan-1-amine
","C10H14N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57585335,4_picolylamine_57585335,1.0,"N-ethyl-2-pyridin-4-ylethanamine
","C9H12N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57540903,4_picolylamine_57540903,1.0,"N-methyl-2-pyridin-4-ylethanamine
","C8H10N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54006116,4_picolylamine_54006116,1.0,"3-pyridin-4-ylprop-2-en-1-amine
","C8H10N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23544229,4_picolylamine_23544229,1.0,"(E)-4-pyridin-4-ylbut-3-en-1-amine
","C9H12N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22450460,4_picolylamine_22450460,1.0,"(E)-2-pyridin-4-ylethenamine
","C7H8N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21974018,4_picolylamine_21974018,1.0,"(E)-3-pyridin-4-ylprop-2-en-1-amine
","C8H10N2
"
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21558017,4_picolylamine_21558017,1.0,"[3-(aminomethyl)pyridin-4-yl]methanamine
","C7H11N3
"
