cid,ring,image_saved_as,iupac,mf
1030,0,glycerol_1030,"propane-1,2-diol
","C3H8O2
"
753,0,glycerol_753,"propane-1,2,3-triol
","C3H8O3
"
439846,0,glycerol_439846,"(2S)-propane-1,2-diol
","C3H8O2
"
259994,0,glycerol_259994,"(2R)-propane-1,2-diol
","C3H8O2
"
20162113,0,glycerol_20162113,"3-sulfanyloxypropane-1,2-diol
","C3H8O3S
"
12239075,0,glycerol_12239075,"1,1,2,3,3-pentadeuterio-1,2,3-trideuteriooxypropane
","C3H8O3
"
11768502,0,glycerol_11768502,"1,1,2,3,3-pentadeuteriopropane-1,2,3-triol
","C3H8O3
"
54184487,0,glycerol_54184487,"2-deuteriooxypropane-1,3-diol
","C3H8O3
"
54142459,0,glycerol_54142459,"2,3-dihydroxypropyl hypochlorite
","C3H7ClO3
"
22084329,0,glycerol_22084329,"1-hydroxypropan-2-yloxidanium
","C3H9O2+
"
17977369,0,glycerol_17977369,"3-hydroperoxypropane-1,2-diol
","C3H8O4
"
16213438,0,glycerol_16213438,"(1,2,3-13C3)propane-1,2,3-triol
","C3H8O3
"
16213271,0,glycerol_16213271,"1,1,1,2,3,3-hexadeuterio-2,3-dideuteriooxypropane
","C3H8O2
"
12203549,0,glycerol_12203549,"1,2-dideuteriooxypropane
","C3H8O2
"
10176094,0,glycerol_10176094,"(213C)propane-1,2,3-triol
","C3H8O3
"
9989217,0,glycerol_9989217,"1-deuteriopropane-1,2,3-triol
","C3H8O3
"
153388,0,glycerol_153388,"propane-1,2,3-triol;hydrate
","C3H10O4
"
134159788,0,glycerol_134159788,"hydron;(2R)-propane-1,2-diol
","C3H8O2
"
131953477,0,glycerol_131953477,"hydron;propane-1,2,3-triol
","C3H10O3+2
"
124014110,0,glycerol_124014110,"(2R)-1-tritiooxypropan-2-ol
","C3H8O2
"
119080477,0,glycerol_119080477,"(2S)-1,1,3-trideuterio(2,3-13C2)propane-1,2,3-triol
","C3H8O3
"
119079639,0,glycerol_119079639,"(2S)-1,1,3-trideuterio(313C)propane-1,2,3-triol
","C3H8O3
"
119079083,0,glycerol_119079083,"(2R)-1,1,2,3-tetradeuterio(2,3-13C2)propane-1,2,3-triol
","C3H8O3
"
119079002,0,glycerol_119079002,"(2R)-1,1,3-trideuterio(2,3-13C2)propane-1,2,3-triol
","C3H8O3
"
119078599,0,glycerol_119078599,"(2R)-1,1,3-trideuterio(313C)propane-1,2,3-triol
","C3H8O3
"
119078359,0,glycerol_119078359,"(2S)-1,1,2,3-tetradeuterio(313C)propane-1,2,3-triol
","C3H8O3
"
119076948,0,glycerol_119076948,"(2R)-1,1,2,3-tetradeuterio(313C)propane-1,2,3-triol
","C3H8O3
"
119076946,0,glycerol_119076946,"(2S)-1,1,2,3-tetradeuterio(2,3-13C2)propane-1,2,3-triol
","C3H8O3
"
91844618,0,glycerol_91844618,"sodium;propane-1,2,3-triol;zirconium(4+)
","C3H8NaO3Zr+5
"
91170468,0,glycerol_91170468,"(2S)-2-deuterio(113C)propane-1,2,3-triol
","C3H8O3
"
90727667,0,glycerol_90727667,"(2R)-2-deuterio(113C)propane-1,2,3-triol
","C3H8O3
"
87238382,0,glycerol_87238382,"propane-1,1,1,2,3-pentol
","C3H8O5
"
72201055,0,glycerol_72201055,"propane-1,2,3-triol
","C3H7O3
"
71309005,0,glycerol_71309005,"1,1,2,3,3,3-hexadeuteriopropane-1,2-diol
","C3H8O2
"
60055122,0,glycerol_60055122,"propane-1,2,3-triol;yttrium
","C3H8O3Y
"
59902700,0,glycerol_59902700,"propane-1,2-diol
","C3H6O2
"
59890033,0,glycerol_59890033,"propane-1,2-diol;rutherfordium
","C3H7O2Rf-
"
59645032,0,glycerol_59645032,"(2S)-1-deuterio(213C)propane-1,2,3-triol
","C3H8O3
"
59645029,0,glycerol_59645029,"(2S)-1,2-dideuterio(1,2-13C2)propane-1,2,3-triol
","C3H8O3
"
59645028,0,glycerol_59645028,"2-deuterio(113C)propane-1,2,3-triol
","C3H8O3
"
59645025,0,glycerol_59645025,"(2R)-1,1-dideuterio(213C)propane-1,2,3-triol
","C3H8O3
"
59645024,0,glycerol_59645024,"(2R)-1,2-dideuterio(1,2-13C2)propane-1,2,3-triol
","C3H8O3
"
59645023,0,glycerol_59645023,"(2R)-1-deuterio(1,2-13C2)propane-1,2,3-triol
","C3H8O3
"
59645022,0,glycerol_59645022,"(2R)-1,1-dideuterio(2,3-13C2)propane-1,2,3-triol
","C3H8O3
"
59645021,0,glycerol_59645021,"1,1,3-trideuterio(313C)propane-1,2,3-triol
","C3H8O3
"
59645020,0,glycerol_59645020,"(2S)-1,1-dideuterio(2,3-13C2)propane-1,2,3-triol
","C3H8O3
"
59645019,0,glycerol_59645019,"(2R)-1-deuterio(113C)propane-1,2,3-triol
","C3H8O3
"
