cid,ring,image_saved_as,iupac,mf
8079,1,methylcyclopentadiene_8079,"cyclohexene
","C6H10
"
8882,1,methylcyclopentadiene_8882,"cyclopentene
","C5H8
"
643836,1,methylcyclopentadiene_643836,"(Z)-hept-2-ene
","C7H14
"
639662,1,methylcyclopentadiene_639662,"(E)-hept-2-ene
","C7H14
"
12363,1,methylcyclopentadiene_12363,"cycloheptene
","C7H12
"
219357,1,methylcyclopentadiene_219357,"3-methylidenecyclohexene
","C7H10
"
12343,1,methylcyclopentadiene_12343,"cyclohexa-1,4-diene
","C6H8
"
11611,1,methylcyclopentadiene_11611,"hept-2-ene
","C7H14
"
16213229,1,methylcyclopentadiene_16213229,"1,2,3,3,4,4,5,5,6,6-decadeuteriocyclohexene
","C6H10
"
13406511,1,methylcyclopentadiene_13406511,"3-fluorocyclohexene
","C6H9F
"
11182579,1,methylcyclopentadiene_11182579,"1-fluorocyclohexene
","C6H9F
"
527574,1,methylcyclopentadiene_527574,"4-iodocyclohexene
","C6H9I
"
527572,1,methylcyclopentadiene_527572,"3-iodocyclohexene
","C6H9I
"
143151,1,methylcyclopentadiene_143151,"4,5-dimethylidenecyclohexene
","C8H10
"
139449,1,methylcyclopentadiene_139449,"4-methylidenecyclohexene
","C7H10
"
91181716,1,methylcyclopentadiene_91181716,"1-deuteriocyclohexene
","C6H10
"
59238802,1,methylcyclopentadiene_59238802,"cyclohexen-1-ylboron
","C6H9B
"
12729410,1,methylcyclopentadiene_12729410,"magnesium;cyclohexene;bromide
","C6H9BrMg
"
11182993,1,methylcyclopentadiene_11182993,"chlorozinc(1+);cyclohexene
","C6H9ClZn
"
10873974,1,methylcyclopentadiene_10873974,"cyclohexene
","C6H9
"
6439832,1,methylcyclopentadiene_6439832,"(1Z,4Z)-cyclonona-1,4-diene
","C9H14
"
574444,1,methylcyclopentadiene_574444,"cyclohex-2-ene-1-thione
","C6H8S
"
139092,1,methylcyclopentadiene_139092,"chloro(cyclohexen-1-yl)mercury
","C6H9ClHg
"
138819,1,methylcyclopentadiene_138819,"cyclonona-1,4-diene
","C9H14
"
130200518,1,methylcyclopentadiene_130200518,"azane;cyclohexene;hydrochloride
","C6H14ClN
"
126639897,1,methylcyclopentadiene_126639897,"4,5-diiodocyclohexene
","C6H8I2
"
123181685,1,methylcyclopentadiene_123181685,"(4Z)-cyclonona-1,4-diene
","C9H14
"
117967848,1,methylcyclopentadiene_117967848,"cyclohexene;hydrobromide
","C6H11Br
"
91523245,1,methylcyclopentadiene_91523245,"cyclotetradeca-1,5,9-triene
","C14H22
"
91354226,1,methylcyclopentadiene_91354226,"cyclohexene;ethane;ethene
","C12H26
"
91343870,1,methylcyclopentadiene_91343870,"cyclohexene;ethane;propane
","C13H30
"
91255545,1,methylcyclopentadiene_91255545,"cyclohexene;ethane
","C10H22
"
91188246,1,methylcyclopentadiene_91188246,"cyclohexene;ethane;propane
","C11H24
"
91139915,1,methylcyclopentadiene_91139915,"cyclotetradeca-1,4,9-triene
","C14H22
"
90965245,1,methylcyclopentadiene_90965245,"cyclohexene;propane
","C12H26
"
90955460,1,methylcyclopentadiene_90955460,"cyclohexene;ethane
","C12H28
"
90948486,1,methylcyclopentadiene_90948486,"trideca-1,6,12-triene
","C13H22
"
90898681,1,methylcyclopentadiene_90898681,"cyclohexene;ethane
","C8H16
"
90812163,1,methylcyclopentadiene_90812163,"(E)-oct-2-ene
","C8H15+
"
90752516,1,methylcyclopentadiene_90752516,"cyclotrideca-1,4,8-triene
","C13H20
"
89360336,1,methylcyclopentadiene_89360336,"(3R)-3-iodocyclohexene
","C6H9I
"
89001803,1,methylcyclopentadiene_89001803,"cyclohex-3-en-1-ylphosphane
","C6H11P
"
87964739,1,methylcyclopentadiene_87964739,"chlorogold;cyclohexene
","C6H10AuCl
"
87245515,1,methylcyclopentadiene_87245515,"magnesium;cyclohexene;chloride
","C6H9ClMg
"
87233764,1,methylcyclopentadiene_87233764,"cyclohexene;zinc;hydrochloride
","C6H10ClZn-
"
87233607,1,methylcyclopentadiene_87233607,"cyclohexene;zinc;hydrochloride
","C6H10ClZn-
"
86632745,1,methylcyclopentadiene_86632745,"cyclohexene;hexane
","C12H24
"
85588501,1,methylcyclopentadiene_85588501,"cyclohex-2-en-1-ylphosphane
","C6H11P
"
71300988,1,methylcyclopentadiene_71300988,"cyclohexene;dichloroplatinum
","C6H10Cl2Pt
"
70149958,1,methylcyclopentadiene_70149958,"cyclohexene;hydrate
","C6H12O
"
69421515,1,methylcyclopentadiene_69421515,"chloromethane;cyclohexene
","C7H13Cl
"
69332132,1,methylcyclopentadiene_69332132,"cyclohexene;formonitrile
","C7H11N
"
69050319,1,methylcyclopentadiene_69050319,"cyclohexene;hydrochloride
","C6H11Cl
"
67000395,1,methylcyclopentadiene_67000395,"cyclohexene;sulfane
","C12H22S
"
66616393,1,methylcyclopentadiene_66616393,"4,4-difluorocyclohexene
","C6H8F2
"
60038862,1,methylcyclopentadiene_60038862,"3-methylcyclohexene
","C7H10
"
59989854,1,methylcyclopentadiene_59989854,"1,2-dideuteriocyclopentene
","C5H8
"
59927436,1,methylcyclopentadiene_59927436,"(Z)-hept-2-ene
","C7H12
"
59898418,1,methylcyclopentadiene_59898418,"cyclohexene;yttrium
","C6H9Y-
"
59819095,1,methylcyclopentadiene_59819095,"(1Z,4Z,7Z)-cyclododeca-1,4,7-triene
","C12H18
"
59756673,1,methylcyclopentadiene_59756673,"cyclohexene;tungsten;yttrium
","C6H8WY-2
"
59550277,1,methylcyclopentadiene_59550277,"di(cyclohex-2-en-1-yl)tin
","C12H18Sn
"
59098856,1,methylcyclopentadiene_59098856,"(E)-3-tritiohept-2-ene
","C7H14
"
58773508,1,methylcyclopentadiene_58773508,"cyclohexene;dichlorozinc
","C6H9Cl2Zn-
"
57734172,1,methylcyclopentadiene_57734172,"cyclohexene;yttrium
","C6H8Y-2
"
57609837,1,methylcyclopentadiene_57609837,"cyclohexene;yttrium
","C12H18Y-2
"
57603350,1,methylcyclopentadiene_57603350,"chlorozinc(1+);cyclohexene
","C6H8ClZn+
"
57129847,1,methylcyclopentadiene_57129847,"cycloundeca-1,6-diene
","C11H18
"
54475614,1,methylcyclopentadiene_54475614,"tetradeca-1,7,13-triene
","C14H24
"
53935741,1,methylcyclopentadiene_53935741,"cyclododeca-1,4,7-triene
","C12H18
"
53704185,1,methylcyclopentadiene_53704185,"dodeca-1,5,11-triene
","C12H20
"
22378589,1,methylcyclopentadiene_22378589,"4-fluorocyclohexene
","C6H9F
"
21900369,1,methylcyclopentadiene_21900369,"cyclohexene;sulfane
","C6H12S
"
19913309,1,methylcyclopentadiene_19913309,"3,3-difluorocyclohexene
","C6H8F2
"
18436212,1,methylcyclopentadiene_18436212,"zinc;cyclohexene;chloride
","C6H9ClZn
"
18436211,1,methylcyclopentadiene_18436211,"zinc;cyclohexene;chloride
","C6H9ClZn
"
18006421,1,methylcyclopentadiene_18006421,"cyclohexene;hydrogen peroxide
","C6H12O2
"
14784732,1,methylcyclopentadiene_14784732,"lithium;cyclohexene
","C6H9Li
"
13411985,1,methylcyclopentadiene_13411985,"undeca-1,4,10-triene
","C11H18
"
12770162,1,methylcyclopentadiene_12770162,"cyclohexene
","C6H9
"
