,cid,ring,BNZ,COC,image_saved_as
0,608315,1,1,1,4_bromo_2_methylanisole_608315
1,278654,1,1,1,4_bromo_2_methylanisole_278654
2,16216965,1,1,1,4_bromo_2_methylanisole_16216965
3,12542425,1,1,1,4_bromo_2_methylanisole_12542425
4,4962739,1,1,1,4_bromo_2_methylanisole_4962739
5,2775304,1,1,1,4_bromo_2_methylanisole_2775304
6,54263041,1,1,1,4_bromo_2_methylanisole_54263041
7,53434636,1,1,1,4_bromo_2_methylanisole_53434636
8,53418049,1,1,1,4_bromo_2_methylanisole_53418049
9,45158710,1,1,1,4_bromo_2_methylanisole_45158710
10,24722615,1,1,1,4_bromo_2_methylanisole_24722615
11,21458627,1,1,1,4_bromo_2_methylanisole_21458627
12,18712022,1,1,1,4_bromo_2_methylanisole_18712022
13,14698794,1,1,1,4_bromo_2_methylanisole_14698794
14,12262648,1,1,1,4_bromo_2_methylanisole_12262648
15,10800000,1,1,1,4_bromo_2_methylanisole_10800000
16,3733898,1,1,1,4_bromo_2_methylanisole_3733898
17,130287639,1,1,1,4_bromo_2_methylanisole_130287639
18,118589361,1,1,1,4_bromo_2_methylanisole_118589361
19,88968166,1,1,1,4_bromo_2_methylanisole_88968166
20,87870587,1,1,1,4_bromo_2_methylanisole_87870587
21,73701301,1,1,1,4_bromo_2_methylanisole_73701301
22,71744222,1,1,1,4_bromo_2_methylanisole_71744222
23,71042790,1,1,1,4_bromo_2_methylanisole_71042790
24,69728715,1,1,1,4_bromo_2_methylanisole_69728715
25,69206356,1,1,1,4_bromo_2_methylanisole_69206356
26,68995753,1,1,1,4_bromo_2_methylanisole_68995753
27,68445724,1,1,1,4_bromo_2_methylanisole_68445724
28,68018036,1,1,1,4_bromo_2_methylanisole_68018036
29,63530802,1,1,1,4_bromo_2_methylanisole_63530802
30,63530471,1,1,1,4_bromo_2_methylanisole_63530471
31,63529787,1,1,1,4_bromo_2_methylanisole_63529787
32,60078452,1,1,1,4_bromo_2_methylanisole_60078452
33,59903652,1,1,1,4_bromo_2_methylanisole_59903652
34,59637080,1,1,1,4_bromo_2_methylanisole_59637080
35,59327545,1,1,1,4_bromo_2_methylanisole_59327545
36,58961646,1,1,1,4_bromo_2_methylanisole_58961646
37,58759073,1,1,1,4_bromo_2_methylanisole_58759073
38,57766409,1,1,1,4_bromo_2_methylanisole_57766409
39,56621881,1,1,1,4_bromo_2_methylanisole_56621881
40,54142774,1,1,1,4_bromo_2_methylanisole_54142774
41,50998242,1,1,1,4_bromo_2_methylanisole_50998242
42,40148017,1,1,1,4_bromo_2_methylanisole_40148017
43,23625800,1,1,1,4_bromo_2_methylanisole_23625800
44,23149234,1,1,1,4_bromo_2_methylanisole_23149234
45,22637032,1,1,1,4_bromo_2_methylanisole_22637032
46,21873209,1,1,1,4_bromo_2_methylanisole_21873209
47,21458789,1,1,1,4_bromo_2_methylanisole_21458789
48,21063860,1,1,1,4_bromo_2_methylanisole_21063860
49,20777171,1,1,1,4_bromo_2_methylanisole_20777171
50,20721134,1,1,1,4_bromo_2_methylanisole_20721134
51,20474786,1,1,1,4_bromo_2_methylanisole_20474786
52,19379073,1,1,1,4_bromo_2_methylanisole_19379073
53,19379069,1,1,1,4_bromo_2_methylanisole_19379069
54,18958277,1,1,1,4_bromo_2_methylanisole_18958277
55,15654128,1,1,1,4_bromo_2_methylanisole_15654128
56,15113995,1,1,1,4_bromo_2_methylanisole_15113995
57,13301602,1,1,1,4_bromo_2_methylanisole_13301602
58,12677366,1,1,1,4_bromo_2_methylanisole_12677366
59,12542426,1,1,1,4_bromo_2_methylanisole_12542426
60,12542423,1,1,1,4_bromo_2_methylanisole_12542423
61,12433388,1,1,1,4_bromo_2_methylanisole_12433388
62,10516629,1,1,1,4_bromo_2_methylanisole_10516629
63,1514184,1,1,1,4_bromo_2_methylanisole_1514184
64,134847828,1,1,1,4_bromo_2_methylanisole_134847828
65,132518330,1,1,1,4_bromo_2_methylanisole_132518330
66,132136322,1,1,1,4_bromo_2_methylanisole_132136322
67,123994632,1,1,1,4_bromo_2_methylanisole_123994632
68,123286592,1,1,1,4_bromo_2_methylanisole_123286592
69,101801476,1,1,1,4_bromo_2_methylanisole_101801476
70,91596810,1,1,1,4_bromo_2_methylanisole_91596810
71,69730776,1,1,1,4_bromo_2_methylanisole_69730776
72,66847480,1,1,1,4_bromo_2_methylanisole_66847480
73,63529292,1,1,1,4_bromo_2_methylanisole_63529292
74,236002,1,1,1,4_bromo_2_methylanisole_236002
75,4166921,1,1,1,4_bromo_2_methylanisole_4166921
76,5366095,1,1,1,4_bromo_2_methylanisole_5366095
77,10934066,1,1,1,4_bromo_2_methylanisole_10934066
78,11425346,1,1,1,4_bromo_2_methylanisole_11425346
79,12542424,1,1,1,4_bromo_2_methylanisole_12542424
80,12542427,1,1,1,4_bromo_2_methylanisole_12542427
81,14319739,1,1,1,4_bromo_2_methylanisole_14319739
82,15161741,1,1,1,4_bromo_2_methylanisole_15161741
83,17749190,1,1,1,4_bromo_2_methylanisole_17749190
84,20721037,1,1,1,4_bromo_2_methylanisole_20721037
85,20777172,1,1,1,4_bromo_2_methylanisole_20777172
86,21675652,1,1,1,4_bromo_2_methylanisole_21675652
87,24722116,1,1,1,4_bromo_2_methylanisole_24722116
88,24722118,1,1,1,4_bromo_2_methylanisole_24722118
89,24722119,1,1,1,4_bromo_2_methylanisole_24722119
90,24944167,1,1,1,4_bromo_2_methylanisole_24944167
91,45785230,1,1,1,4_bromo_2_methylanisole_45785230
92,50912028,1,1,1,4_bromo_2_methylanisole_50912028
