,cid,ring,AKA,COO,image_saved_as
0,12300,1,1,1,4_chlorobutanoic_acid_12300
1,16048,1,1,1,4_chlorobutanoic_acid_16048
2,17977094,1,1,1,4_chlorobutanoic_acid_17977094
3,14686677,1,1,1,4_chlorobutanoic_acid_14686677
4,12647097,1,1,1,4_chlorobutanoic_acid_12647097
5,88153801,1,1,1,4_chlorobutanoic_acid_88153801
6,88153766,1,1,1,4_chlorobutanoic_acid_88153766
7,87303938,1,1,1,4_chlorobutanoic_acid_87303938
8,87129393,1,1,1,4_chlorobutanoic_acid_87129393
9,23187289,1,1,1,4_chlorobutanoic_acid_23187289
10,19025976,1,1,1,4_chlorobutanoic_acid_19025976
11,642200,1,1,1,4_chlorobutanoic_acid_642200
12,129853250,1,1,1,4_chlorobutanoic_acid_129853250
13,129643274,1,1,1,4_chlorobutanoic_acid_129643274
14,87615450,1,1,1,4_chlorobutanoic_acid_87615450
15,87615140,1,1,1,4_chlorobutanoic_acid_87615140
16,10986210,1,1,1,4_chlorobutanoic_acid_10986210
17,53421306,1,1,1,4_chlorobutanoic_acid_53421306
18,88326655,1,1,1,4_chlorobutanoic_acid_88326655
19,88622562,1,1,1,4_chlorobutanoic_acid_88622562
20,88622664,1,1,1,4_chlorobutanoic_acid_88622664
21,88809462,1,1,1,4_chlorobutanoic_acid_88809462
22,90470052,1,1,1,4_chlorobutanoic_acid_90470052
