,cid,ring,BNZ,AKA,COO,image_saved_as
0,7403,1,1,1,1,4_tert_butylbenzoic_acid_7403
1,8167144,1,1,1,1,4_tert_butylbenzoic_acid_8167144
2,246660,1,1,1,1,4_tert_butylbenzoic_acid_246660
3,243248,1,1,1,1,4_tert_butylbenzoic_acid_243248
4,70480585,1,1,1,1,4_tert_butylbenzoic_acid_70480585
5,69342881,1,1,1,1,4_tert_butylbenzoic_acid_69342881
6,69229995,1,1,1,1,4_tert_butylbenzoic_acid_69229995
7,67780260,1,1,1,1,4_tert_butylbenzoic_acid_67780260
8,67550053,1,1,1,1,4_tert_butylbenzoic_acid_67550053
9,67530859,1,1,1,1,4_tert_butylbenzoic_acid_67530859
10,67376930,1,1,1,1,4_tert_butylbenzoic_acid_67376930
11,67376928,1,1,1,1,4_tert_butylbenzoic_acid_67376928
12,66877796,1,1,1,1,4_tert_butylbenzoic_acid_66877796
13,66737643,1,1,1,1,4_tert_butylbenzoic_acid_66737643
14,66620991,1,1,1,1,4_tert_butylbenzoic_acid_66620991
15,57292985,1,1,1,1,4_tert_butylbenzoic_acid_57292985
16,54604773,1,1,1,1,4_tert_butylbenzoic_acid_54604773
17,20536284,1,1,1,1,4_tert_butylbenzoic_acid_20536284
18,826094,1,1,1,1,4_tert_butylbenzoic_acid_826094
19,116989144,1,1,1,1,4_tert_butylbenzoic_acid_116989144
20,8167110,1,1,1,1,4_tert_butylbenzoic_acid_8167110
21,10035423,1,1,1,1,4_tert_butylbenzoic_acid_10035423
22,45489735,1,1,1,1,4_tert_butylbenzoic_acid_45489735
23,57452856,1,1,1,1,4_tert_butylbenzoic_acid_57452856
24,57509595,1,1,1,1,4_tert_butylbenzoic_acid_57509595
25,87108755,1,1,1,1,4_tert_butylbenzoic_acid_87108755
26,88358734,1,1,1,1,4_tert_butylbenzoic_acid_88358734
27,88436983,1,1,1,1,4_tert_butylbenzoic_acid_88436983
28,88437800,1,1,1,1,4_tert_butylbenzoic_acid_88437800
29,101457548,1,1,1,1,4_tert_butylbenzoic_acid_101457548
30,131708641,1,1,1,1,4_tert_butylbenzoic_acid_131708641
