,cid,AKA,ALC,COONH2,image_saved_as
0,4137580,1,1,1,N_N_diethyl_2_hydroxyacetamide_4137580
1,88648458,1,1,1,N_N_diethyl_2_hydroxyacetamide_88648458
2,87718638,1,1,1,N_N_diethyl_2_hydroxyacetamide_87718638
3,87718636,1,1,1,N_N_diethyl_2_hydroxyacetamide_87718636
4,24284901,1,1,1,N_N_diethyl_2_hydroxyacetamide_24284901
5,20450451,1,1,1,N_N_diethyl_2_hydroxyacetamide_20450451
6,15335183,1,1,1,N_N_diethyl_2_hydroxyacetamide_15335183
7,24284900,1,1,1,N_N_diethyl_2_hydroxyacetamide_24284900
8,87718637,1,1,1,N_N_diethyl_2_hydroxyacetamide_87718637
9,87718639,1,1,1,N_N_diethyl_2_hydroxyacetamide_87718639
