,cid,ring,BNZ,COH,image_saved_as
0,240,1,1,1,benzaldehyde_240
1,12998378,1,1,1,benzaldehyde_12998378
2,11159309,1,1,1,benzaldehyde_11159309
3,10931392,1,1,1,benzaldehyde_10931392
4,10887848,1,1,1,benzaldehyde_10887848
5,10877067,1,1,1,benzaldehyde_10877067
6,101545303,1,1,1,benzaldehyde_101545303
7,58341946,1,1,1,benzaldehyde_58341946
8,21345041,1,1,1,benzaldehyde_21345041
9,16213526,1,1,1,benzaldehyde_16213526
10,12998379,1,1,1,benzaldehyde_12998379
11,12998376,1,1,1,benzaldehyde_12998376
12,165326,1,1,1,benzaldehyde_165326
13,124004125,1,1,1,benzaldehyde_124004125
14,90326371,1,1,1,benzaldehyde_90326371
15,88256559,1,1,1,benzaldehyde_88256559
16,88102728,1,1,1,benzaldehyde_88102728
17,87558476,1,1,1,benzaldehyde_87558476
18,87447775,1,1,1,benzaldehyde_87447775
19,87447170,1,1,1,benzaldehyde_87447170
20,87238684,1,1,1,benzaldehyde_87238684
21,87187143,1,1,1,benzaldehyde_87187143
22,87129628,1,1,1,benzaldehyde_87129628
23,87127713,1,1,1,benzaldehyde_87127713
24,60126816,1,1,1,benzaldehyde_60126816
25,59963775,1,1,1,benzaldehyde_59963775
26,59096231,1,1,1,benzaldehyde_59096231
27,59037040,1,1,1,benzaldehyde_59037040
28,57725134,1,1,1,benzaldehyde_57725134
29,57427132,1,1,1,benzaldehyde_57427132
30,57272452,1,1,1,benzaldehyde_57272452
31,53897190,1,1,1,benzaldehyde_53897190
32,22218417,1,1,1,benzaldehyde_22218417
33,22005957,1,1,1,benzaldehyde_22005957
34,21932400,1,1,1,benzaldehyde_21932400
35,20026568,1,1,1,benzaldehyde_20026568
36,18635297,1,1,1,benzaldehyde_18635297
37,12998375,1,1,1,benzaldehyde_12998375
38,11007839,1,1,1,benzaldehyde_11007839
39,4533214,1,1,1,benzaldehyde_4533214
40,134861589,1,1,1,benzaldehyde_134861589
41,85589073,1,1,1,benzaldehyde_85589073
42,4219595,1,1,1,benzaldehyde_4219595
43,451255,1,1,1,benzaldehyde_451255
44,10351662,1,1,1,benzaldehyde_10351662
45,12998377,1,1,1,benzaldehyde_12998377
46,13198211,1,1,1,benzaldehyde_13198211
47,18444058,1,1,1,benzaldehyde_18444058
48,20194865,1,1,1,benzaldehyde_20194865
49,20373942,1,1,1,benzaldehyde_20373942
50,20447206,1,1,1,benzaldehyde_20447206
51,21469864,1,1,1,benzaldehyde_21469864
52,21770944,1,1,1,benzaldehyde_21770944
53,22210528,1,1,1,benzaldehyde_22210528
54,22861502,1,1,1,benzaldehyde_22861502
55,23290585,1,1,1,benzaldehyde_23290585
56,23330656,1,1,1,benzaldehyde_23330656
57,23663331,1,1,1,benzaldehyde_23663331
58,57419975,1,1,1,benzaldehyde_57419975
59,57419976,1,1,1,benzaldehyde_57419976
60,57419977,1,1,1,benzaldehyde_57419977
61,87065793,1,1,1,benzaldehyde_87065793
62,87252284,1,1,1,benzaldehyde_87252284
63,87576571,1,1,1,benzaldehyde_87576571
64,88226920,1,1,1,benzaldehyde_88226920
65,88470839,1,1,1,benzaldehyde_88470839
66,88506515,1,1,1,benzaldehyde_88506515
67,88592648,1,1,1,benzaldehyde_88592648
68,88760745,1,1,1,benzaldehyde_88760745
69,88793525,1,1,1,benzaldehyde_88793525
70,88816135,1,1,1,benzaldehyde_88816135
71,89999362,1,1,1,benzaldehyde_89999362
72,100945716,1,1,1,benzaldehyde_100945716
73,100957051,1,1,1,benzaldehyde_100957051
74,117064281,1,1,1,benzaldehyde_117064281
75,122397082,1,1,1,benzaldehyde_122397082
