,cid,ring,BNZ,COONH2,image_saved_as
0,2331,1,1,1,benzamide_2331
1,71572,1,1,1,benzamide_71572
2,77561,1,1,1,benzamide_77561
3,77529,1,1,1,benzamide_77529
4,68000,1,1,1,benzamide_68000
5,67964,1,1,1,benzamide_67964
6,522832,1,1,1,benzamide_522832
7,12196680,1,1,1,benzamide_12196680
8,522831,1,1,1,benzamide_522831
9,202425,1,1,1,benzamide_202425
10,140373,1,1,1,benzamide_140373
11,21916487,1,1,1,benzamide_21916487
12,16217942,1,1,1,benzamide_16217942
13,12256294,1,1,1,benzamide_12256294
14,12196677,1,1,1,benzamide_12196677
15,12196675,1,1,1,benzamide_12196675
16,11074393,1,1,1,benzamide_11074393
17,285483,1,1,1,benzamide_285483
18,123588,1,1,1,benzamide_123588
19,129141631,1,1,1,benzamide_129141631
20,73602802,1,1,1,benzamide_73602802
21,57316717,1,1,1,benzamide_57316717
22,21611925,1,1,1,benzamide_21611925
23,21443573,1,1,1,benzamide_21443573
24,21250917,1,1,1,benzamide_21250917
25,20266927,1,1,1,benzamide_20266927
26,18937848,1,1,1,benzamide_18937848
27,11672678,1,1,1,benzamide_11672678
28,136591666,1,1,1,benzamide_136591666
29,134458196,1,1,1,benzamide_134458196
30,123318924,1,1,1,benzamide_123318924
31,118692278,1,1,1,benzamide_118692278
32,91317233,1,1,1,benzamide_91317233
33,90733193,1,1,1,benzamide_90733193
34,88600308,1,1,1,benzamide_88600308
35,88089333,1,1,1,benzamide_88089333
36,88004730,1,1,1,benzamide_88004730
37,87329316,1,1,1,benzamide_87329316
38,71363457,1,1,1,benzamide_71363457
39,70466289,1,1,1,benzamide_70466289
40,69776303,1,1,1,benzamide_69776303
41,69769250,1,1,1,benzamide_69769250
42,69227159,1,1,1,benzamide_69227159
43,68828114,1,1,1,benzamide_68828114
44,68828015,1,1,1,benzamide_68828015
45,68819060,1,1,1,benzamide_68819060
46,67390193,1,1,1,benzamide_67390193
47,67359683,1,1,1,benzamide_67359683
48,59970781,1,1,1,benzamide_59970781
49,59970774,1,1,1,benzamide_59970774
50,59347753,1,1,1,benzamide_59347753
51,59218297,1,1,1,benzamide_59218297
52,59038732,1,1,1,benzamide_59038732
53,58724774,1,1,1,benzamide_58724774
54,58408503,1,1,1,benzamide_58408503
55,58087448,1,1,1,benzamide_58087448
56,58086812,1,1,1,benzamide_58086812
57,57776279,1,1,1,benzamide_57776279
58,54503665,1,1,1,benzamide_54503665
59,54376166,1,1,1,benzamide_54376166
60,23357841,1,1,1,benzamide_23357841
61,22563799,1,1,1,benzamide_22563799
62,21915440,1,1,1,benzamide_21915440
63,21655532,1,1,1,benzamide_21655532
64,20391424,1,1,1,benzamide_20391424
65,20391415,1,1,1,benzamide_20391415
66,19829446,1,1,1,benzamide_19829446
67,19108421,1,1,1,benzamide_19108421
68,12196678,1,1,1,benzamide_12196678
69,12196676,1,1,1,benzamide_12196676
70,135040181,1,1,1,benzamide_135040181
71,135026236,1,1,1,benzamide_135026236
72,134811433,1,1,1,benzamide_134811433
73,129876204,1,1,1,benzamide_129876204
74,129656183,1,1,1,benzamide_129656183
75,91334116,1,1,1,benzamide_91334116
76,89761376,1,1,1,benzamide_89761376
77,89468200,1,1,1,benzamide_89468200
78,88588757,1,1,1,benzamide_88588757
79,88586445,1,1,1,benzamide_88586445
80,78062686,1,1,1,benzamide_78062686
81,78062631,1,1,1,benzamide_78062631
82,69853529,1,1,1,benzamide_69853529
83,68077101,1,1,1,benzamide_68077101
84,68055948,1,1,1,benzamide_68055948
85,19882739,1,1,1,benzamide_19882739
86,18541695,1,1,1,benzamide_18541695
87,12333723,1,1,1,benzamide_12333723
88,12196681,1,1,1,benzamide_12196681
89,11228801,1,1,1,benzamide_11228801
90,36579,1,1,1,benzamide_36579
91,450318,1,1,1,benzamide_450318
92,3848059,1,1,1,benzamide_3848059
93,10630477,1,1,1,benzamide_10630477
94,11644420,1,1,1,benzamide_11644420
95,16049203,1,1,1,benzamide_16049203
96,18726123,1,1,1,benzamide_18726123
97,18764084,1,1,1,benzamide_18764084
98,18764284,1,1,1,benzamide_18764284
99,18764433,1,1,1,benzamide_18764433
100,20391452,1,1,1,benzamide_20391452
101,20694598,1,1,1,benzamide_20694598
102,20694600,1,1,1,benzamide_20694600
103,21322051,1,1,1,benzamide_21322051
104,22136897,1,1,1,benzamide_22136897
105,57419986,1,1,1,benzamide_57419986
106,57419987,1,1,1,benzamide_57419987
107,57419988,1,1,1,benzamide_57419988
108,57436149,1,1,1,benzamide_57436149
109,57461813,1,1,1,benzamide_57461813
110,57469760,1,1,1,benzamide_57469760
111,57488128,1,1,1,benzamide_57488128
112,67607148,1,1,1,benzamide_67607148
113,67738089,1,1,1,benzamide_67738089
114,70139280,1,1,1,benzamide_70139280
115,70387554,1,1,1,benzamide_70387554
116,71309875,1,1,1,benzamide_71309875
117,71358665,1,1,1,benzamide_71358665
118,71359057,1,1,1,benzamide_71359057
119,76972946,1,1,1,benzamide_76972946
120,85838836,1,1,1,benzamide_85838836
121,87132364,1,1,1,benzamide_87132364
122,87759574,1,1,1,benzamide_87759574
123,88098553,1,1,1,benzamide_88098553
124,88254495,1,1,1,benzamide_88254495
125,88601465,1,1,1,benzamide_88601465
126,101015562,1,1,1,benzamide_101015562
127,133623060,1,1,1,benzamide_133623060
