,cid,ring,BNZ,AKA,AKH,image_saved_as
0,7498,1,1,1,1,benzyl_bromide_7498
1,69249,1,1,1,1,benzyl_bromide_69249
2,71308847,1,1,1,1,benzyl_bromide_71308847
3,12217704,1,1,1,1,benzyl_bromide_12217704
4,12217702,1,1,1,1,benzyl_bromide_12217702
5,12217700,1,1,1,1,benzyl_bromide_12217700
6,10882040,1,1,1,1,benzyl_bromide_10882040
7,316418,1,1,1,1,benzyl_bromide_316418
8,71308858,1,1,1,1,benzyl_bromide_71308858
9,90418946,1,1,1,1,benzyl_bromide_90418946
10,87537194,1,1,1,1,benzyl_bromide_87537194
11,87478807,1,1,1,1,benzyl_bromide_87478807
12,87359126,1,1,1,1,benzyl_bromide_87359126
13,69921160,1,1,1,1,benzyl_bromide_69921160
14,66645376,1,1,1,1,benzyl_bromide_66645376
15,59924960,1,1,1,1,benzyl_bromide_59924960
16,58860873,1,1,1,1,benzyl_bromide_58860873
17,58697582,1,1,1,1,benzyl_bromide_58697582
18,57680180,1,1,1,1,benzyl_bromide_57680180
19,57488464,1,1,1,1,benzyl_bromide_57488464
20,54447790,1,1,1,1,benzyl_bromide_54447790
21,23668858,1,1,1,1,benzyl_bromide_23668858
22,20294574,1,1,1,1,benzyl_bromide_20294574
23,19798942,1,1,1,1,benzyl_bromide_19798942
24,18342975,1,1,1,1,benzyl_bromide_18342975
25,12217705,1,1,1,1,benzyl_bromide_12217705
26,129208099,1,1,1,1,benzyl_bromide_129208099
27,101996089,1,1,1,1,benzyl_bromide_101996089
28,87957061,1,1,1,1,benzyl_bromide_87957061
29,10678807,1,1,1,1,benzyl_bromide_10678807
30,11478451,1,1,1,1,benzyl_bromide_11478451
31,12723782,1,1,1,1,benzyl_bromide_12723782
32,21688339,1,1,1,1,benzyl_bromide_21688339
33,23147582,1,1,1,1,benzyl_bromide_23147582
34,57432884,1,1,1,1,benzyl_bromide_57432884
35,57464508,1,1,1,1,benzyl_bromide_57464508
36,57486652,1,1,1,1,benzyl_bromide_57486652
37,58860874,1,1,1,1,benzyl_bromide_58860874
38,60126807,1,1,1,1,benzyl_bromide_60126807
39,88702621,1,1,1,1,benzyl_bromide_88702621
40,102326893,1,1,1,1,benzyl_bromide_102326893
