,cid,ring,AKA,COO,image_saved_as
0,196,1,1,1,hexanoic_acid_196
1,8892,1,1,1,hexanoic_acid_8892
2,8094,1,1,1,hexanoic_acid_8094
3,7991,1,1,1,hexanoic_acid_7991
4,12328,1,1,1,hexanoic_acid_12328
5,45934159,1,1,1,hexanoic_acid_45934159
6,16212920,1,1,1,hexanoic_acid_16212920
7,4398339,1,1,1,hexanoic_acid_4398339
8,9736,1,1,1,hexanoic_acid_9736
9,71309569,1,1,1,hexanoic_acid_71309569
10,71308856,1,1,1,hexanoic_acid_71308856
11,23705258,1,1,1,hexanoic_acid_23705258
12,15174615,1,1,1,hexanoic_acid_15174615
13,15003010,1,1,1,hexanoic_acid_15003010
14,12222600,1,1,1,hexanoic_acid_12222600
15,12222599,1,1,1,hexanoic_acid_12222599
16,12222595,1,1,1,hexanoic_acid_12222595
17,98165,1,1,1,hexanoic_acid_98165
18,87522641,1,1,1,hexanoic_acid_87522641
19,87136893,1,1,1,hexanoic_acid_87136893
20,71309430,1,1,1,hexanoic_acid_71309430
21,57131649,1,1,1,hexanoic_acid_57131649
22,54082146,1,1,1,hexanoic_acid_54082146
23,23290254,1,1,1,hexanoic_acid_23290254
24,16213372,1,1,1,hexanoic_acid_16213372
25,16212946,1,1,1,hexanoic_acid_16212946
26,15842001,1,1,1,hexanoic_acid_15842001
27,13683897,1,1,1,hexanoic_acid_13683897
28,13544387,1,1,1,hexanoic_acid_13544387
29,12249098,1,1,1,hexanoic_acid_12249098
30,12209289,1,1,1,hexanoic_acid_12209289
31,11815878,1,1,1,hexanoic_acid_11815878
32,11018913,1,1,1,hexanoic_acid_11018913
33,10129997,1,1,1,hexanoic_acid_10129997
34,3316652,1,1,1,hexanoic_acid_3316652
35,91287382,1,1,1,hexanoic_acid_91287382
36,91203987,1,1,1,hexanoic_acid_91203987
37,89690584,1,1,1,hexanoic_acid_89690584
38,89298575,1,1,1,hexanoic_acid_89298575
39,88862850,1,1,1,hexanoic_acid_88862850
40,88810469,1,1,1,hexanoic_acid_88810469
41,88805085,1,1,1,hexanoic_acid_88805085
42,88790028,1,1,1,hexanoic_acid_88790028
43,88769724,1,1,1,hexanoic_acid_88769724
44,88755066,1,1,1,hexanoic_acid_88755066
45,88603701,1,1,1,hexanoic_acid_88603701
46,88518621,1,1,1,hexanoic_acid_88518621
47,88496915,1,1,1,hexanoic_acid_88496915
48,88412664,1,1,1,hexanoic_acid_88412664
49,88342441,1,1,1,hexanoic_acid_88342441
50,88300489,1,1,1,hexanoic_acid_88300489
51,88235346,1,1,1,hexanoic_acid_88235346
52,88186462,1,1,1,hexanoic_acid_88186462
53,88086176,1,1,1,hexanoic_acid_88086176
54,87947869,1,1,1,hexanoic_acid_87947869
55,87941768,1,1,1,hexanoic_acid_87941768
56,87804215,1,1,1,hexanoic_acid_87804215
57,87704285,1,1,1,hexanoic_acid_87704285
58,87681230,1,1,1,hexanoic_acid_87681230
59,87645898,1,1,1,hexanoic_acid_87645898
60,87610887,1,1,1,hexanoic_acid_87610887
61,87610886,1,1,1,hexanoic_acid_87610886
62,87574011,1,1,1,hexanoic_acid_87574011
63,87537278,1,1,1,hexanoic_acid_87537278
64,87519749,1,1,1,hexanoic_acid_87519749
65,87484428,1,1,1,hexanoic_acid_87484428
66,87467677,1,1,1,hexanoic_acid_87467677
67,87403673,1,1,1,hexanoic_acid_87403673
68,87359752,1,1,1,hexanoic_acid_87359752
69,87341065,1,1,1,hexanoic_acid_87341065
70,87330717,1,1,1,hexanoic_acid_87330717
71,87326869,1,1,1,hexanoic_acid_87326869
72,87280744,1,1,1,hexanoic_acid_87280744
73,87279162,1,1,1,hexanoic_acid_87279162
74,87279158,1,1,1,hexanoic_acid_87279158
75,87249520,1,1,1,hexanoic_acid_87249520
76,87232012,1,1,1,hexanoic_acid_87232012
77,87220791,1,1,1,hexanoic_acid_87220791
78,87219368,1,1,1,hexanoic_acid_87219368
79,87216209,1,1,1,hexanoic_acid_87216209
80,87187348,1,1,1,hexanoic_acid_87187348
81,87150767,1,1,1,hexanoic_acid_87150767
82,87150716,1,1,1,hexanoic_acid_87150716
83,87136204,1,1,1,hexanoic_acid_87136204
84,87129789,1,1,1,hexanoic_acid_87129789
85,87129733,1,1,1,hexanoic_acid_87129733
86,87119649,1,1,1,hexanoic_acid_87119649
